序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
236,001203,大中矿业,0.2802327871322632,46.52,51.03,2018160128,60753916155.44,71318901696.64,3.2831737995147705,0.0,是,1.3874144554138184,2/1,60日新高,冶钢原料
237,603985,恒润股份,0.24449878931045532,24.6,26.99,2084042960,10845106873.800001,10845106800.0,19.28556251525879,-0.32414910197257996,是,1.523177146911621,2/1,60日新高,风电设备
242,601665,齐鲁银行,0.16313213109970093,6.14,6.74,224641883,37784593103.5,37784592532.479996,0.5931298732757568,0.0,是,0.6513978838920593,0/0,60日新高,银行Ⅱ
243,001211,双枪科技,0.125944584608078,31.8,34.94,208170204,2130491085.0,2289600000.0,9.590046882629395,0.0,是,0.868318498134613,0/0,60日新高,家居用品
244,002685,华东重机,0.11848341673612595,8.45,9.28,522245424,8513850870.199999,8514985907.999999,6.142195224761963,0.0,是,0.9658764004707336,0/0,60日新高,工程机械
245,001896,豫能控股,0.1172332912683487,17.08,18.77,3465716608,26060345116.399998,26060345082.239998,13.166953086853027,-0.05851375311613083,是,1.0354021787643433,0/0,60日新高,电力
250,002560,通达股份,-0.21567219495773315,13.88,15.3,1934001568,6286751707.76,7297251434.88,29.974044799804688,0.0,是,0.9293065071105957,0/0,60日新高,电网设备
251,002998,优彩资源,-0.21574972569942474,9.25,10.2,115438884,2502034572.0,3282027280.0,4.5774664878845215,0.0,是,0.6316340565681458,0/0,60日新高,化学纤维
253,603124,江南新材,-0.43352600932121277,124.02,137.02,204385339,9625044616.199999,18075319579.98,2.12324857711792,0.0,是,0.8264155387878418,0/0,60日新高,金属新材
254,600337,美克家居,-0.5797101855278015,3.43,3.8,339186640,4928903609.91,4928903633.92,6.821105003356934,-0.2906976640224457,是,0.5645511746406555,0/0,60日新高,家居用品
255,002051,中工国际,-0.6039689183235168,11.52,12.75,1706708352,14254130499.84,14254951034.88,11.893515586853027,0.0,否,1.000397801399231,4/2,近期多次涨停,专业工程
256,000026,飞亚达,-0.6204174160957336,17.62,19.5,332260944,6423560115.46,7149561680.0,5.147577285766602,-0.05672149732708931,是,0.7999423742294312,0/0,60日新高,饰品
258,000762,西藏矿业,-0.7275667190551758,36.84,40.82,2566865792,19186294767.120003,19186981096.320004,13.100102424621582,0.05431830510497093,是,0.9955876469612122,2/1,60日新高,能源金属
259,002348,高乐股份,-0.7383966445922852,9.41,10.43,198160447,8502245520.59,8913152000.0,2.3035669326782227,0.0,是,0.7368351221084595,0/0,60日新高,文娱用品
261,603399,永杉锂业,-0.9252120852470398,12.85,14.27,875734864,6582934839.65,6582934929.599999,13.121216773986816,0.0,是,1.127112627029419,0/0,60日新高,能源金属
265,600605,汇通能源,-1.312000036239624,30.84,34.38,216794731,6361750110.36,6361750110.36,3.395979404449463,0.0,否,0.8976205587387085,4/2,近期多次涨停,一般零售
266,603958,哈森股份,-1.5104570388793945,25.43,28.4,319212992,5578324800.0,5578324800.0,5.688730716705322,-0.039308175444602966,是,0.7159177660942078,0/0,60日新高,服装家纺
267,600872,中炬高新,-1.5136226415634155,19.52,21.8,185299766,15049684784.0,15196500208.64,1.2301737070083618,-0.15345267951488495,是,0.8901875019073486,0/0,60日新高,调味发酵
268,002213,大为股份,-1.5910277366638184,37.73,42.17,2082209232,7793398779.32,8960306031.599998,26.522769927978516,0.2657454311847687,是,1.1944458484649658,4/2,60日新高且近期多次涨停,半导体
270,600499,科达制造,-1.681127905845642,18.13,20.28,413154144,34770736368.83,34770736241.92,1.1776950359344482,-0.11019284278154373,是,0.64781653881073,0/0,60日新高,专用设备
271,605318,法狮龙,-1.727169394493103,95.02,106.36,264304801,11946772240.56,11946772240.56,2.1878552436828613,0.0,是,0.7496835589408875,0/0,60日新高,装修建材
272,002733,雄韬股份,-1.7402112483978271,31.62,35.4,870159584,11663440439.58,12148875517.44,7.417945861816406,-0.03161555528640747,是,0.652703583240509,0/0,60日新高,电池
273,002645,华宏科技,-1.8477783203125,22.31,25.0,1027137360,12469673662.81,14001764210.08,8.16089916229248,0.26966291666030884,是,0.7228484749794006,0/0,60日新高,环保设备
274,002840,华统股份,-1.881331443786621,13.56,15.2,566678144,10802308590.12,10877376384.0,5.1902241706848145,0.14771048724651337,是,0.7408525943756104,0/0,60日新高,食品加工
275,000570,苏常柴Ａ,-1.9287834167480469,6.61,7.41,767865072,3673127471.27,4664627504.320001,21.053606033325195,0.30349013209342957,是,3.409262180328369,2/1,60日新高,汽车零部
276,605055,迎丰股份,-2.0390071868896484,11.05,12.41,143359805,4862000000.0,4862000000.0,2.9143409729003906,0.0,是,1.1719154119491577,0/0,60日新高,纺织制造
279,000573,粤宏远Ａ,-2.2177419662475586,4.85,5.46,150938480,3069879372.1499996,3095660948.7999997,4.894659996032715,0.0,是,0.6690682768821716,0/0,60日新高,房地产开
280,603637,镇海股份,-2.5948102474212646,14.64,16.53,253582206,3494361239.28,3494361239.28,7.172160625457764,0.0,是,1.0919889211654663,0/0,60日新高,专业工程
281,000815,美利云,-2.7465105056762695,21.6,24.43,3917548944,15017681556.000002,15017681664.000002,25.644994735717773,0.09267840534448624,是,1.451724886894226,2/1,60日新高,IT服务Ⅱ
