序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
407,603898,好莱客,-1.12,13.25,240.89万,465.98万(04月14日),3,-0.97,家居用品
408,603903,中持股份,-0.76,11.8,274.66万,725.10万(04月14日),3,-2.32,环境治理
409,603929,亚翔集成,-0.23,186.63,666.04万,940.83万(04月14日),3,-1.95,建筑装饰
410,603949,雪龙集团,-0.91,18.51,819.74万,1144.68万(04月14日),3,-0.96,汽车零部件
411,603968,醋化股份,-1.86,11.62,564.64万,997.00万(04月14日),3,-3.65,化学制品
412,603989,艾华集团,-0.05,19.5,751.87万,1680.92万(04月14日),3,-2.16,元件
413,603997,继峰股份,1.07,13.17,994.70万,1925.52万(04月14日),3,5.87,汽车零部件
414,605005,合兴股份,-0.57,20.84,437.79万,753.46万(04月14日),3,-1.79,汽车零部件
415,605162,新中港,-2.3,12.74,3947.20万,4054.59万(04月14日),3,-9.32,电力
416,605296,神农集团,-2.28,30.06,320.16万,644.01万(04月14日),3,-1.15,养殖业
