代码,60日最高,当前价,跌幅,符合跌幅>19%,7日横盘,3日量能,3日趋势
sh603786,85.28,57.15,32.99,True,True,0.99,上涨
sz001696,25.86,19.5,24.59,True,True,0.93,上涨
sh603896,22.97,18.53,19.33,True,True,0.92,下跌
sz001319,31.71,25.66,19.08,True,True,0.85,上涨
sh601233,26.01,19.62,24.57,True,True,0.97,上涨
sh603223,10.99,8.83,19.65,True,True,1.51,上涨
sh600558,6.69,5.41,19.13,True,True,0.99,下跌
sz000060,9.22,6.75,26.79,True,True,1.4,上涨
sz002315,60.3,42.33,29.8,True,True,1.07,上涨
sz002040,13.17,9.91,24.75,True,True,0.77,下跌
sh605155,21.78,15.45,29.06,True,True,0.81,下跌
sz001220,70.0,45.66,34.77,True,True,3.47,上涨
sz002103,10.26,8.16,20.47,True,True,1.11,下跌
sh601127,122.48,89.47,26.95,True,True,0.8,下跌
sz000407,6.19,4.64,25.04,True,True,0.77,下跌
sz002920,138.35,107.81,22.07,True,True,1.48,上涨
sh603312,53.34,42.0,21.26,True,True,0.92,上涨
sh605028,35.5,27.84,21.58,True,True,0.57,下跌
sh605499,279.0,199.8,28.39,True,True,1.11,上涨
sz000920,14.93,11.95,19.96,True,True,0.52,下跌
sz002568,22.47,17.07,24.03,True,True,0.95,下跌
sh600141,45.49,31.65,30.42,True,True,1.05,下跌
sh600459,28.19,21.18,24.87,True,True,1.11,上涨
sh600814,11.18,7.75,30.68,True,True,1.35,上涨
sh603500,14.1,11.15,20.92,True,True,0.86,下跌
sz000758,9.53,6.95,27.07,True,True,1.17,上涨
sh601611,19.24,14.27,25.83,True,True,1.02,上涨
sh603579,28.51,20.03,29.74,True,True,1.23,下跌
sz001205,18.41,14.69,20.21,True,True,1.08,上涨
sh605116,35.58,27.56,22.54,True,True,0.89,上涨
sz002266,5.61,4.46,20.5,True,True,0.94,下跌
sh600848,12.39,9.53,23.08,True,True,1.42,下跌
sh600638,7.62,5.95,21.92,True,True,1.14,下跌
sh600826,13.06,9.5,27.26,True,True,1.14,下跌
sh603815,8.38,6.57,21.6,True,True,5.25,上涨
sz000400,34.65,25.66,25.95,True,True,1.28,下跌
sz003006,23.1,16.66,27.88,True,True,1.0,下跌
sh600133,11.56,8.75,24.31,True,True,0.98,上涨
sh600312,25.65,19.91,22.38,True,True,1.27,上涨
sh603025,19.85,15.35,22.67,True,True,1.43,上涨
sz002264,12.58,8.29,34.1,True,True,1.06,下跌
sz000554,11.94,7.92,33.67,True,True,0.61,下跌
sh600621,18.38,14.18,22.85,True,True,0.8,下跌
sz002258,18.05,14.1,21.88,True,True,1.25,下跌
sh600352,17.11,13.19,22.91,True,True,0.84,上涨
sh601061,17.49,12.9,26.24,True,True,1.38,上涨
sz000923,26.98,18.95,29.76,True,True,0.96,下跌
sz000700,16.2,11.73,27.59,True,True,1.32,上涨
sh603238,20.37,15.87,22.09,True,True,0.77,上涨
sh605158,9.12,7.38,19.08,True,True,1.21,下跌
sz000531,8.56,6.72,21.5,True,True,0.63,上涨
sh600160,43.92,33.79,23.06,True,True,1.42,下跌
sh603236,102.56,77.0,24.92,True,True,0.85,下跌
sz000537,13.76,10.07,26.82,True,True,0.77,上涨
sh600711,18.73,14.54,22.37,True,True,0.9,上涨
sh600737,18.84,14.61,22.45,True,True,1.33,上涨
sh601003,5.8,4.64,20.0,True,True,0.99,上涨
sh601089,28.98,22.39,22.74,True,True,1.2,下跌
sh600362,70.7,46.75,33.88,True,True,1.59,上涨
sh600609,5.19,4.09,21.19,True,True,0.88,下跌
sh600426,44.1,35.34,19.86,True,True,1.2,下跌
sh600486,89.71,71.6,20.19,True,True,1.3,下跌
sh603697,14.27,9.82,31.18,True,True,0.8,下跌
sh603486,86.23,62.45,27.58,True,True,1.19,下跌
sh603535,10.43,8.26,20.81,True,True,1.09,下跌
sz002690,22.5,18.19,19.16,True,True,0.65,上涨
sh605338,34.1,25.26,25.92,True,True,1.09,下跌
sh601868,3.94,2.91,26.14,True,True,1.1,上涨
sh605599,28.35,22.76,19.72,True,True,0.89,下跌
sz000968,12.18,9.03,25.86,True,False,0.89,下跌
sh600458,15.5,11.98,22.71,True,True,0.59,上涨
sz002255,13.65,10.89,20.22,True,True,1.09,平盘
sh605090,55.33,42.36,23.44,True,True,1.79,上涨
sz002088,13.93,10.15,27.14,True,True,0.97,平盘
sz002249,12.16,9.44,22.37,True,True,0.9,上涨
sh603596,59.4,45.96,22.63,True,True,1.1,上涨
sh603993,28.78,20.23,29.71,True,True,0.98,上涨
sz002284,18.66,14.14,24.22,True,True,0.89,上涨
sz002159,21.62,17.14,20.72,True,True,0.9,下跌
sz002392,9.14,7.15,21.77,True,True,0.92,下跌
sh600028,8.11,5.56,31.44,True,True,1.09,下跌
sh603379,78.35,62.55,20.17,True,True,0.91,下跌
sh601949,8.08,6.28,22.28,True,True,0.85,下跌
sz000779,10.96,8.75,20.16,True,True,1.25,下跌
sz000830,21.8,16.19,25.73,True,True,0.75,下跌
sz002029,13.65,9.8,28.21,True,True,0.98,下跌
sh603680,17.37,13.25,23.72,True,True,1.43,上涨
sz001206,29.0,20.16,30.48,True,True,2.69,下跌
sh600531,24.79,14.63,40.98,True,True,1.76,上涨
sz001207,34.33,19.64,42.79,True,False,0.85,下跌
sh600163,8.82,6.04,31.52,True,True,0.37,下跌
sh601958,27.65,19.62,29.04,True,True,1.15,上涨
sz002978,43.4,34.23,21.13,True,True,1.11,上涨
sh601021,59.79,47.43,20.67,True,True,0.72,上涨
sh605337,14.95,11.01,26.35,True,True,1.26,上涨
sz000655,12.03,8.55,28.93,True,True,2.75,下跌
sh600956,11.24,8.07,28.2,True,True,0.58,下跌
sz002517,28.18,17.97,36.23,True,True,0.95,上涨
sh600256,7.85,6.15,21.66,True,True,0.63,下跌
sz000591,6.8,5.34,21.47,True,True,0.69,平盘
sz001233,90.28,67.65,25.07,True,True,0.95,下跌
sz001380,25.4,20.03,21.14,True,True,0.73,上涨
sz002847,75.93,54.05,28.82,True,True,0.88,下跌
sh600559,17.17,13.49,21.43,True,True,0.99,下跌
sz002303,4.28,3.34,21.96,True,True,0.52,下跌
sz002773,34.9,26.62,23.72,True,True,0.86,下跌
sh603355,38.92,26.99,30.65,True,True,2.43,下跌
sz000422,20.2,15.83,21.63,True,True,0.93,下跌
sz000997,31.44,21.26,32.38,True,True,1.61,上涨
sz002412,8.6,6.62,23.02,True,True,0.98,上涨
sh603612,36.35,27.5,24.35,True,True,1.26,上涨
sz002345,15.5,10.79,30.39,True,True,0.9,上涨
sz003012,7.63,6.16,19.27,True,True,1.08,上涨
sh600982,7.4,5.62,24.05,True,False,0.63,下跌
sz002101,13.0,10.35,20.38,True,True,2.35,下跌
sz002788,22.59,15.09,33.2,True,False,0.78,上涨
sh601808,21.85,15.25,30.21,True,True,0.71,下跌
sh603817,9.21,7.08,23.13,True,True,0.56,下跌
sz002223,44.93,32.8,27.0,True,True,0.81,下跌
sh601168,41.28,28.67,30.55,True,True,1.05,上涨
sh601567,33.66,26.25,22.01,True,True,1.21,上涨
sh603013,27.31,19.38,29.04,True,True,0.96,上涨
sz002928,11.96,8.45,29.35,True,True,0.74,下跌
