时间,代码,名称,板块,相关信息
14:48:04,300413,芒果超媒,60日新低,"19.390000,19.44000,-0.019173"
14:32:45,605338,巴比食品,60日新低,"23.000000,23.00000,-0.019608"
14:15:59,688185,康希诺,60日新低,"61.740000,61.74000,-0.024645"
14:13:44,920099,瑞华技术,60日新低,"29.000000,29.00000,-0.031396"
14:11:18,000913,钱江摩托,60日新低,"13.400000,13.40000,-0.016875"
13:38:22,688606,奥泰生物,60日新低,"53.960000,53.99000,-0.014061"
13:30:36,002165,红 宝 丽,60日新低,"8.530000,8.53000,-0.018412"
13:30:31,600178,东安动力,60日新低,"10.210000,10.21000,-0.010659"
13:29:35,688186,广大特材,60日新低,"19.880000,19.89000,-0.026908"
13:29:27,002110,三钢闽光,60日新低,"3.390000,3.39000,-0.028653"
13:29:15,002434,万里扬,60日新低,"7.070000,7.07000,-0.018056"
13:26:53,600328,中盐化工,60日新低,"8.080000,8.08000,-0.077626"
13:24:01,600363,联创光电,60日新低,"47.880000,47.88000,-0.070291"
13:18:27,920304,迪尔化工,60日新低,"11.470000,11.47000,-0.008643"
13:05:01,600782,新钢股份,60日新低,"3.090000,3.09000,-0.025237"
13:02:55,603589,口子窖,60日新低,"24.000000,24.00000,-0.012346"
13:02:27,000858,五 粮 液,60日新低,"97.030000,97.04000,-0.013219"
13:01:10,300541,先进数通,60日新低,"12.140000,12.14000,-0.013008"
13:01:09,002827,高争民爆,60日新低,"30.010000,30.02000,-0.019915"
13:01:00,002270,华明装备,60日新低,"24.400000,24.46000,-0.032819"
13:00:28,300052,中青宝,60日新低,"11.660000,11.66000,-0.052033"
11:08:12,002073,软控股份,60日新低,"6.740000,6.76000,-0.049226"
10:56:19,300360,炬华科技,60日新低,"14.470000,14.47000,-0.016984"
10:50:48,002478,常宝股份,60日新低,"8.960000,8.97000,-0.017525"
10:46:25,300634,彩讯股份,60日新低,"22.700000,22.75000,-0.024861"
10:32:06,603325,博隆技术,60日新低,"64.640000,64.64000,-0.007066"
10:20:12,002276,万马股份,60日新低,"13.010000,13.02000,-0.030529"
10:05:49,301330,熵基科技,60日新低,"30.850000,30.85000,-0.015321"
10:05:39,002139,拓邦股份,60日新低,"10.740000,10.74000,-0.011050"
10:05:27,601137,博威合金,60日新低,"17.670000,17.68000,-0.015590"
10:04:03,605599,菜百股份,60日新低,"19.790000,19.79000,-0.058516"
10:02:34,300376,易事特,60日新低,"5.760000,5.76000,-0.028668"
10:02:17,600571,信雅达,60日新低,"12.650000,12.65000,-0.027671"
10:01:14,603070,万控智造,60日新低,"13.810000,13.82000,-0.086583"
10:00:24,000591,太阳能,60日新低,"5.050000,5.06000,-0.015564"
09:57:18,000625,长安汽车,60日新低,"9.640000,9.65000,-0.004128"
09:56:17,603036,如通股份,60日新低,"17.240000,17.24000,-0.012034"
09:56:16,603759,海天股份,60日新低,"9.060000,9.06000,-0.027897"
09:55:03,000733,振华科技,60日新低,"42.980000,42.99000,-0.012632"
09:54:42,002828,贝肯能源,60日新低,"11.430000,11.45000,-0.053719"
09:51:42,603098,森特股份,60日新低,"13.970000,14.00000,-0.081967"
09:51:09,002130,沃尔核材,60日新低,"22.620000,22.63000,-0.011790"
09:50:48,002765,蓝黛科技,60日新低,"9.340000,9.35000,-0.012672"
09:46:42,002131,利欧股份,60日新低,"6.470000,6.48000,-0.013699"
09:46:38,688311,盟升电子,60日新低,"33.180000,33.20000,-0.011905"
09:46:07,603341,龙旗科技,60日新低,"35.210000,35.23000,-0.024100"
09:45:34,603105,芯能科技,60日新低,"9.680000,9.69000,-0.030030"
09:42:58,300101,振芯科技,60日新低,"19.330000,19.35000,-0.016268"
09:42:54,688648,中邮科技,60日新低,"49.210000,49.21000,-0.027470"
09:42:20,920195,三祥科技,60日新低,"16.840000,16.84000,-0.011157"
09:40:32,600582,天地科技,60日新低,"5.630000,5.63000,-0.019164"
09:39:31,603801,志邦家居,60日新低,"8.560000,8.57000,-0.038159"
09:39:26,600067,冠城新材,60日新低,"3.660000,3.66000,-0.091811"
09:39:21,601966,玲珑轮胎,60日新低,"13.300000,13.30000,-0.007463"
09:39:06,600420,国药现代,60日新低,"9.490000,9.50000,-0.010417"
09:39:05,688212,澳华内镜,60日新低,"34.070000,34.22000,-0.063748"
09:38:16,603528,多伦科技,60日新低,"7.680000,7.70000,-0.051724"
09:38:12,000801,四川九洲,60日新低,"12.680000,12.73000,-0.015468"
09:38:09,600620,天宸股份,60日新低,"5.780000,5.79000,-0.055465"
09:38:06,002036,联创电子,60日新低,"7.690000,7.71000,-0.024051"
09:38:05,688500,慧辰股份,60日新低,"46.260000,46.30000,-0.024647"
09:38:04,301004,嘉益股份,60日新低,"43.180000,43.23000,-0.012337"
09:37:49,601992,金隅集团,60日新低,"1.630000,1.63000,-0.041176"
09:37:43,601156,东航物流,60日新低,"16.190000,16.21000,0.000000"
09:37:34,603218,日月股份,60日新低,"12.780000,12.78000,-0.016923"
09:37:19,603456,九洲药业,60日新低,"13.850000,13.85000,-0.007880"
09:37:18,002717,*ST岭南,60日新低,"1.360000,1.36000,-0.042254"
09:37:18,000917,电广传媒,60日新低,"8.810000,8.82000,-0.005637"
09:37:13,300049,福瑞医科,60日新低,"49.430000,49.47000,-0.021171"
09:37:12,603199,九华旅游,60日新低,"36.550000,36.55000,-0.014559"
09:37:11,601702,华峰铝业,60日新低,"18.410000,18.42000,-0.020213"
09:37:03,603000,人民网,60日新低,"18.680000,18.68000,-0.042542"
09:37:01,300638,广和通,60日新低,"22.330000,22.35000,-0.006667"
09:36:53,603822,ST嘉澳,60日新低,"77.300000,77.35000,-0.045415"
09:36:42,002891,中宠股份,60日新低,"34.260000,34.30000,-0.018598"
09:36:39,002379,宏桥控股,60日新低,"24.560000,24.57000,-0.027316"
09:36:28,301127,武汉天源,60日新低,"13.880000,13.91000,-0.002867"
09:36:24,920015,锦华新材,60日新低,"36.220000,36.22000,-0.088346"
09:35:55,688023,安恒信息,60日新低,"45.460000,45.46000,-0.008506"
09:35:53,920128,胜业电气,60日新低,"23.760000,23.76000,-0.009174"
09:35:51,600547,山东黄金,60日新低,"34.320000,34.32000,-0.030508"
09:35:42,600728,佳都科技,60日新低,"5.430000,5.44000,-0.019820"
09:34:58,300882,万胜智能,60日新低,"18.400000,18.42000,-0.004862"
09:34:44,688236,春立医疗,60日新低,"17.830000,17.97000,-0.075142"
09:34:19,301449,天溯计量,60日新低,"68.070000,68.07000,-0.006712"
09:34:02,603402,陕西旅游,60日新低,"113.870000,113.87000,-0.018785"
09:33:47,920703,广厦环能,60日新低,"11.740000,11.74000,-0.008446"
09:33:41,600793,宜宾纸业,60日新低,"17.010000,17.01000,-0.046525"
09:33:29,601018,宁波港,60日新低,"3.730000,3.74000,-0.013193"
09:33:25,920007,酉立智能,60日新低,"51.870000,51.87000,-0.029197"
09:33:12,002401,中远海科,60日新低,"14.100000,14.15000,-0.028826"
09:33:12,002279,久其软件,60日新低,"7.710000,7.72000,-0.028931"
09:33:07,600038,中直股份,60日新低,"31.570000,31.57000,-0.004415"
09:33:05,688075,安旭生物,60日新低,"36.120000,36.12000,-0.038850"
09:32:06,002941,新疆交建,60日新低,"13.950000,13.99000,-0.014094"
09:31:58,600970,中材国际,60日新低,"9.380000,9.38000,-0.012632"
09:31:45,000050,深天马Ａ,60日新低,"7.680000,7.69000,-0.059902"
09:31:36,600992,贵绳股份,60日新低,"11.470000,11.47000,-0.046550"
09:31:34,600161,天坛生物,60日新低,"14.290000,14.29000,-0.011073"
09:31:33,002925,盈趣科技,60日新低,"18.570000,18.60000,-0.020021"
