序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
1,002333,罗普斯金,-1.08,5.5,1134.63万,7630.72万(04月17日),9,-7.25,建筑材料
2,603227,雪峰科技,-0.58,8.61,1200.52万,7109.44万(04月17日),9,-5.7,化学制品
3,000819,岳阳兴长,-0.55,16.34,625.74万,2545.79万(04月21日),7,-4.33,石油加工贸易
4,001312,福恩股份,-1.22,23.46,887.66万,4099.48万(04月21日),7,-23.26,纺织制造
6,000586,汇源通信,-1.67,17.71,1257.61万,4187.62万(04月22日),6,-14.4,通信设备
7,000707,双环科技,-1.0,5.95,1506.91万,6160.61万(04月22日),6,-5.1,化学原料
8,002635,安洁科技,-0.42,16.5,1794.58万,3031.78万(04月22日),6,-5.23,消费电子
9,002837,英维克,0.11,94.6,2971.54万,1.59亿(04月22日),6,-9.21,专用设备
10,002860,星帅尔,0.08,12.81,731.26万,1905.79万(04月22日),6,-4.19,白色家电
11,002982,湘佳股份,1.47,14.5,730.63万,2675.99万(04月22日),6,-1.16,养殖业
12,003027,同兴科技,0.21,23.72,1094.42万,3231.58万(04月22日),6,-5.65,环境治理
23,600103,青山纸业,-4.09,4.46,2.41亿,7.22亿(04月22日),6,-18.91,造纸
24,600961,株冶集团,-4.4,26.49,6605.01万,1.98亿(04月22日),6,-9.22,工业金属
25,603209,兴通股份,-0.8,14.88,360.52万,854.50万(04月22日),6,-1.52,港口航运
26,605298,必得科技,-0.9,58.67,240.95万,695.48万(04月22日),6,-2.1,轨交设备
27,000601,韶能股份,-2.23,6.57,7800.76万,2.06亿(04月23日),5,-12.52,电力
28,000751,锌业股份,0.0,6.11,1.03亿,3.19亿(04月23日),5,-9.35,工业金属
29,001390,古麒绒材,-0.14,21.33,94.29万,250.82万(04月23日),5,-1.25,纺织制造
30,002051,中工国际,0.1,10.12,4247.87万,9477.19万(04月23日),5,-6.38,建筑装饰
31,002278,神开股份,0.19,10.39,1248.50万,4759.12万(04月23日),5,-16.14,专用设备
32,002841,视源股份,0.0,36.91,492.93万,1745.32万(04月23日),5,-4.85,消费电子
33,003018,金富科技,-3.38,53.2,1213.89万,2664.35万(04月23日),5,-2.87,包装印刷
34,003035,南网能源,-4.76,7.4,9381.77万,2.20亿(04月23日),5,-19.39,电力
62,600234,科新发展,1.67,24.4,805.67万,2099.80万(04月23日),5,3.61,建筑装饰
63,600667,太极实业,-0.41,9.59,8478.47万,1.34亿(04月23日),5,-3.13,建筑装饰
64,600703,三安光电,-1.94,13.67,1.76亿,5.42亿(04月23日),5,-11.86,光学光电子
65,600777,*ST新潮,0.84,6.01,3869.24万,9393.23万(04月23日),5,1.69,油气开采及服务
66,601825,沪农商行,0.45,8.98,1980.27万,3722.48万(04月23日),5,1.01,银行
67,601857,中国石油,-0.24,12.22,1.73亿,2.56亿(04月23日),5,3.38,石油加工贸易
68,601868,中国能建,-0.7,2.83,5.00亿,9.66亿(04月23日),5,-5.35,建筑装饰
69,603115,海星股份,-1.4,56.89,769.69万,2109.66万(04月23日),5,-2.84,电子化学品
70,603193,润本股份,-0.61,25.97,509.99万,1250.88万(04月23日),5,-0.27,美容护理
71,603366,日出东方,-0.24,8.36,841.75万,1640.62万(04月23日),5,-0.48,厨卫电器
72,603895,天永智能,1.52,28.67,167.25万,444.47万(04月23日),5,-3.99,专用设备
73,605588,冠石科技,-0.28,56.84,168.60万,507.63万(04月23日),5,-2.62,光学光电子
76,000516,国际医学,-0.86,4.6,2204.20万,4528.56万(04月24日),4,-1.71,医疗服务
77,000536,华映科技,-1.25,3.94,2554.35万,4959.43万(04月24日),4,0.51,光学光电子
78,000779,甘咨询,0.57,8.86,669.71万,1151.99万(04月24日),4,5.98,建筑装饰
79,000793,*ST华闻,-0.73,2.73,2724.66万,6451.67万(04月24日),4,-6.83,文化传媒
80,000798,中水渔业,0.54,9.31,850.53万,2078.78万(04月24日),4,0.87,养殖业
81,000915,华特达因,1.12,28.96,355.12万,1202.21万(04月24日),4,1.97,化学制药
82,000930,中粮科技,0.83,6.08,1743.72万,4499.55万(04月24日),4,1.0,农产品加工
