序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
307,抖音概念(字节概念),213,1800.24,0.04%,623.63,644.56,-20.94
308,硅能源,63,1249.7,0.04%,127.69,138.01,-10.32
309,高压快充,122,2077.76,0.03%,327.41,320.54,6.86
310,虚拟数字人,173,1515.83,0.03%,275.75,305.85,-30.1
311,人脸识别,110,1431.4,0.03%,142.41,142.8,-0.39
312,金属铅,40,2173.56,0.03%,120.59,146.41,-25.82
313,创新药,273,1346.99,0.01%,209.35,220.59,-11.24
314,供销社,15,1194.9,0.00%,9.58,10.22,-0.65
315,同花顺中特估100,100,1234.01,-0.02%,328.92,397.08,-68.16
316,动物疫苗,20,1521.17,-0.03%,6.91,6.13,0.77
317,碳交易,117,1125.11,-0.03%,197.46,194.48,2.98
318,安防,174,5222.17,-0.03%,248.73,258.91,-10.18
319,虚拟电厂,149,1732.85,-0.04%,241.2,273.71,-32.5
320,F5G概念,36,4365.29,-0.09%,448.19,440.06,8.13
321,军民融合,245,1758.6,-0.12%,364.51,364.46,0.06
322,数据要素,391,1318.11,-0.12%,513.08,519.95,-6.87
323,华为汽车,172,3184.69,-0.13%,348.99,360.94,-11.95
324,量子科技,108,2714.0,-0.14%,465.33,422.67,42.66
325,白酒概念,49,6715.9,-0.16%,66.13,96.85,-30.72
326,无人驾驶,400,3063.95,-0.16%,1127.65,1076.82,50.82
327,医美概念,94,1381.04,-0.17%,85.11,91.43,-6.32
328,毛发医疗,26,1158.47,-0.18%,13.06,14.22,-1.15
329,数据确权,68,1644.46,-0.20%,63.41,68.45,-5.04
330,水泥概念,46,1332.52,-0.20%,28.14,36.4,-8.26
331,长安汽车概念,450,1721.79,-0.25%,381.89,401.87,-19.97
332,ETC,42,1894.67,-0.25%,45.83,47.01,-1.18
333,电力物联网,86,2260.7,-0.25%,109.2,114.73,-5.53
334,智能医疗,327,4775.28,-0.27%,455.63,481.09,-25.45
335,区块链,261,1645.81,-0.29%,435.79,447.08,-11.29
336,多模态AI,148,1418.37,-0.29%,275.5,299.53,-24.04
337,PEEK材料,51,2112.83,-0.31%,84.68,88.11,-3.44
338,AI智能体,427,1484.89,-0.33%,702.9,738.93,-36.03
339,光热发电,48,1160.97,-0.34%,44.41,55.88,-11.48
340,国产操作系统,132,1938.16,-0.34%,257.86,255.03,2.83
341,注册制次新股,81,201.87,-0.34%,145.57,135.45,10.12
342,玉米,33,2662.74,-0.37%,14.05,16.2,-2.15
343,ST板块,238,567.91,-0.37%,63.19,67.64,-4.46
344,6G概念,94,2577.12,-0.37%,609.51,568.29,41.23
345,云计算,219,4264.76,-0.41%,488.29,538.29,-50.0
346,毫米波雷达,125,2150.78,-0.41%,486.92,414.05,72.87
347,小米汽车,118,1724.26,-0.43%,282.52,298.89,-16.37
348,百度概念,231,2092.05,-0.44%,569.68,593.74,-24.06
349,超导概念,32,2722.03,-0.48%,120.8,120.47,0.33
350,智慧政务,218,1581.19,-0.50%,294.71,314.55,-19.84
351,细胞免疫治疗,63,1217.28,-0.52%,46.41,51.36,-4.95
352,信创,300,2159.63,-0.52%,533.25,567.92,-34.67
353,民爆概念,25,1871.58,-0.52%,27.33,29.11,-1.78
354,减肥药,62,1388.36,-0.53%,62.58,64.03,-1.45
355,横琴新区,43,2093.09,-0.59%,45.49,47.95,-2.46
356,数字乡村,100,1958.68,-0.64%,140.69,145.04,-4.35
357,华为欧拉,46,1621.77,-0.75%,83.14,103.69,-20.55
358,网络安全,196,5923.29,-0.76%,428.16,425.05,3.11
359,汽车热管理,137,2298.91,-0.76%,196.02,185.28,10.74
360,特钢概念,42,3513.74,-0.76%,35.98,43.99,-8.01
361,托育服务,16,1112.03,-0.78%,24.45,33.76,-9.31
362,AI语料,52,1264.27,-0.82%,83.9,89.24,-5.35
363,石墨电极,25,1276.22,-0.82%,44.58,46.48,-1.89
364,数字货币,92,2163.95,-0.85%,120.94,112.48,8.46
365,ChatGPT概念,142,1935.65,-0.91%,254.2,263.85,-9.65
366,转基因,20,1891.51,-0.91%,8.66,10.18,-1.52
367,深圳国企改革,58,1906.68,-0.91%,36.2,36.21,-0.01
368,移动支付,77,2455.18,-0.92%,90.75,96.75,-6.0
369,蚂蚁集团概念,80,1702.95,-0.92%,103.31,125.64,-22.33
370,数据安全,176,1241.94,-1.04%,404.87,390.6,14.27
371,国产航母,36,2332.1,-1.10%,91.8,91.01,0.79
372,兵装重组概念,14,1255.37,-1.10%,3.06,4.8,-1.74
373,军工信息化,111,1917.37,-1.10%,126.47,141.97,-15.5
374,华为鲲鹏,176,1505.21,-1.28%,266.36,295.46,-29.1
375,财税数字化,66,1909.59,-1.31%,71.95,79.32,-7.37
376,两轮车,70,1943.34,-1.34%,89.51,106.21,-16.7
377,太赫兹,21,2412.75,-1.39%,160.41,148.52,11.89
378,举牌,15,2998.25,-1.42%,11.79,13.15,-1.36
379,共享单车,12,1263.79,-1.45%,9.1,12.16,-3.07
380,华为盘古,29,1077.42,-1.45%,42.03,57.84,-15.8
381,ERP概念,36,1510.32,-1.46%,46.26,49.83,-3.57
382,跨境支付(CIPS),73,1675.2,-1.54%,116.06,139.66,-23.6
383,华为昇腾,105,1742.13,-1.56%,201.05,227.96,-26.91
384,电子身份证,39,1400.82,-1.72%,25.17,25.3,-0.13
385,抽水蓄能,76,1765.7,-1.74%,187.89,211.79,-23.9
386,国资云,54,1599.84,-1.83%,129.84,132.15,-2.32
387,高压氧舱,11,1313.57,-2.06%,8.86,8.73,0.13
