序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,PET铜箔,47,1973.65,7.59%,144.72,125.56,19.17
2,赛马概念,4,1330.9,6.90%,2.77,2.65,0.12
3,足球概念,38,1765.13,5.84%,38.22,31.07,7.15
4,国家大基金持股,48,2455.66,5.56%,519.09,444.28,74.81
5,PVDF概念,18,1510.32,5.16%,52.54,58.15,-5.61
6,存储芯片,179,2323.29,4.81%,1210.99,1085.9,125.09
7,中芯国际概念,89,2844.3,4.29%,579.6,509.28,70.31
8,先进封装,165,2350.21,4.18%,845.11,777.02,68.09
9,盐湖提锂,46,2308.0,4.17%,232.02,263.34,-31.32
10,MiniLED,102,2590.87,3.98%,418.94,376.2,42.75
11,广东自贸区,27,1435.38,3.93%,25.14,23.99,1.15
12,免税店,26,1044.31,3.90%,25.82,23.46,2.36
13,金属镍,40,1408.25,3.90%,126.78,127.39,-0.6
14,汽车拆解概念,48,1815.01,3.88%,72.91,60.92,11.98
15,PCB概念,199,2439.14,3.76%,779.36,718.69,60.67
16,租售同权,28,848.76,3.73%,18.99,18.17,0.82
17,科创次新股,23,706.2,3.64%,100.01,90.32,9.7
18,装配式建筑,107,1083.04,3.63%,50.18,58.7,-8.52
19,柔性屏(折叠屏),106,3264.49,3.58%,346.04,291.19,54.84
20,猪肉,32,2653.72,3.45%,19.05,23.38,-4.33
21,BC电池,50,1357.32,3.43%,121.29,119.86,1.43
22,汽车芯片,140,1363.15,3.36%,699.05,631.35,67.7
23,特色小镇,40,561.4,3.20%,39.22,36.73,2.49
24,HJT电池,65,3457.7,3.13%,136.28,137.73,-1.45
25,磷化工,65,3504.66,3.05%,160.66,175.46,-14.81
26,稀土永磁,63,3752.07,2.98%,119.25,138.5,-19.25
27,超级品牌,48,1545.15,2.97%,137.06,148.03,-10.98
28,露营经济,55,1800.99,2.95%,23.46,25.3,-1.83
29,智能音箱,59,2854.41,2.93%,379.83,309.54,70.29
30,物业管理,178,1268.73,2.90%,91.31,84.58,6.74
31,金属钴,33,3084.97,2.87%,173.56,207.49,-33.93
32,小金属概念,167,3977.63,2.83%,536.66,596.58,-59.92
33,一体化压铸,54,1313.68,2.82%,64.63,52.56,12.06
34,天津自贸区,16,1229.95,2.80%,15.78,16.78,-1.0
35,房屋检测,46,1813.75,2.78%,16.78,18.75,-1.97
36,氟化工概念,59,5589.0,2.75%,238.2,246.22,-8.02
37,固态电池,288,1621.37,2.70%,923.79,949.68,-25.89
38,苹果概念,138,6001.29,2.67%,692.91,603.44,89.46
39,锂电池概念,589,2140.81,2.65%,1628.1,1624.2,3.9
40,海南自贸区,29,1715.0,2.64%,42.04,47.43,-5.39
41,体育产业,131,1136.31,2.63%,89.73,86.86,2.87
42,可降解塑料,164,1631.38,2.62%,58.32,56.22,2.1
43,PM2.5,36,1891.86,2.62%,33.97,28.94,5.03
44,OLED,150,2950.56,2.62%,572.27,509.61,62.67
45,第三代半导体,163,2415.5,2.60%,705.44,661.59,43.85
46,POE胶膜,29,1002.16,2.58%,43.02,45.03,-2.02
47,新型城镇化,218,1405.56,2.56%,136.77,152.42,-15.64
48,芯片概念,869,4899.54,2.55%,3771.5,3535.76,235.74
49,工业母机,111,2072.88,2.54%,208.59,196.6,11.98
50,消费电子概念,479,3240.76,2.53%,1536.01,1375.53,160.48
51,石墨烯,76,1887.58,2.53%,157.63,143.4,14.22
52,钙钛矿电池,90,1255.13,2.51%,240.88,237.71,3.17
53,TOPCON电池,82,1252.0,2.50%,174.78,177.71,-2.93
54,丙烯酸,19,2168.01,2.50%,29.35,29.74,-0.39
55,智能穿戴,235,4474.43,2.48%,904.94,801.09,103.86
56,钛白粉概念,15,2182.63,2.47%,19.34,19.52,-0.17
57,摘帽,53,1007.6,2.46%,79.46,77.78,1.68
58,中韩自贸区,17,2572.77,2.45%,16.67,16.14,0.52
59,环氧丙烷,26,1679.16,2.40%,36.87,38.79,-1.92
60,养鸡,22,1291.27,2.36%,9.15,10.35,-1.2
61,光刻胶,73,4695.89,2.34%,180.95,172.15,8.81
62,新型工业化,286,1802.7,2.34%,406.94,368.65,38.29
63,煤炭概念,87,2511.03,2.33%,142.23,148.01,-5.78
64,新型烟草(电子烟),53,2125.89,2.31%,112.42,123.66,-11.24
65,净水概念,77,1266.53,2.30%,77.47,79.41,-1.94
66,2026一季报预增,101,1244.23,2.29%,555.38,555.09,0.29
67,金属回收,84,1350.11,2.27%,175.17,190.18,-15.01
68,宁德时代概念,283,2524.22,2.25%,841.24,844.04,-2.8
69,消毒剂,60,2264.42,2.25%,57.09,59.53,-2.44
70,智慧灯杆,63,1682.77,2.18%,55.92,57.65,-1.73
71,光刻机,47,2453.32,2.17%,158.53,156.26,2.27
72,股权转让(并购重组),922,1169.03,2.14%,601.83,594.3,7.53
73,垃圾分类,98,2026.77,2.10%,75.88,73.7,2.18
74,NMN概念,25,1379.18,2.10%,18.56,16.56,2.0
75,无线充电,57,2185.56,2.04%,169.91,148.75,21.16
76,网红经济,118,1567.35,2.04%,115.72,112.43,3.3
77,富士康概念,106,3487.29,2.03%,443.87,399.92,43.94
78,无线耳机,97,2603.5,2.03%,495.03,436.66,58.36
79,AI眼镜,184,2677.68,2.01%,794.78,692.19,102.59
80,铜缆高速连接,45,3026.02,2.01%,366.58,316.58,50.0
81,华为手机,45,1750.54,1.94%,249.47,211.84,37.63
82,培育钻石,18,2108.74,1.92%,35.19,29.11,6.08
83,金属铜,93,2006.76,1.92%,251.78,292.62,-40.84
84,中船系,20,1804.29,1.90%,27.17,29.66,-2.49
85,同花顺漂亮100,100,908.78,1.86%,978.78,1011.12,-32.34
86,C2M概念,39,2044.15,1.86%,24.51,26.95,-2.44
87,减速器,133,2044.57,1.83%,138.34,128.2,10.14
88,代糖概念,23,1029.48,1.83%,20.52,19.95,0.58
89,3D打印,133,4732.93,1.83%,291.89,279.54,12.34
90,文化传媒概念,197,3016.43,1.81%,207.87,214.95,-7.09
91,MCU芯片,93,1747.84,1.78%,311.52,282.9,28.62
92,固废处理,153,2430.87,1.78%,138.46,139.03,-0.56
93,建筑节能,94,1548.62,1.77%,70.9,60.17,10.73
94,粤港澳大湾区,475,2811.4,1.77%,1085.87,1009.22,76.65
95,煤化工概念,108,2776.87,1.77%,185.51,185.46,0.05
96,上海自贸区,58,4519.5,1.75%,132.75,114.11,18.64
97,冰雪产业,59,1511.92,1.72%,49.43,42.89,6.54
98,养老概念,218,2315.54,1.69%,131.0,133.11,-2.11
99,流感,183,1523.27,1.69%,100.62,106.12,-5.5
100,钠离子电池,137,1501.74,1.69%,470.54,494.03,-23.5
101,共封装光学(CPO),168,5506.79,1.67%,1694.12,1626.25,67.87
102,MicroLED概念,71,1755.01,1.65%,251.49,225.11,26.38
103,虚拟现实,286,1083.2,1.64%,835.38,749.13,86.25
104,福建自贸区,127,1762.5,1.64%,206.58,245.74,-39.16
105,MR(混合现实),70,1832.06,1.64%,278.67,239.29,39.38
106,IP经济(谷子经济),194,1363.15,1.63%,148.48,141.26,7.22
107,AI手机,38,2093.43,1.57%,330.35,301.06,29.28
108,跨境电商,336,1047.89,1.56%,313.65,332.58,-18.92
109,动力电池回收,94,1033.22,1.56%,399.52,444.6,-45.07
110,专精特新,1179,1750.45,1.55%,1499.95,1438.27,61.69
111,机器视觉,245,2061.49,1.54%,521.36,455.75,65.61
112,医疗废物处理,43,1591.58,1.54%,21.74,24.12,-2.38
113,信托概念,23,1259.42,1.53%,16.09,22.99,-6.89
114,烟草,41,1704.08,1.53%,44.32,42.48,1.84
115,猴痘概念,74,931.87,1.53%,42.53,39.56,2.98
116,成飞概念,43,1980.64,1.53%,63.96,51.58,12.38
117,高端装备,362,3652.59,1.51%,635.13,632.87,2.26
118,传感器,264,1669.61,1.50%,543.56,497.12,46.44
119,小米概念,369,2163.57,1.50%,1020.66,987.91,32.75
120,啤酒概念,29,1755.94,1.49%,22.63,25.1,-2.47
121,回购增持再贷款概念,481,1591.84,1.48%,948.85,938.75,10.1
122,光伏建筑一体化,133,1743.31,1.48%,148.94,164.69,-15.75
123,黑龙江自贸区,36,1884.64,1.47%,33.4,34.14,-0.75
124,统一大市场,117,1445.76,1.47%,69.43,65.8,3.64
125,智能家居,286,3965.72,1.47%,483.93,452.31,31.62
126,预制菜,100,1134.98,1.44%,47.42,45.26,2.16
127,特斯拉概念,247,6012.4,1.43%,839.98,809.32,30.66
128,食品安全,83,4855.48,1.43%,46.02,43.7,2.32
129,家用电器,178,4355.52,1.41%,331.09,307.26,23.83
130,同花顺新质50,50,2536.06,1.41%,573.04,567.26,5.77
131,旅游概念,150,3019.65,1.40%,130.3,118.89,11.41
132,比亚迪概念,664,2071.84,1.39%,1365.24,1284.95,80.29
133,同花顺果指数,20,2204.56,1.38%,391.71,326.29,65.42
134,粮食概念,47,949.06,1.37%,24.66,26.74,-2.07
135,互联网保险,21,1024.81,1.35%,56.68,61.45,-4.77
136,天然气,165,1815.86,1.34%,185.57,190.05,-4.48
137,有机硅概念,51,2158.85,1.33%,73.91,71.21,2.7
138,三胎概念,212,2484.25,1.32%,125.49,135.35,-9.87
139,雄安新区,196,1257.35,1.32%,199.46,218.99,-19.53
140,地下管网,105,1430.06,1.32%,56.93,53.0,3.92
141,西部大开发,632,1989.97,1.31%,951.11,1010.59,-59.48
142,黄金概念,81,3975.84,1.30%,168.93,202.08,-33.16
143,Web3.0,65,2011.89,1.30%,116.32,122.01,-5.68
144,光伏概念,590,4707.24,1.28%,1266.93,1271.77,-4.84
145,汽车电子,381,5679.56,1.28%,1440.58,1302.48,138.09
146,云游戏,27,1697.98,1.27%,85.38,95.17,-9.79
147,5G,448,6544.62,1.27%,2084.71,1972.61,112.1
148,期货概念,71,1878.03,1.26%,107.78,114.0,-6.22
149,同花顺出海50,50,1934.13,1.26%,534.57,538.89,-4.32
150,航运概念,84,1814.68,1.24%,71.92,75.58,-3.66
151,长三角一体化,258,2111.53,1.23%,367.5,370.15,-2.65
152,人形机器人,434,2551.66,1.23%,1084.63,1031.73,52.9
153,海峡两岸,314,1973.36,1.23%,831.73,772.95,58.78
154,换电概念,92,1765.5,1.22%,191.83,219.14,-27.31
155,DRG/DIP,22,1066.22,1.22%,10.64,9.05,1.58
156,污水处理,229,1974.46,1.20%,246.06,242.02,4.04
157,储能,850,2751.36,1.18%,1849.98,1867.66,-17.68
158,工业大麻,31,1659.57,1.17%,33.85,35.53,-1.68
159,参股银行,764,1593.05,1.17%,190.73,188.78,1.95
160,碳纤维,77,2211.03,1.16%,93.91,93.85,0.06
161,超级电容,37,3112.26,1.16%,164.53,154.17,10.36
162,职业教育,134,1790.85,1.15%,119.66,119.91,-0.25
163,融资融券,3789,1922.83,1.14%,7454.83,7514.01,-59.18
164,小红书概念,54,1632.53,1.13%,93.51,114.14,-20.63
165,Sora概念(文生视频),48,2421.57,1.12%,73.38,71.02,2.35
166,机器人概念,1176,4223.64,1.12%,2222.03,2127.11,94.92
167,智能座舱,167,1696.06,1.12%,602.62,510.1,92.53
168,人造肉,20,1578.58,1.10%,17.33,16.54,0.8
169,钒电池,37,1550.23,1.10%,51.0,51.48,-0.49
170,碳中和,273,2159.81,1.10%,400.86,407.19,-6.33
171,互联网金融,217,6512.99,1.08%,220.71,227.85,-7.14
172,PPP概念,200,1002.31,1.07%,144.59,164.43,-19.84
173,自由贸易港,45,1046.91,1.06%,18.7,20.61,-1.91
174,核污染防治,59,1683.42,1.05%,68.81,61.83,6.98
175,创投,461,3733.88,1.04%,1049.3,1060.39,-11.08
176,人民币贬值受益,602,2511.31,1.04%,1631.16,1560.87,70.29
177,基因测序,70,2112.51,1.04%,88.14,83.0,5.14
178,沪股通,1532,2515.44,1.04%,2985.43,3089.57,-104.13
179,土地流转,42,2257.83,1.03%,30.55,28.69,1.86
180,网络游戏,66,1708.15,1.03%,118.48,128.39,-9.91
181,俄乌冲突概念,74,1685.38,1.00%,168.82,169.23,-0.41
182,可控核聚变,111,2504.68,1.00%,290.51,307.15,-16.64
183,合成生物,164,1666.68,1.00%,130.12,129.45,0.66
184,家庭医生,26,1305.03,0.97%,30.8,36.41,-5.61
185,充电桩,387,6924.36,0.97%,796.67,767.84,28.83
186,短剧游戏,84,1403.13,0.96%,163.35,174.9,-11.56
187,深股通,1717,1416.3,0.95%,4412.63,4399.26,13.36
188,中俄贸易概念,178,1805.72,0.95%,107.39,110.22,-2.83
189,禽流感,26,2288.78,0.95%,13.8,14.21,-0.41
190,网约车,29,1603.63,0.94%,17.98,16.65,1.33
191,农业种植,93,2656.73,0.94%,46.48,44.95,1.53
192,可燃冰,14,1782.21,0.93%,11.28,16.14,-4.86
193,共同富裕示范区,185,1626.76,0.92%,183.85,184.59,-0.73
194,卫星导航,275,5101.61,0.91%,755.14,730.18,24.96
195,金属锌,44,2462.42,0.91%,122.9,154.78,-31.87
196,一带一路,768,2628.64,0.90%,1169.67,1228.64,-58.97
197,拼多多概念,40,1833.51,0.90%,49.54,52.53,-2.99
198,电子纸,24,1345.87,0.89%,41.72,34.99,6.73
199,民营医院,73,1607.89,0.89%,59.62,56.94,2.68
200,维生素,74,1415.74,0.88%,40.71,41.75,-1.04
201,航空发动机,96,3602.04,0.86%,199.22,192.45,6.77
202,知识产权保护,51,1888.89,0.86%,45.25,40.44,4.81
203,快手概念,50,2092.27,0.85%,115.06,137.71,-22.65
204,化债概念(AMC概念),42,1238.99,0.84%,18.35,19.46,-1.11
205,氢能源,397,2951.81,0.84%,694.87,738.88,-44.01
206,冷链物流,153,1913.27,0.84%,117.16,126.26,-9.11
207,幽门螺杆菌概念,74,1083.99,0.84%,41.9,41.55,0.35
208,液冷服务器,199,2260.33,0.82%,1063.23,1019.14,44.09
209,工业互联网,427,2886.73,0.82%,875.44,887.92,-12.48
210,新能源汽车,1033,4993.4,0.82%,2277.58,2212.59,64.99
211,国企改革,2922,1531.81,0.82%,1922.66,2047.41,-124.75
212,燃料电池,213,2228.11,0.81%,345.17,358.71,-13.54
213,空间计算,62,1374.43,0.81%,52.95,59.39,-6.45
214,医疗器械概念,405,3227.93,0.81%,457.81,463.23,-5.42
215,土壤修复,91,1174.08,0.78%,97.88,107.13,-9.25
216,乳业,35,2163.53,0.78%,15.86,17.92,-2.06
217,数字孪生,194,2045.66,0.78%,304.89,297.16,7.73
218,乡村振兴,427,1247.11,0.78%,478.23,510.03,-31.79
219,物联网,460,3235.45,0.77%,1036.74,960.24,76.5
220,算力租赁,176,1582.11,0.77%,497.92,554.19,-56.26
221,腾讯概念,295,1431.81,0.77%,763.87,784.13,-20.27
222,人工智能,1061,1422.32,0.77%,1748.34,1769.3,-20.95
223,青蒿素,10,2078.92,0.76%,8.4,10.48,-2.09
224,军工,602,2602.73,0.74%,1099.56,1128.85,-29.29
225,海工装备,270,4062.38,0.73%,607.43,625.59,-18.15
226,血氧仪,24,1726.03,0.72%,29.17,34.18,-5.0
227,智能物流,235,1191.29,0.72%,288.57,279.85,8.72
228,参股保险,114,1512.08,0.71%,66.56,71.75,-5.19
229,农机,97,1418.98,0.70%,119.57,114.31,5.26
230,草甘膦,19,1667.6,0.69%,14.02,14.77,-0.75
231,大飞机,152,4142.25,0.69%,306.72,289.18,17.54
232,华为概念,1002,3707.62,0.69%,2503.33,2459.46,43.87
233,高铁,179,3961.32,0.67%,187.25,199.01,-11.76
234,智能电网,274,4256.02,0.66%,614.55,620.81,-6.26
235,无人机,455,3329.56,0.66%,851.96,843.34,8.62
236,页岩气,52,3098.12,0.64%,75.25,67.09,8.16
237,京津冀一体化,291,2152.49,0.63%,333.28,363.37,-30.09
238,空气能热泵,54,1603.56,0.62%,68.15,61.6,6.55
239,仿制药一致性评价,143,1734.17,0.61%,102.86,104.74,-1.89
240,肝炎概念,140,1190.64,0.60%,78.18,78.71,-0.53
241,2025年报预增,504,1217.56,0.59%,1611.63,1632.23,-20.6
242,上海国企改革,108,1960.48,0.59%,37.67,40.15,-2.48
243,参股券商,232,1593.41,0.58%,106.79,126.49,-19.7
244,语音技术,63,2066.44,0.56%,96.98,90.72,6.26
245,手机游戏,59,2966.29,0.55%,109.75,124.02,-14.27
246,云办公,48,1961.02,0.54%,65.96,59.98,5.98
247,农村电商,37,1949.59,0.54%,20.74,24.42,-3.68
248,特高压,125,5393.25,0.53%,376.3,378.8,-2.5
249,生态农业,58,1857.93,0.53%,41.2,49.82,-8.62
250,新股与次新股,128,16407.4,0.53%,145.57,135.45,10.12
251,在线教育,128,3112.26,0.52%,174.0,198.15,-24.15
252,宠物经济,126,1553.4,0.51%,75.03,82.09,-7.06
253,超超临界发电,87,1748.87,0.51%,128.87,132.95,-4.08
254,商业航天,491,2430.55,0.51%,1273.09,1255.49,17.6
255,阿尔茨海默概念,86,1306.15,0.50%,37.77,44.97,-7.2
256,医药电商,174,1071.93,0.49%,94.74,106.0,-11.26
257,水利,259,2698.81,0.46%,326.75,355.38,-28.63
258,DeepSeek概念,769,1777.35,0.44%,1349.81,1406.93,-57.12
259,化肥,74,1175.1,0.44%,144.92,158.73,-13.81
260,中字头股票,133,1914.59,0.41%,265.68,297.98,-32.31
261,核电,340,4420.71,0.41%,543.37,557.84,-14.47
262,华为海思概念股,50,4151.83,0.40%,260.98,254.77,6.21
263,数据中心,603,2470.84,0.39%,2506.56,2524.52,-17.97
264,大豆,15,1858.72,0.36%,5.88,7.16,-1.28
265,英伟达概念,78,1839.92,0.36%,485.03,500.12,-15.1
266,电子竞技,35,523.57,0.35%,50.64,55.73,-5.09
267,星闪概念,75,1497.9,0.35%,163.75,143.95,19.79
268,光纤概念,94,3597.73,0.34%,709.29,674.97,34.33
269,AIGC概念,287,2242.42,0.32%,472.59,506.64,-34.05
270,生物质能发电,61,1180.13,0.31%,40.24,49.01,-8.77
271,眼科医疗,58,1891.3,0.31%,64.43,64.83,-0.4
272,华为数字能源,45,1731.74,0.31%,100.15,108.98,-8.84
273,数字经济,506,1706.7,0.31%,663.36,696.48,-33.13
274,新疆振兴,154,1111.05,0.29%,185.25,186.37,-1.12
275,MLOps概念,18,1103.32,0.29%,38.09,41.61,-3.52
276,柔性直流输电,62,1689.68,0.27%,220.14,219.06,1.07
277,风电,423,1448.42,0.26%,813.4,853.45,-40.05
278,独角兽概念,111,2148.41,0.25%,307.78,300.98,6.8
279,重组蛋白,116,808.36,0.23%,34.69,32.16,2.53
280,鸿蒙概念,261,1973.14,0.22%,354.34,374.85,-20.51
281,芬太尼,8,2179.85,0.20%,2.61,3.3,-0.69
282,元宇宙,181,2001.72,0.19%,341.49,355.54,-14.05
283,无人零售,25,1491.26,0.19%,11.93,11.74,0.18
284,智慧城市,417,4620.24,0.19%,703.18,705.31,-2.13
285,雅下水电概念,89,1419.53,0.19%,128.45,153.18,-24.73
286,央企国企改革,788,3350.51,0.18%,645.0,713.11,-68.11
287,证金持股,207,1200.24,0.18%,688.62,782.33,-93.71
288,生物疫苗,60,1772.76,0.17%,36.55,37.37,-0.83
289,数字水印,30,1204.44,0.16%,37.79,40.09,-2.3
290,飞行汽车(eVTOL),266,2009.06,0.16%,198.62,206.48,-7.87
291,CRO概念,73,905.26,0.15%,76.51,72.73,3.77
292,AI应用,487,941.53,0.14%,683.68,710.27,-26.59
293,绿色电力,414,1289.93,0.12%,626.75,664.34,-37.59
294,高股息精选,284,1557.51,0.12%,241.04,295.37,-54.33
295,低空经济,485,2302.61,0.12%,877.3,884.18,-6.88
296,东数西算(算力),381,2409.23,0.11%,1355.01,1401.92,-46.91
297,脑机接口,70,1729.3,0.11%,85.64,91.44,-5.8
298,阿里巴巴概念,686,2098.94,0.11%,963.9,998.41,-34.52
299,车联网(车路协同),295,1257.68,0.10%,599.16,564.25,34.92
300,EDR概念,20,1655.49,0.09%,83.87,84.64,-0.77
301,染料,38,1660.75,0.09%,29.67,28.77,0.9
302,NFT概念,71,1902.28,0.08%,111.6,119.36,-7.76
303,辅助生殖,74,1316.49,0.07%,53.59,57.65,-4.07
304,牙科医疗,29,1145.67,0.07%,30.72,30.22,0.5
305,时空大数据,65,1662.92,0.06%,63.43,74.21,-10.78
306,智谱AI,70,1569.12,0.06%,142.45,152.53,-10.08
