时间,代码,名称,板块,相关信息
14:43:21,605268,王力安防,60日大幅下跌,"-0.079943,12.89000,-0.079943"
14:24:43,688139,海尔生物,60日大幅下跌,"-0.043412,31.29000,-0.043412"
14:16:39,920402,硅烷科技,60日大幅下跌,"-0.061311,8.88000,-0.061311"
14:06:07,301376,致欧科技,60日大幅下跌,"-0.050626,16.71000,-0.049488"
13:58:41,688202,美迪西,60日大幅下跌,"-0.070875,61.09000,-0.070875"
13:42:06,600076,康欣新材,60日大幅下跌,"-0.076705,3.27000,-0.071023"
13:41:04,600729,重庆百货,60日大幅下跌,"-0.028926,21.15000,-0.028926"
13:37:21,600478,科力远,60日大幅下跌,"-0.051250,7.59000,-0.051250"
13:26:01,300082,奥克股份,60日大幅下跌,"-0.072006,11.48000,-0.071197"
13:24:01,601298,青岛港,60日大幅下跌,"-0.029933,8.76000,-0.028825"
13:16:38,600611,大众交通,60日大幅下跌,"-0.038380,4.51000,-0.038380"
11:17:03,000925,众合科技,60日大幅下跌,"-0.064549,9.14000,-0.063525"
11:14:14,688161,威高骨科,60日大幅下跌,"-0.052041,27.87000,-0.052041"
11:11:46,603313,梦百合,60日大幅下跌,"-0.063037,6.55000,-0.061605"
11:10:23,600795,国电电力,60日大幅下跌,"-0.026749,4.74000,-0.024691"
10:51:04,601328,交通银行,60日大幅下跌,"-0.020144,6.82000,-0.018705"
10:42:57,002662,峰璟股份,60日大幅下跌,"-0.041667,3.91000,-0.041667"
10:33:36,603833,欧派家居,60日大幅下跌,"-0.048975,46.51000,-0.046926"
10:31:09,603393,新天然气,60日大幅下跌,"-0.073106,31.58000,-0.072813"
10:26:16,600707,彩虹股份,60日大幅下跌,"-0.077273,8.13000,-0.076136"
10:20:16,301560,众捷汽车,60日大幅下跌,"-0.067727,41.02000,-0.067727"
10:15:27,605599,菜百股份,60日大幅下跌,"-0.074691,19.47000,-0.073739"
10:15:04,603016,新宏泰,60日大幅下跌,"-0.078156,55.20000,-0.078156"
10:06:42,003026,中晶科技,60日大幅下跌,"-0.053986,44.86000,-0.053986"
10:00:57,600748,上实发展,60日大幅下跌,"-0.054845,5.17000,-0.054845"
10:00:25,603192,汇得科技,60日大幅下跌,"-0.047619,22.60000,-0.047619"
09:53:11,600176,中国巨石,60日大幅下跌,"-0.075070,33.02000,-0.075070"
09:52:09,002279,久其软件,60日大幅下跌,"-0.055346,7.52000,-0.054088"
09:51:27,688511,天微电子,60日大幅下跌,"-0.072115,21.23000,-0.072115"
09:51:16,688579,地纬智能,60日大幅下跌,"-0.068709,10.03000,-0.068709"
09:51:15,600212,绿能慧充,60日大幅下跌,"-0.046729,7.15000,-0.045394"
09:47:06,920961,创远信科,60日大幅下跌,"-0.074112,18.25000,-0.073604"
09:41:41,605259,绿田机械,60日大幅下跌,"-0.053333,19.88000,-0.053333"
09:41:22,600132,重庆啤酒,60日大幅下跌,"-0.032034,54.40000,-0.031856"
09:40:06,600801,华新建材,60日大幅下跌,"-0.054150,21.38000,-0.051043"
09:39:48,600803,新奥股份,60日大幅下跌,"-0.053763,20.30000,-0.050958"
09:39:14,688443,智翔金泰-U,60日大幅下跌,"-0.054545,29.19000,-0.052273"
09:39:06,600055,万东医疗,60日大幅下跌,"-0.033865,14.59000,-0.031209"
09:39:04,603801,志邦家居,60日大幅下跌,"-0.038159,8.59000,-0.035915"
09:39:01,600892,*ST大晟,60日大幅下跌,"-0.044503,3.65000,-0.044503"
09:38:57,603098,森特股份,60日大幅下跌,"-0.065574,14.28000,-0.063607"
09:38:54,000800,一汽解放,60日大幅下跌,"-0.031294,6.82000,-0.029872"
09:38:48,600876,凯盛新能,60日大幅下跌,"-0.060423,9.33000,-0.060423"
09:38:26,600328,中盐化工,60日大幅下跌,"-0.063927,8.20000,-0.063927"
09:38:20,689009,九号公司-WD,60日大幅下跌,"-0.049890,43.23000,-0.049890"
09:38:16,600039,四川路桥,60日大幅下跌,"-0.046911,8.33000,-0.046911"
09:38:15,603167,渤海轮渡,60日大幅下跌,"-0.033191,9.03000,-0.033191"
09:38:06,002052,同洲电子,60日大幅下跌,"-0.054737,8.98000,-0.054737"
09:38:03,002073,软控股份,60日大幅下跌,"-0.047820,6.78000,-0.046414"
09:37:50,688212,澳华内镜,60日大幅下跌,"-0.057456,34.50000,-0.056088"
09:37:45,688026,洁特生物,60日大幅下跌,"-0.054501,15.44000,-0.054501"
09:37:43,603528,多伦科技,60日大幅下跌,"-0.046798,7.74000,-0.046798"
09:37:30,002486,嘉麟杰,60日大幅下跌,"-0.057432,2.80000,-0.054054"
09:37:27,600850,电科数字,60日大幅下跌,"-0.059296,18.73000,-0.058794"
09:37:18,603278,大业股份,60日大幅下跌,"-0.059278,10.96000,-0.058419"
09:37:10,688303,大全能源,60日大幅下跌,"-0.053571,21.75000,-0.052700"
09:36:54,601162,天风证券,60日大幅下跌,"-0.032345,3.59000,-0.032345"
09:36:30,600620,天宸股份,60日大幅下跌,"-0.045677,5.86000,-0.044046"
09:35:51,600557,康缘药业,60日大幅下跌,"-0.033692,13.48000,-0.033692"
09:35:27,000932,华菱钢铁,60日大幅下跌,"-0.060852,4.64000,-0.058824"
09:35:12,000977,浪潮信息,60日大幅下跌,"-0.056170,68.29000,-0.055202"
09:35:02,605499,东鹏饮料,60日大幅下跌,"-0.063985,196.87000,-0.055009"
09:34:17,605189,富春染织,60日大幅下跌,"-0.062325,16.78000,-0.057833"
09:33:44,688306,均普智能,60日大幅下跌,"-0.043057,8.90000,-0.041981"
09:33:43,688711,宏微科技,60日大幅下跌,"-0.070270,25.80000,-0.070270"
09:33:16,688363,华熙生物,60日大幅下跌,"-0.044983,41.40000,-0.044983"
09:33:09,600648,外高桥,60日大幅下跌,"-0.026415,10.32000,-0.026415"
09:33:05,688075,安旭生物,60日大幅下跌,"-0.038850,36.12000,-0.038850"
09:33:00,000576,甘化科工,60日大幅下跌,"-0.061966,8.78000,-0.061966"
09:32:42,688581,安杰思,60日大幅下跌,"-0.043811,60.02000,-0.043811"
09:32:13,600299,安迪苏,60日大幅下跌,"-0.076923,13.20000,-0.076923"
09:32:06,000155,川能动力,60日大幅下跌,"-0.071688,17.97000,-0.066494"
09:32:05,601222,林洋能源,60日大幅下跌,"-0.042345,5.89000,-0.040717"
09:32:03,600007,中国国贸,60日大幅下跌,"-0.022685,21.24000,-0.016667"
09:32:00,002340,格林美,60日大幅下跌,"-0.062241,9.05000,-0.061203"
09:32:00,001233,海安集团,60日大幅下跌,"-0.064191,55.73000,-0.063519"
09:31:54,002210,飞马国际,60日大幅下跌,"-0.063444,3.11000,-0.060423"
09:31:46,600639,浦东金桥,60日大幅下跌,"-0.036496,10.58000,-0.034672"
