序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,能源金属,12,46833.0,11.00%,111.11,114.41,-3.3
2,半导体,179,15159.0,5.29%,1180.32,1046.61,133.7
3,煤炭开采加工,34,3034.61,5.00%,52.2,48.42,3.77
4,石油加工贸易,27,4177.4,4.38%,25.55,26.31,-0.76
5,服装家纺,75,3260.11,4.34%,29.55,28.54,1.01
6,房地产,87,1915.05,4.29%,53.21,46.68,6.52
7,电池,104,23562.6,3.94%,403.6,427.51,-23.91
8,其他电子,34,20712.0,3.75%,109.69,106.23,3.46
9,饮料制造,46,5244.59,3.69%,18.34,18.23,0.11
10,电子化学品,40,77490.0,3.67%,161.04,156.65,4.39
11,自动化设备,93,29725.1,3.45%,182.69,162.03,20.66
12,零售,72,2053.55,3.11%,46.76,38.67,8.09
13,工程机械,36,3484.62,3.05%,23.8,24.95,-1.15
14,化学纤维,29,4496.49,2.75%,27.79,26.44,1.35
15,环保设备,29,1560.24,2.66%,24.61,23.92,0.69
16,综合,16,2618.18,2.57%,18.59,28.23,-9.63
17,塑料制品,79,11147.3,2.55%,88.67,80.95,7.72
18,金属新材料,33,15140.5,2.50%,21.65,20.47,1.19
19,游戏,24,10192.7,2.43%,51.74,51.63,0.1
20,燃气,27,2004.62,2.43%,17.99,20.52,-2.53
21,建筑材料,73,6206.55,2.33%,79.9,77.77,2.13
22,环境治理,112,4589.12,2.29%,60.31,67.78,-7.47
23,食品加工制造,66,5236.4,2.26%,31.73,31.26,0.47
24,油气开采及服务,19,2004.44,2.26%,31.31,25.8,5.51
25,种植业与林业,30,4945.49,2.17%,19.41,21.07,-1.66
26,其他电源设备,33,7188.99,2.09%,75.72,77.86,-2.13
27,消费电子,95,12985.2,1.99%,378.08,317.24,60.84
28,专用设备,199,8335.32,1.98%,142.79,132.89,9.9
29,互联网电商,19,9293.46,1.89%,13.18,13.86,-0.68
30,家居用品,98,4539.26,1.88%,31.19,30.5,0.68
31,电机,26,3756.17,1.84%,31.86,26.92,4.94
32,通用设备,250,9803.38,1.81%,215.17,211.44,3.73
33,证券,50,1467.54,1.72%,84.43,95.7,-11.27
34,计算机设备,83,4425.45,1.67%,143.68,146.51,-2.83
35,小金属,28,9643.57,1.56%,132.65,161.19,-28.54
36,其他社会服务,82,21465.1,1.49%,23.08,21.29,1.79
37,光学光电子,108,5605.59,1.46%,171.53,156.36,15.17
38,造纸,24,2374.25,1.46%,12.2,13.14,-0.95
39,元件,62,20040.1,1.38%,364.37,332.74,31.63
40,建筑装饰,146,4679.91,1.38%,74.96,94.57,-19.6
41,白色家电,45,8472.7,1.34%,81.42,71.57,9.85
42,保险,5,2079.41,1.32%,16.87,25.25,-8.38
43,养殖业,36,3063.55,1.29%,17.01,21.14,-4.13
44,风电设备,31,5775.15,1.26%,65.82,63.29,2.52
45,包装印刷,46,5003.87,1.25%,34.67,37.37,-2.7
46,非金属材料,14,31616.2,1.19%,19.7,15.87,3.83
47,中药,68,3320.47,1.14%,33.38,35.4,-2.02
48,化学制品,176,7887.64,1.12%,156.6,165.87,-9.27
49,光伏设备,73,9412.46,1.12%,142.92,161.83,-18.91
50,化学制药,159,6701.16,1.10%,116.73,124.43,-7.7
51,通信服务,45,3163.72,1.07%,74.19,92.01,-17.82
52,教育,16,4593.38,0.98%,4.47,4.07,0.41
53,多元金融,26,1244.07,0.95%,20.52,24.87,-4.35
54,化学原料,59,3642.55,0.93%,55.6,58.05,-2.45
55,纺织制造,33,2542.32,0.86%,10.17,10.55,-0.38
56,公路铁路运输,32,1373.68,0.84%,6.19,9.05,-2.86
57,影视院线,20,1517.8,0.80%,28.97,24.15,4.82
58,物流,50,5721.06,0.64%,23.39,24.94,-1.54
59,贸易,15,3065.06,0.60%,7.98,7.5,0.48
60,农产品加工,43,4107.64,0.53%,14.39,16.03,-1.65
61,文化传媒,85,2939.19,0.50%,73.12,84.36,-11.24
62,港口航运,36,1245.86,0.49%,19.52,25.2,-5.68
63,医疗服务,56,18590.2,0.43%,48.2,51.9,-3.7
64,厨卫电器,9,6631.48,0.41%,1.86,1.84,0.02
65,汽车整车,23,3202.28,0.36%,77.35,64.72,12.64
66,汽车服务及其他,25,1176.27,0.34%,9.26,9.66,-0.4
67,美容护理,33,5578.33,0.13%,15.17,14.26,0.91
68,医疗器械,139,12014.2,0.11%,54.36,63.36,-9.0
69,农化制品,61,5739.19,0.04%,70.89,78.08,-7.18
70,汽车零部件,268,6852.06,-0.04%,177.37,180.54,-3.17
71,黑色家电,9,4603.21,-0.08%,22.48,23.32,-0.84
72,软件开发,139,2142.35,-0.13%,144.41,148.01,-3.6
73,轨交设备,30,1152.95,-0.16%,9.93,12.76,-2.83
74,医药商业,32,5046.56,-0.16%,9.95,13.56,-3.61
75,军工电子,63,14408.7,-0.25%,103.88,108.68,-4.8
76,机场航运,13,2001.86,-0.30%,9.71,10.08,-0.37
77,电网设备,138,7513.78,-0.36%,166.36,170.6,-4.24
78,军工装备,83,2531.72,-0.40%,162.04,169.77,-7.73
79,贵金属,13,5872.12,-0.44%,56.37,72.62,-16.26
80,橡胶制品,22,15761.5,-0.45%,12.07,11.25,0.81
81,银行,84,1330.17,-0.48%,80.65,109.23,-28.58
82,钢铁,44,1813.57,-0.52%,43.02,51.4,-8.37
83,工业金属,56,4825.04,-0.65%,113.93,137.06,-23.13
84,小家电,25,4598.53,-0.75%,11.36,13.99,-2.64
85,电力,109,2104.87,-0.97%,160.99,173.42,-12.43
86,通信设备,90,9697.25,-1.10%,765.64,760.71,4.92
87,旅游及酒店,35,3144.83,-1.38%,13.9,12.78,1.11
88,IT服务,130,13832.3,-1.58%,184.38,205.86,-21.47
89,生物制品,54,6398.1,-1.69%,26.41,29.13,-2.71
90,白酒,20,2279.84,-1.82%,46.52,75.41,-28.88
