序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,放量天数,阶段涨跌幅,所属行业
1,002830,名雕股份,-6.59,20.98,484.40万,142.63万(04月14日),7,-1.78,建筑装饰
2,003013,地铁设计,0.22,13.42,204.59万,130.39万(04月14日),7,1.36,建筑装饰
3,601777,千里科技,4.73,10.84,2422.95万,1352.63万(04月14日),7,6.69,汽车整车
4,600510,黑牡丹,4.87,11.19,3281.07万,784.93万(04月15日),6,28.33,房地产
6,000722,湖南发展,6.98,15.63,6581.85万,1967.59万(04月16日),5,18.14,电力
7,001258,立新能源,1.59,9.58,6155.95万,2887.20万(04月16日),5,7.76,电力
8,002483,润邦股份,1.89,7.0,800.48万,616.43万(04月16日),5,0.43,专用设备
12,600509,天富能源,1.22,8.33,4094.87万,2382.85万(04月16日),5,4.78,电力
13,601330,绿色动力,5.75,9.19,6339.17万,1807.59万(04月16日),5,15.45,环境治理
14,603237,五芳斋,0.98,17.53,186.40万,105.49万(04月16日),5,1.56,食品加工制造
15,603822,ST嘉澳,-1.49,85.69,172.58万,62.11万(04月16日),5,0.4,化学制品
16,605077,华康股份,2.97,16.99,1555.90万,242.34万(04月16日),5,15.11,化学制品
21,000715,中兴商业,9.98,6.61,5100.82万,609.50万(04月17日),4,15.56,零售
22,000750,国海证券,-1.03,3.83,3652.43万,2482.81万(04月17日),4,-1.29,证券
23,000811,冰轮环境,0.09,22.43,7275.33万,2097.83万(04月17日),4,16.46,通用设备
24,000890,法尔胜,9.97,16.76,1.14亿,5710.64万(04月17日),4,35.05,环保设备
25,000987,越秀资本,-0.55,9.12,4729.78万,4113.62万(04月17日),4,1.79,多元金融
26,001289,龙源电力,1.43,16.36,1392.26万,605.77万(04月17日),4,6.51,电力
27,001314,亿道信息,10.0,48.5,179.96万,118.02万(04月17日),4,11.34,消费电子
28,002041,登海种业,-0.2,10.09,1010.45万,918.05万(04月17日),4,-2.32,种植业与林业
29,002201,九鼎新材,-3.39,14.8,1.80亿,4242.59万(04月17日),4,21.11,建筑材料
30,002293,罗莱生活,3.69,10.97,1171.75万,397.93万(04月17日),4,7.87,服装家纺
31,002402,和而泰,-2.6,31.49,2944.25万,1973.91万(04月17日),4,-0.69,白色家电
32,002409,雅克科技,-1.49,89.13,1331.48万,907.39万(04月17日),4,3.76,半导体
33,002410,广联达,0.95,11.71,2933.30万,2394.04万(04月17日),4,0.86,软件开发
34,002478,常宝股份,2.26,11.33,4539.83万,3245.19万(04月17日),4,2.16,钢铁
35,002588,史丹利,1.11,11.81,4132.88万,1103.61万(04月17日),4,13.01,农化制品
