时间,代码,名称,板块,相关信息
10:30:48,920375,派诺科技,60日新低,"13.300000,13.30000,-0.029197"
10:13:43,301535,浙江华远,60日新低,"18.790000,18.79000,-0.027936"
10:11:34,600028,中国石化,60日新低,"5.390000,5.39000,-0.011009"
10:08:49,301428,世纪恒通,60日新低,"31.370000,31.38000,-0.058506"
10:07:40,301368,丰立智能,60日新低,"47.560000,47.56000,-0.009167"
10:07:01,600651,飞乐音响,60日新低,"6.550000,6.55000,-0.019461"
10:06:39,001333,光华股份,60日新低,"23.800000,23.80000,-0.018557"
10:06:25,300380,安硕信息,60日新低,"32.910000,32.91000,-0.026043"
10:05:33,002520,日发精机,60日新低,"5.280000,5.29000,-0.016729"
10:04:15,002767,先锋电子,60日新低,"19.370000,19.40000,-0.088346"
10:02:55,300937,药易购,60日新低,"27.300000,27.32000,-0.013006"
10:02:55,300724,捷佳伟创,60日新低,"90.040000,90.05000,-0.009896"
10:02:51,002235,安妮股份,60日新低,"9.200000,9.20000,-0.032597"
10:02:22,300320,海达股份,60日新低,"9.230000,9.23000,-0.020170"
10:01:56,920087,秋乐种业,60日新低,"14.500000,14.50000,-0.012262"
10:00:48,001311,多利科技,60日新低,"29.270000,29.27000,-0.012816"
10:00:13,300922,天秦装备,60日新低,"17.710000,17.71000,-0.094581"
09:56:09,601089,福元医药,60日新低,"21.190000,21.20000,-0.040290"
09:55:10,300986,志特新材,60日新低,"22.460000,22.50000,-0.045802"
09:54:29,688606,奥泰生物,60日新低,"56.520000,56.52000,-0.002119"
09:53:52,601718,际华集团,60日新低,"2.880000,2.89000,-0.006873"
09:53:42,600966,博汇纸业,60日新低,"6.230000,6.24000,-0.083700"
09:53:24,600679,上海凤凰,60日新低,"11.000000,11.00000,-0.007220"
09:53:21,000002,万  科Ａ,60日新低,"3.750000,3.76000,-0.013123"
09:53:18,002116,中国海诚,60日新低,"9.530000,9.53000,-0.070244"
09:53:05,603373,安邦护卫,60日新低,"38.260000,38.26000,-0.019226"
09:53:05,600436,片仔癀,60日新低,"140.960000,140.96000,-0.010321"
09:53:01,300471,厚普股份,60日新低,"12.370000,12.37000,-0.013557"
09:53:01,300463,迈克生物,60日新低,"10.390000,10.39000,-0.012357"
09:52:57,002555,三七互娱,60日新低,"20.900000,20.90000,-0.018779"
09:52:41,601086,国芳集团,60日新低,"8.140000,8.15000,-0.021609"
09:51:37,300796,贝斯美,60日新低,"8.300000,8.33000,-0.016529"
09:51:33,688277,天智航-U,60日新低,"19.970000,19.99000,-0.010396"
09:51:22,301301,川宁生物,60日新低,"9.790000,9.80000,-0.006085"
09:51:22,601880,辽港股份,60日新低,"1.590000,1.60000,-0.006211"
09:51:22,300451,创业慧康,60日新低,"4.230000,4.23000,-0.027586"
09:51:13,300774,倍杰特,60日新低,"15.950000,15.97000,-0.017231"
09:50:54,603718,海利生物,60日新低,"3.840000,3.85000,-0.005168"
09:50:46,300581,晨曦航空,60日新低,"12.250000,12.26000,-0.020767"
09:50:44,688246,嘉和美康,60日新低,"18.420000,18.42000,-0.018124"
