序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
1,301513,N尚水,286.7216796875,103.1,,1614914704,2077360765.8999999,10310000000.0,76.59940338134766,1,2026-04-17,2026-04-17,否,0/0,电池
2,301666,C大普微-UW,-5.336331844329834,231.5,,4434999808,6138533404.5,100984089192.0,67.09358978271484,2,2026-04-16,2026-04-16,否,0/0,计算机设
3,603293,C埃泰克,-8.884820938110352,64.71,,1069931856,2271095226.81,11588956479.179998,46.59962844848633,2,2026-04-16,2026-04-16,否,0/0,汽车零部
4,920177,恒道科技,9.349371910095215,40.0,47.55,328740720,470880000.0,2092800000.0,73.06175994873047,2,2026-04-16,2026-04-16,否,0/0,通用设备
5,920012,创达新材,30.000001907348633,63.83,63.83,367331872,846939014.61,3147928365.4,51.561134338378906,5,2026-04-13,2026-04-13,否,1/1,电子化学
6,301696,三瑞智能,-8.444211959838867,105.28,137.99,1480545440,3167175509.12,42113052800.0,46.348854064941406,6,2026-04-10,2026-04-10,否,0/0,航空装备
7,688811,有研复材,5.082054138183594,19.85,22.67,853108624,1828703025.45,9958220960.0,47.31163024902344,6,2026-04-10,2026-04-10,否,0/0,金属新材
8,920181,赛英电子,14.69995403289795,73.97,83.83,342296336,741179400.0,3195504000.0,49.56411361694336,6,2026-04-10,2026-04-10,否,0/0,半导体
9,603459,红板科技,-2.038142442703247,67.29,75.56,2442451808,5319399524.820001,50720078667.36001,45.035709381103516,8,2026-04-08,2026-04-08,否,0/0,元件
10,920011,晨光电机,6.483691215515137,26.77,32.68,182653346,497922026.77,2212986675.59,37.76846694946289,8,2026-04-08,2026-04-08,否,0/0,电机Ⅱ
11,301683,慧谷新材,-0.9561752676963806,124.3,150.6,416833152,1773220295.0,7845368520.0,23.65224838256836,12,2026-04-01,2026-04-01,否,0/0,化学制品
12,001257,盛龙股份,-1.3230900764465332,23.12,25.77,593917520,3166237482.56,42447182865.92,18.655838012695312,13,2026-03-31,2026-03-31,否,0/0,小金属
13,688813,泰金新能,15.714502334594727,76.36,79.19,981741808,2296677887.36,12217600000.0,45.95228958129883,13,2026-03-31,2026-03-31,否,0/0,专用设备
14,920055,隆源股份,5.9710493087768555,35.14,43.1,127141521,537642000.0,2389520000.0,24.222129821777344,13,2026-03-31,2026-03-31,否,0/0,汽车零部
15,920188,悦龙科技,8.047874450683594,26.18,31.49,171996986,518203752.21999997,2172761923.64,33.95414733886719,14,2026-03-30,2026-03-30,否,0/0,橡胶
16,920069,普昂医疗,4.540359020233154,37.3,46.38,80516914,551209515.5,1973692199.9999998,14.946783065795898,15,2026-03-27,2026-03-27,否,0/0,医疗器械
17,301682,宏明电子,2.0040080547332764,127.25,149.7,766996928,3268647972.25,15467155805.5,23.805328369140625,17,2026-03-25,2026-03-25,否,0/0,军工电子
18,688781,视涯科技-UW,0.026385223492980003,37.91,45.48,162736124,1548058527.2699997,37910000000.0,10.514756202697754,17,2026-03-25,2026-03-25,否,0/0,光学光电
19,920028,新恒泰,5.2801032066345215,16.35,20.18,138461318,695841285.0000001,2687286000.0,20.37201499938965,20,2026-03-20,2026-03-20,否,0/0,塑料
20,920078,族兴新材,10.324483871459961,26.18,30.84,192215989,541926000.0,3141600000.0,36.745121002197266,22,2026-03-18,2026-03-18,否,0/0,金属新材
21,920036,觅睿科技,7.349666118621826,48.2,58.37,170859041,629553551.4000001,2623132061.4,28.054706573486328,29,2026-03-09,2026-03-09,否,0/0,计算机设
22,301680,固德电材,-1.804511308670044,104.48,127.68,240090546,1755523110.4,8650944000.0,13.714451789855957,30,2026-03-06,2026-03-06,否,0/0,汽车零部
23,920187,通领科技,3.8333334922790527,37.38,46.8,59804564,855751030.6800001,2332512000.0,7.093341827392578,31,2026-03-05,2026-03-05,否,0/0,汽车零部
24,920183,海菲曼,4.743589878082275,40.85,50.7,63270945,459555432.95,1999689200.0,14.097968101501465,32,2026-03-04,2026-03-04,否,0/0,消费电子
25,920168,通宝光电,3.2718892097473145,22.41,28.21,54785711,631390858.74,1684635894.0,8.742116928100586,36,2026-02-26,2026-02-26,否,0/0,汽车零部
26,920166,海圣医疗,2.4238226413726807,29.58,37.54,59852644,702960033.06,2227200010.44,8.692010879516602,40,2026-02-12,2026-02-12,否,0/0,医疗器械
27,688816,易思维,0.671241044998169,67.49,80.45,97206854,1301493492.58,6748999999.999999,7.474569320678711,41,2026-02-11,2026-02-11,否,0/0,自动化设
28,603284,林平发展,-1.6335850954055786,56.0,62.62,142577235,1034510568.0,4223228800.0,13.713846206665039,42,2026-02-10,2026-02-10,否,0/0,造纸
29,688818,电科蓝天,1.0895522832870483,67.73,80.4,1573497648,8941466640.470001,117641854934.24,17.584184646606445,42,2026-02-10,2026-02-10,否,0/0,航天装备
30,920180,爱得科技,2.896801471710205,17.05,21.54,49393444,608164531.7,2013997934.3000002,8.216327667236328,42,2026-02-10,2026-02-10,否,0/0,医疗器械
31,688712,北芯生命-U,-0.35587188601493835,42.0,50.58,120683028,1558817400.0,17514000000.0,7.779925346374512,45,2026-02-05,2026-02-05,否,0/0,医疗器械
32,001220,世盟股份,4.556903839111328,45.66,48.04,275154064,1032310867.68,4213961399.9999995,27.142728805541992,47,2026-02-03,2026-02-03,否,0/0,物流
33,920119,美德乐,8.509454727172852,97.55,116.87,270829952,1851183620.85,7035624695.849999,15.123076438903809,49,2026-01-30,2026-01-30,否,0/0,自动化设
34,601112,振石股份,0.4000000059604645,20.08,22.0,234529091,3559178112.4799995,34946556669.439995,6.616321086883545,50,2026-01-29,2026-01-29,否,0/0,玻璃玻纤
35,688785,恒运昌,-0.9254431128501892,304.04,368.26,200378008,3869719266.6000004,20584021219.52,5.171019077301025,51,2026-01-28,2026-01-28,否,0/0,其他电源
36,920159,农大科技,3.25665545463562,39.95,50.29,74675087,575280000.0,3036200000.0,13.235319137573242,51,2026-01-28,2026-01-28,否,0/0,农化制品
37,920076,国亮新材,3.049370765686035,21.29,26.85,34590708,420720567.93,1780578313.3899999,8.294617652893066,55,2026-01-22,2026-01-22,否,0/0,装修建材
38,920050,爱舍伦,2.4559195041656494,32.54,41.28,24210784,589060263.54,2202285528.36,4.151358604431152,56,2026-01-21,2026-01-21,否,0/0,医疗器械
39,920086,科马材料,5.274261474609375,29.94,36.97,90359380,800730330.0,2505379200.0,11.57364273071289,59,2026-01-16,2026-01-16,否,0/0,汽车零部
40,603352,至信股份,-0.5708354711532593,38.32,42.39,63819753,1702265295.04,8685866679.44,3.7623813152313232,60,2026-01-15,2026-01-15,否,0/0,汽车零部
41,603402,陕西旅游,-2.1443889141082764,136.9,153.89,213584751,2646733424.6,10586933424.6,8.048948287963867,67,2026-01-06,2026-01-06,否,0/0,旅游及景
42,301687,新广益,1.2984764575958252,58.51,69.31,192241979,1728111865.75,8593012640.0,11.291872024536133,69,2025-12-31,2025-12-31,否,0/0,塑料
43,920045,蘅东光,16.709686279296875,520.0,579.21,1098007088,10466318200.0,35397204960.0,11.164904594421387,69,2025-12-31,2025-12-31,是,0/0,通信设备
44,001369,双欣材料,0.0,16.07,17.68,271846608,3230542265.16,18432290000.0,8.436694145202637,70,2025-12-30,2025-12-30,否,0/0,化学纤维
45,001396,誉帆科技,1.540798544883728,46.79,50.69,111019196,1039072267.76,5001964044.64,10.607977867126465,70,2025-12-30,2025-12-30,否,0/0,基础建设
46,688809,强一股份,11.096309661865234,417.0,450.42,1515152928,10155204753.0,54026228100.0,15.641919136047363,70,2025-12-30,2025-12-30,是,0/0,半导体
47,920121,江天科技,2.809917449951172,37.32,47.19,21338266,443819665.68,2465664589.56,4.870355129241943,73,2025-12-25,2025-12-25,否,0/0,包装印刷
48,688805,健信超导,1.2000750303268433,53.97,64.0,319740288,1701072820.23,9049689600.0,18.91455841064453,74,2025-12-24,2025-12-24,否,0/0,医疗器械
49,301449,天溯计量,0.23806539177894592,80.0,95.77,106346430,1113060880.0,5217391360.0,9.576576232910156,75,2025-12-23,2025-12-23,否,0/0,专业服务
50,301667,纳百川,-2.836810350418091,99.67,123.1,492781024,2242022728.53,11130109032.0,21.91200065612793,75,2025-12-23,2025-12-23,否,0/0,汽车零部
51,603248,锡华科技,-1.438583493232727,26.72,29.82,190239951,1851934288.96,12291200000.0,10.229000091552734,75,2025-12-23,2025-12-23,否,0/0,风电设备
52,688807,优迅股份,19.999338150024414,363.19,363.19,1077904560,5460799902.64,29055200000.0,20.50249671936035,77,2025-12-19,2025-12-19,是,1/1,半导体
53,001325,元创股份,-0.400616317987442,64.64,71.39,263777638,1266944000.0,5067776000.0,20.813230514526367,78,2025-12-18,2025-12-18,否,0/0,橡胶
54,688802,沐曦股份-U,-2.1364388465881348,721.0,884.09,2398595232,13078199533.0,288472100000.0,18.199487686157227,79,2025-12-17,2025-12-17,是,0/0,半导体
55,688790,昂瑞微-UW,3.540696859359741,146.8,170.14,173760425,1770066102.8000002,14611251798.400002,9.880995750427246,80,2025-12-16,2025-12-16,否,0/0,半导体
56,688796,百奥赛图,-2.200634479522705,98.66,121.06,169725350,3540674661.06,44090997722.56,4.770297050476074,84,2025-12-10,2025-12-10,否,0/0,医疗服务
57,688795,摩尔线程-U,1.3724853992462158,656.62,777.28,2763937328,19293062295.32,308629932442.88,14.357027053833008,87,2025-12-05,2025-12-05,是,0/0,半导体
58,001280,中国铀业,-0.8656967282295227,82.45,91.49,704023744,13034294504.550001,170521591388.80002,5.379693984985352,89,2025-12-03,2025-12-03,否,0/0,小金属
59,920035,精创电气,4.55089807510376,34.92,43.42,41992940,454448880.0,2020122000.0,9.460396766662598,90,2025-12-02,2025-12-02,否,0/0,自动化设
60,920124,南特科技,3.696621894836426,16.27,20.39,53764240,1245166024.43,2419891035.0499997,4.3999714851379395,93,2025-11-27,2025-11-27,否,0/0,通用设备
61,001233,海安集团,-2.507565975189209,67.65,76.33,147801786,2393857488.0,12581096045.1,6.149770736694336,95,2025-11-25,2025-11-25,否,0/0,汽车零部
62,920091,大鹏工业,4.740791320800781,61.42,76.23,118351619,890602284.0,3775192584.0,13.703790664672852,97,2025-11-21,2025-11-21,否,0/0,专用设备
63,301638,南网数字,-2.1887826919555664,28.6,35.09,1176199520,6720432547.400001,90937996406.40001,17.287050247192383,100,2025-11-18,2025-11-18,否,0/0,IT服务Ⅱ
64,688727,恒坤新材,0.7352941036224365,50.69,60.38,132462241,2546826033.85,22776010524.0,5.206739902496338,100,2025-11-18,2025-11-18,否,0/0,半导体
65,920160,北矿检测,3.003918170928955,23.66,29.86,28297758,603046080.0,2680204800.0,4.786193370819092,100,2025-11-18,2025-11-18,否,0/0,专业服务
66,603092,德力佳,-0.8502665758132935,68.8,76.33,104335764,2301529248.0,27520006604.8,4.491858005523682,107,2025-11-07,2025-11-07,否,0/0,风电设备
67,920003,中诚咨询,2.134587526321411,28.23,35.93,22728384,375870762.78000003,1826884293.78,6.073774814605713,107,2025-11-07,2025-11-07,否,0/0,工程咨询
68,603376,大明电子,-0.3252513110637665,33.71,37.2,29334918,1046277394.87,13484033979.68,2.8083908557891846,108,2025-11-06,2025-11-06,否,0/0,汽车零部
