序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
1,001378,德冠新材,-1.14,25.05,156.52万,412.36万(04月15日),6,0.8,塑料制品
2,002044,美年健康,-1.13,5.26,8540.60万,2.25亿(04月15日),6,-2.77,医疗服务
3,002236,大华股份,-1.72,18.32,3649.43万,8602.67万(04月15日),6,-2.86,计算机设备
4,002530,金财互联,-2.19,8.91,1313.57万,3987.94万(04月15日),6,-2.94,通用设备
5,002871,伟隆股份,-2.53,18.08,285.31万,773.90万(04月15日),6,-1.42,通用设备
14,600249,两面针,-0.34,5.93,1542.15万,2624.94万(04月15日),6,-1.5,美容护理
15,600743,华远控股,1.22,2.5,1.90亿,4.51亿(04月15日),6,-13.49,零售
16,605319,无锡振华,0.07,27.47,773.83万,1498.03万(04月15日),6,-8.07,汽车零部件
19,000610,西安旅游,-3.52,8.22,1332.48万,4133.35万(04月16日),5,-14.82,旅游及酒店
20,000978,桂林旅游,-1.93,7.12,3783.85万,8802.91万(04月16日),5,-16.24,旅游及酒店
21,001288,运机集团,-1.32,27.7,309.47万,618.78万(04月16日),5,0.44,专用设备
22,001300,三柏硕,-3.97,17.18,474.50万,1474.27万(04月16日),5,-2.66,家居用品
23,002082,万邦德,-0.68,27.97,2093.57万,5563.11万(04月16日),5,-3.58,中药
24,002199,*ST东晶,-0.32,9.39,210.74万,559.66万(04月16日),5,0.64,元件
25,002589,瑞康医药,-2.7,3.24,7885.40万,3.89亿(04月16日),5,-10.99,医药商业
26,002663,普邦股份,-2.36,2.07,5257.08万,1.38亿(04月16日),5,-10.0,建筑装饰
27,003038,鑫铂股份,-2.7,14.41,765.30万,3068.37万(04月16日),5,-10.88,工业金属
34,600082,ST海泰,-1.01,2.93,3587.44万,1.09亿(04月16日),5,-2.33,房地产
35,600439,瑞贝卡,-1.21,2.45,1363.38万,3801.98万(04月16日),5,-5.04,服装家纺
36,600581,*ST八钢,-2.08,2.82,2885.76万,6380.00万(04月16日),5,-4.73,钢铁
37,600664,哈药股份,-1.27,3.88,2.18亿,6.10亿(04月16日),5,-11.82,化学制药
38,600824,益民集团,-0.25,3.93,670.53万,936.21万(04月16日),5,-2.48,零售
39,601999,出版传媒,-1.83,7.49,1390.58万,3878.20万(04月16日),5,-8.99,文化传媒
40,603061,金海通,-1.38,246.44,280.17万,527.60万(04月16日),5,0.19,半导体
41,603065,宿迁联盛,-1.23,8.02,305.36万,410.60万(04月16日),5,-3.61,化学制品
42,603129,春风动力,-0.77,272.1,116.47万,505.10万(04月16日),5,-1.12,汽车服务及其他
43,603206,嘉环科技,-1.64,16.75,455.34万,1897.49万(04月16日),5,-4.5,通信服务
44,603351,威尔药业,-0.77,25.72,79.50万,160.04万(04月16日),5,-3.27,化学制药
