序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
1,002634,棒杰股份,4.75,9.67,4.73,11,-50.88,113.82,服装家纺
2,600585,海螺水泥,21.65,23.25,21.57,11,-7.0,7.8,建筑材料
3,002729,好利科技,18.68,22.63,18.42,9,-13.24,59.6,其他电子
4,603227,雪峰科技,8.82,10.68,8.69,9,-15.92,26.79,化学制品
5,603272,联翔股份,20.08,36.66,20.08,9,-45.76,62.65,家居用品
6,000620,盈新发展,2.74,3.2,2.73,7,-11.9,26.41,房地产
8,600061,国投资本,6.62,7.02,6.59,7,-5.43,3.85,证券
9,600606,绿地控股,1.35,1.56,1.34,7,-12.34,4.69,房地产
10,601588,北辰实业,1.77,2.28,1.75,7,-14.49,37.21,其他社会服务
11,601881,中国银河,12.57,13.15,12.54,7,-3.83,3.22,证券
13,000597,东北制药,5.08,5.54,5.05,6,-7.47,7.38,化学制药
14,000650,仁和药业,5.71,5.92,5.67,6,-3.38,4.85,中药
15,000863,三湘印象,4.44,5.26,4.38,6,-15.11,17.83,房地产
16,002808,*ST恒久,3.65,4.8,3.65,6,-23.32,27.63,光学光电子
17,002900,哈三联,10.66,11.73,10.61,6,-8.89,19.31,化学制药
23,600000,浦发银行,9.54,10.17,9.51,6,-5.64,1.18,银行
24,600129,太极集团,15.96,16.65,15.85,6,-4.09,5.46,中药
25,600196,复星医药,25.57,26.87,25.48,6,-4.59,4.63,化学制药
26,600201,生物股份,14.08,15.24,13.93,6,-5.88,10.53,养殖业
27,600380,健康元,10.9,11.37,10.81,6,-3.96,3.43,化学制药
28,600398,海澜之家,6.36,6.81,6.33,6,-6.19,4.1,服装家纺
29,600422,昆药集团,11.08,11.33,11.02,6,-2.29,3.65,中药
30,601133,柏诚股份,23.34,26.15,22.87,6,-9.78,24.96,建筑装饰
31,601800,中国交建,7.2,7.63,7.19,6,-5.39,1.5,建筑装饰
32,603036,如通股份,17.52,18.36,17.41,6,-3.68,6.12,专用设备
33,603367,辰欣药业,15.49,16.39,15.41,6,-5.61,8.99,化学制药
34,603477,巨星农牧,18.11,19.05,17.8,6,-4.03,22.7,养殖业
35,603556,海兴电力,30.2,36.59,30.1,6,-17.49,10.11,电网设备
36,603716,塞力医疗,21.86,23.72,21.7,6,-9.29,38.05,医药商业
37,603737,三棵树,43.66,50.8,42.92,6,-12.7,4.77,建筑材料
46,000010,美丽生态,3.7,4.32,3.55,5,-9.31,26.84,建筑装饰
47,000017,深中华A,6.37,6.91,6.33,5,-7.55,9.7,服装家纺
48,000028,国药一致,25.0,26.51,24.9,5,-5.7,4.9,医药商业
49,000151,中成股份,10.57,11.93,10.5,5,-11.4,16.98,贸易
50,000403,派林生物,12.68,13.0,12.64,5,-2.91,2.71,生物制品
51,000423,东阿阿胶,52.21,55.88,51.97,5,-6.15,6.55,中药
52,000501,武商集团,8.26,8.6,8.18,5,-3.95,3.73,零售
53,000520,凤凰航运,3.91,4.22,3.9,5,-7.13,8.15,港口航运
54,000529,广弘控股,5.53,5.81,5.49,5,-4.98,5.11,食品加工制造
55,000553,安道麦A,6.09,6.32,6.03,5,-3.18,1.68,农化制品
56,000610,西安旅游,8.22,9.5,8.22,5,-14.82,44.5,旅游及酒店
57,000691,*ST亚太,7.49,8.17,7.35,5,-7.76,8.45,化学原料
58,000718,苏宁环球,2.08,2.18,2.06,5,-2.8,5.64,房地产
59,000721,西安饮食,7.68,8.19,7.68,5,-7.13,10.27,旅游及酒店
60,000792,盐湖股份,35.69,39.88,35.5,5,-7.32,7.96,农化制品
61,000796,凯撒旅业,5.12,5.5,5.1,5,-7.25,16.89,旅游及酒店
62,000915,华特达因,30.13,31.6,29.64,5,-4.68,7.06,化学制药
63,000919,金陵药业,7.47,8.26,7.44,5,-10.0,46.99,化学制药
64,000926,福星股份,1.95,2.07,1.94,5,-4.88,6.5,房地产
65,000933,神火股份,32.78,34.88,32.38,5,-7.43,8.76,工业金属
66,000978,桂林旅游,7.12,8.28,7.07,5,-16.24,48.51,旅游及酒店
67,001210,金房能源,20.8,21.67,20.68,5,-3.66,10.69,电力
68,001380,华纬科技,19.18,20.4,19.11,5,-5.14,10.47,汽车零部件
69,002007,华兰生物,14.73,15.07,14.71,5,-2.26,2.08,生物制品
70,002054,德美化工,8.14,8.64,8.06,5,-5.13,17.34,化学制品
71,002059,云南旅游,4.92,5.27,4.9,5,-6.82,8.88,旅游及酒店
72,002075,沙钢股份,4.61,4.73,4.58,5,-2.74,4.83,钢铁
73,002094,青岛金王,6.04,6.38,6.0,5,-5.33,12.98,家居用品
74,002110,三钢闽光,3.55,3.77,3.51,5,-6.08,4.92,钢铁
75,002146,荣盛发展,1.28,1.39,1.26,5,-7.25,10.46,房地产
76,002213,大为股份,34.13,39.45,33.69,5,-10.98,80.53,半导体
77,002238,天威视讯,7.04,7.41,7.0,5,-5.25,3.44,文化传媒
78,002252,上海莱士,5.58,5.73,5.57,5,-2.79,1.71,生物制品
79,002253,*ST智胜,11.09,11.9,11.03,5,-6.02,10.21,软件开发
80,002328,新朋股份,11.24,13.33,11.12,5,-16.12,129.23,汽车零部件
81,002330,得利斯,4.61,4.88,4.55,5,-5.14,8.84,食品加工制造
82,002370,亚太药业,6.84,7.64,6.84,5,-11.05,29.94,化学制药
83,002379,宏桥控股,26.68,29.46,26.31,5,-8.94,7.45,工业金属
84,002408,齐翔腾达,6.13,6.85,6.1,5,-10.12,10.13,石油加工贸易
85,002412,汉森制药,6.45,6.8,6.38,5,-5.56,8.7,中药
86,002434,万里扬,7.2,8.3,7.16,5,-13.04,9.33,汽车零部件
87,002474,榕基软件,7.23,7.61,7.18,5,-5.49,14.67,IT服务
88,002517,恺英网络,17.37,18.3,17.19,5,-5.96,14.43,游戏
89,002532,天山铝业,17.67,19.74,17.55,5,-10.26,7.27,工业金属
90,002607,中公教育,2.53,2.66,2.52,5,-4.53,7.94,教育
91,002613,北玻股份,3.87,4.24,3.84,5,-7.19,29.38,建筑材料
92,002626,金达威,16.18,18.31,16.08,5,-11.63,6.86,食品加工制造
93,002638,勤上股份,4.33,4.78,4.3,5,-8.65,15.91,光学光电子
94,002663,普邦股份,2.07,2.33,2.06,5,-10.0,22.76,建筑装饰
95,002677,浙江美大,7.33,7.92,7.29,5,-6.74,5.85,厨卫电器
96,002697,红旗连锁,5.17,5.42,5.13,5,-4.08,8.06,零售
97,002707,众信旅游,6.39,6.73,6.36,5,-5.33,10.5,旅游及酒店
98,002721,金一文化,2.86,3.15,2.83,5,-7.74,7.83,服装家纺
99,002731,ST萃华,5.62,7.22,5.62,5,-22.16,24.97,服装家纺
100,002736,国信证券,11.14,12.24,11.13,5,-9.21,2.63,证券
101,002756,永兴材料,71.1,81.65,70.75,5,-9.89,25.52,能源金属
102,002791,坚朗五金,18.29,19.58,18.22,5,-6.16,10.71,建筑材料
103,002817,黄山胶囊,7.61,8.1,7.52,5,-6.05,14.13,医疗器械
104,002827,高争民爆,31.8,32.84,31.71,5,-2.87,3.38,化学制品
105,002840,华统股份,12.63,14.13,12.56,5,-8.61,24.23,食品加工制造
106,002864,盘龙药业,30.26,32.34,30.11,5,-6.66,20.2,中药
107,002898,*ST赛隆,10.73,13.56,10.73,5,-20.16,2.98,化学制药
108,002918,蒙娜丽莎,11.43,11.98,11.31,5,-3.79,11.98,家居用品
109,002996,顺博合金,7.21,7.52,7.16,5,-3.74,9.0,工业金属
142,600079,ST人福,18.51,18.94,18.49,5,-2.48,2.84,化学制药
143,600193,*ST创兴,2.4,3.19,2.4,5,-22.58,5.35,建筑装饰
144,600279,重庆港,4.8,4.96,4.78,5,-2.83,2.37,港口航运
145,600289,ST信通,6.56,7.45,6.56,5,-11.95,7.99,通信服务
146,600327,大东方,3.7,3.95,3.68,5,-6.57,7.41,医疗服务
147,600337,美克家居,3.16,3.6,3.13,5,-8.41,24.36,家居用品
148,600362,江西铜业,44.66,47.5,44.31,5,-5.42,8.51,工业金属
149,600439,瑞贝卡,2.45,2.58,2.44,5,-5.04,7.0,服装家纺
150,600547,山东黄金,35.84,39.14,35.7,5,-8.69,7.12,贵金属
151,600593,大连圣亚,33.21,37.35,32.8,5,-11.04,14.53,旅游及酒店
152,600624,ST复华,4.28,4.61,4.21,5,-7.16,3.4,化学制药
153,600689,上海三毛,13.25,14.26,13.14,5,-5.15,9.83,综合
154,600712,南宁百货,5.76,6.1,5.75,5,-4.16,5.25,零售
155,600734,实达集团,2.48,3.41,2.43,5,-34.56,41.62,IT服务
156,600738,丽尚国潮,4.71,4.87,4.68,5,-3.29,6.46,零售
157,600782,新钢股份,3.23,3.55,3.15,5,-9.01,11.89,钢铁
158,600892,*ST大晟,3.45,3.65,3.45,5,-5.74,3.78,游戏
159,600970,中材国际,10.13,10.76,10.07,5,-4.16,4.15,建筑装饰
160,600996,贵广网络,8.58,9.83,8.44,5,-9.11,15.91,文化传媒
161,601186,中国铁建,6.86,6.96,6.85,5,-1.44,2.25,建筑装饰
162,601238,广汽集团,7.1,7.3,7.09,5,-2.61,0.91,汽车整车
163,601279,英利汽车,3.81,3.96,3.77,5,-4.27,3.41,汽车零部件
164,601319,中国人保,7.27,7.48,7.26,5,-2.94,0.7,保险
