序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
46,消费电子,97,12702.5,-1.86%,264.19,295.39,-31.2
47,光学光电子,108,5530.47,-1.91%,213.13,216.33,-3.2
48,建筑装饰,146,4621.57,-2.05%,100.41,105.42,-5.01
49,塑料制品,79,10810.5,-2.14%,89.47,92.43,-2.97
50,贸易,15,3035.39,-2.14%,6.42,7.94,-1.51
51,通信设备,89,9780.7,-2.21%,672.8,673.54,-0.74
52,贸易,15,3031.63,-2.26%,6.42,7.94,-1.51
53,专用设备,198,8156.27,-2.33%,116.02,117.34,-1.32
54,证券,50,1445.07,-2.34%,53.93,77.19,-23.26
55,工程机械,36,3365.43,-2.40%,31.57,30.98,0.59
56,非金属材料,14,31086.5,-2.40%,15.32,16.07,-0.76
57,化学制药,158,6613.23,-2.40%,94.44,127.33,-32.89
58,保险,5,2046.41,-2.41%,15.04,23.44,-8.4
59,自动化设备,93,28623.2,-2.42%,153.56,146.37,7.19
60,教育,16,4501.09,-2.44%,4.75,5.37,-0.62
61,工业金属,57,4805.35,-2.57%,95.48,116.25,-20.78
62,电网设备,138,7558.52,-2.59%,156.08,202.4,-46.32
63,纺织制造,33,2500.8,-2.60%,15.28,17.93,-2.65
64,汽车零部件,269,6833.33,-2.68%,202.68,217.07,-14.39
65,机场航运,13,2006.42,-2.73%,11.49,13.54,-2.05
66,其他社会服务,82,21107.3,-2.75%,22.89,26.62,-3.72
67,医药商业,32,5058.2,-2.84%,14.02,21.5,-7.48
68,电机,26,3657.99,-2.86%,21.53,19.29,2.24
69,其他电子,35,19930.5,-2.90%,70.28,77.94,-7.65
70,游戏,24,9840.26,-2.93%,45.97,52.59,-6.62
71,农产品加工,43,4074.05,-2.94%,18.49,19.06,-0.57
72,光伏设备,73,9294.37,-3.05%,149.02,159.76,-10.75
73,文化传媒,85,2903.38,-3.08%,94.08,120.52,-26.44
74,计算机设备,83,4306.35,-3.18%,106.39,126.9,-20.51
75,橡胶制品,22,15751.1,-3.28%,7.94,9.08,-1.14
76,通用设备,250,9602.72,-3.28%,203.69,239.45,-35.76
77,养殖业,36,3020.83,-3.36%,21.56,25.56,-4.0
78,生物制品,55,6509.81,-3.36%,24.31,34.06,-9.74
79,小金属,28,9434.67,-3.50%,167.28,179.76,-12.48
80,风电设备,31,5711.53,-3.57%,56.11,71.62,-15.51
81,通信服务,45,3093.9,-3.77%,93.93,115.36,-21.42
82,IT服务,128,13845.6,-3.92%,144.14,187.37,-43.23
83,其他电源设备,33,7039.58,-4.02%,83.2,88.93,-5.74
84,军工电子,62,14470.4,-4.03%,129.76,148.52,-18.76
85,旅游及酒店,35,3176.18,-4.07%,14.35,21.01,-6.66
86,军工装备,83,2543.52,-4.11%,216.67,243.74,-27.07
87,软件开发,139,2119.26,-4.54%,96.23,134.64,-38.41
88,金属新材料,33,14719.0,-4.68%,26.51,26.39,0.12
89,影视院线,20,1492.26,-4.87%,31.67,33.94,-2.28
90,贵金属,13,5846.73,-5.71%,79.45,63.25,16.2
