序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,电子化学品,40,74968.2,6.54%,128.36,117.9,10.46
2,煤炭开采加工,33,2911.77,5.25%,44.1,32.43,11.66
3,白酒,20,2336.22,3.10%,19.17,29.05,-9.89
4,电力,108,2159.39,2.67%,234.67,227.02,7.65
5,农化制品,61,5743.51,2.18%,63.0,62.26,0.74
6,元件,62,19893.1,2.04%,363.54,326.29,37.25
7,化学原料,59,3605.0,1.50%,48.6,46.7,1.9
8,银行,84,1343.19,1.26%,73.41,73.24,0.17
9,燃气,27,1958.16,1.17%,16.41,15.77,0.63
10,能源金属,12,40408.5,0.98%,112.7,112.77,-0.07
11,黑色家电,9,4565.53,0.90%,10.23,11.49,-1.25
12,种植业与林业,30,4875.19,0.72%,15.36,21.69,-6.33
13,半导体,178,14331.8,0.44%,720.04,739.24,-19.2
14,公路铁路运输,32,1364.45,0.16%,10.4,8.25,2.14
15,美容护理,32,5566.06,0.13%,8.65,9.43,-0.78
16,化学制品,176,7758.26,-0.21%,132.08,121.88,10.2
17,石油加工贸易,27,4001.41,-0.40%,24.07,26.5,-2.43
18,环境治理,112,4485.91,-0.48%,54.51,56.18,-1.67
19,房地产,87,1837.1,-0.49%,40.44,42.11,-1.67
20,化学纤维,29,4404.39,-0.49%,28.06,28.9,-0.83
21,汽车整车,23,3182.49,-0.51%,36.37,43.99,-7.63
22,饮料制造,46,5072.77,-0.52%,13.85,17.47,-3.62
23,食品加工制造,66,5114.85,-0.54%,30.84,32.07,-1.22
24,小家电,25,4613.69,-0.56%,9.76,11.61,-1.86
25,造纸,24,2353.42,-0.70%,14.36,14.16,0.2
26,包装印刷,46,4915.58,-0.75%,27.07,46.81,-19.74
27,服装家纺,76,3109.31,-0.75%,23.64,22.38,1.26
28,油气开采及服务,20,1974.97,-0.84%,24.8,27.15,-2.34
29,物流,50,5675.95,-1.13%,13.66,13.93,-0.27
30,医疗器械,139,11969.8,-1.14%,48.37,54.41,-6.04
31,电池,104,22314.9,-1.16%,484.11,408.66,75.45
32,厨卫电器,9,6613.76,-1.19%,2.23,2.26,-0.02
33,环保设备,29,1523.49,-1.21%,23.25,25.36,-2.11
34,综合,16,2543.45,-1.37%,19.49,27.45,-7.96
35,白色家电,45,8337.87,-1.43%,73.33,77.57,-4.24
36,港口航运,36,1240.95,-1.49%,31.38,29.36,2.02
37,建筑材料,74,6063.09,-1.50%,68.95,73.66,-4.71
38,医疗服务,56,18564.0,-1.54%,34.56,48.74,-14.19
39,多元金融,26,1227.9,-1.55%,21.91,29.74,-7.83
40,轨交设备,30,1144.57,-1.57%,8.73,11.54,-2.81
41,中药,68,3274.26,-1.61%,20.22,30.08,-9.87
42,互联网电商,19,9061.06,-1.65%,11.41,15.02,-3.61
43,家居用品,98,4441.41,-1.76%,22.33,24.52,-2.18
44,钢铁,44,1818.12,-1.80%,37.71,43.65,-5.94
45,零售,72,1991.57,-1.85%,31.36,42.31,-10.95
