序号,股票代码,股票名称,调入日期,最新评级日期,当前评级名称,成交价格(前复权),最新价格,阶段涨跌幅
1,600026,中远海能,2026-04-03,2026-04-03,买入,24.85,21.45,-13.68
2,601872,招商轮船,2025-03-31,2026-04-02,买入,6.31119211,17.52,177.65
1,688668,鼎通科技,2025-10-27,2025-10-27,买入,100.6,235.37,133.97
1,688331,荣昌生物,2025-12-01,2026-01-21,买入,95.24,134.9,41.64
1,001267,汇绿生态,2025-11-03,2025-11-03,增持,18.05,50.92,182.11
2,300620,光库科技,2025-10-27,2025-10-27,买入,117.91,246.93,109.42
3,300308,中际旭创,2025-09-01,2025-11-04,买入,405.683487596,897.0,121.11
4,300502,新易盛,2025-08-27,2025-11-03,买入,308.33,608.28,97.28
5,300394,天孚通信,2025-08-26,2025-11-03,买入,144.3775651686,350.09,142.48
6,300570,太辰光,2025-08-18,2025-10-30,买入,120.56,135.03,12.0
1,300806,斯迪克,2025-11-10,2025-11-10,买入,27.32,67.12,145.68
1,002126,银轮股份,2026-04-15,2026-04-15,买入,48.66,48.12,-1.11
2,600066,宇通客车,2026-01-26,2026-01-26,买入,31.26,36.97,18.27
3,000338,潍柴动力,2025-12-09,2025-12-09,买入,17.22,29.49,71.25
1,601869,长飞光纤,2026-04-10,2026-04-10,增持,384.38,385.02,0.17
5,688498,源杰科技,2025-11-18,2025-11-18,买入,553.74,1394.99,151.92
6,300136,信维通信,2025-08-29,2025-10-31,增持,27.58,83.41,202.43
7,688313,仕佳光子,2024-12-27,2025-12-26,增持,15.105385003,139.3,821.91
1,688630,芯碁微装,2025-09-22,2026-01-28,买入,150.08828317,240.95,60.54
2,300476,胜宏科技,2025-08-13,2025-11-07,买入,236.4721947,331.95,40.38
3,002384,东山精密,2025-05-12,2025-11-07,买入,28.6390610352,186.66,551.75
1,688025,杰普特,2026-04-20,2026-04-20,买入,279.56,301.68,7.91
2,600589,大位科技,2025-11-21,2025-11-21,买入,6.92,10.76,55.49
3,000988,华工科技,2025-11-19,2025-11-19,买入,71.98,117.65,63.45
5,300738,奥飞数据,2025-08-18,2025-10-29,买入,22.22,24.56,10.53
6,300383,光环新网,2025-08-07,2026-03-11,买入,14.39,17.61,22.38
7,000063,中兴通讯,2025-04-28,2026-03-09,买入,31.38,36.85,17.43
8,300442,润泽科技,2024-10-22,2026-04-13,买入,34.1805669112,95.87,180.49
9,000938,紫光股份,2024-10-17,2026-04-16,买入,23.0224289622,31.2,35.53
10,688702,盛科通信,2024-07-15,2026-03-30,买入,37.53,252.6,573.06
11,300638,广和通,2024-07-12,2025-10-31,买入,16.9954470672,26.0,52.94
1,601126,四方股份,2026-01-21,2026-01-21,买入,38.85,52.28,34.57
2,003035,南网能源,2025-11-18,2025-11-18,买入,5.1189914304,9.18,79.3
3,000682,东方电子,2025-10-27,2025-10-27,买入,12.01,13.58,13.07
4,002487,大金重工,2025-09-16,2025-11-04,买入,38.7995434593,85.25,119.72
1,688082,盛美上海,2025-11-17,2025-11-17,买入,161.66,156.44,-3.23
2,603061,金海通,2025-11-17,2026-03-18,买入,84.821166437,246.44,190.54
3,688146,中船特气,2025-11-17,2025-11-17,买入,43.24,70.81,63.76
4,301095,广立微,2025-11-10,2025-11-10,买入,73.01,84.1,15.19
5,688409,富创精密,2025-11-10,2025-11-10,买入,70.96,102.47,44.41
1,002916,深南电路,2025-10-31,2025-10-31,买入,214.48,301.3,40.48
2,002859,洁美科技,2025-10-31,2025-10-31,买入,31.91,45.58,42.84
3,600183,生益科技,2025-10-29,2025-10-29,买入,69.32,74.95,8.12
4,002463,沪电股份,2025-10-29,2025-10-29,买入,79.38,106.62,34.32
1,300627,华测导航,2026-04-20,2026-04-20,买入,35.31,34.75,-1.59
3,002841,视源股份,2026-03-30,2026-03-30,买入,32.71,38.79,18.59
4,600941,中国移动,2026-03-30,2026-03-30,买入,93.4,95.85,2.62
8,002290,禾盛新材,2026-01-22,2026-01-22,买入,64.13,73.95,15.31
10,688205,德科立,2024-08-30,2026-04-07,买入,23.815477957,242.28,917.13
