序号,股票代码,股票名称,调入日期,最新评级日期,当前评级名称,成交价格(前复权),最新价格,阶段涨跌幅
2,601919,中远海控,2024-04-30,2026-03-31,增持,10.0917975015,14.45,43.21
1,300548,长芯博创,2025-12-30,2026-02-04,买入,140.3,270.96,93.13
2,688215,瑞晟智能,2025-12-29,2025-12-29,买入,68.05,78.55,15.43
1,600641,先导基电,2026-04-17,2026-04-17,买入,24.29,27.0,11.16
2,688120,华海清科,2025-12-30,2025-12-30,买入,152.85,184.38,20.63
3,688502,茂莱光学,2025-11-05,2026-04-17,增持,351.99,487.55,38.51
4,002371,北方华创,2025-11-03,2025-11-03,买入,401.0,475.0,18.45
5,688200,华峰测控,2025-11-03,2025-11-03,买入,189.22,308.51,63.04
7,301377,鼎泰高科,2025-08-25,2025-10-24,增持,73.00825867,223.35,205.92
8,688072,拓荆科技,2025-05-06,2025-10-31,买入,161.6794185734,380.04,135.06
1,688300,联瑞新材,2025-11-27,2025-11-27,买入,55.4,90.05,62.55
2,300054,鼎龙股份,2025-07-25,2026-04-01,买入,29.4,55.95,90.31
1,002273,水晶光电,2026-04-20,2026-04-20,增持,31.18,33.48,7.38
2,688127,蓝特光学,2025-10-27,2026-03-20,增持,32.84,69.47,111.54
6,002281,光迅科技,2025-10-31,2025-10-31,增持,62.98,131.68,109.08
7,601138,工业富联,2025-10-31,2025-10-31,买入,71.60914656,67.92,-5.15
1,001203,大中矿业,2025-10-30,2025-10-30,买入,17.73,44.77,152.51
2,002475,立讯精密,2025-04-29,2025-11-03,买入,30.264285198,67.77,123.96
3,603236,移远通信,2025-03-06,2025-10-27,买入,83.5260780148,85.03,1.8
1,600487,亨通光电,2025-04-30,2025-10-28,增持,15.1784977274,69.52,357.97
2,600522,中天科技,2024-04-26,2025-10-28,增持,12.1175976128,34.07,181.11
3,002906,华阳集团,2023-04-20,2026-04-07,增持,29.7569625965,31.91,7.22
4,002920,德赛西威,2023-03-30,2026-03-16,增持,106.6358908248,109.25,2.45
1,600673,东阳光,2026-03-31,2026-03-31,买入,30.3,34.14,12.67
3,301165,锐捷网络,2025-12-29,2026-04-03,买入,88.49,92.3,4.31
1,300395,菲利华,2026-03-27,2026-03-27,买入,94.2,110.19,16.97
2,300751,迈为股份,2026-01-05,2026-01-05,买入,194.03,229.46,18.26
1,300416,苏试试验,2025-12-16,2025-12-16,增持,17.22,17.2,-0.12
2,603203,快克智能,2025-11-12,2025-11-12,买入,31.13,45.28,45.45
3,688059,华锐精密,2025-11-03,2025-11-03,买入,83.692797216,117.94,40.92
4,000425,徐工机械,2025-11-03,2025-11-03,买入,10.63,9.8,-7.81
6,688012,中微公司,2025-10-30,2025-10-30,买入,300.04,315.05,5.0
1,300842,帝科股份,2026-03-30,2026-03-30,买入,83.66,85.64,2.37
2,603659,璞泰来,2025-11-26,2026-03-25,买入,25.7735323846,34.38,33.41
4,300762,上海瀚讯,2025-05-14,2025-11-06,买入,21.99,41.4,88.27
1,603496,恒为科技,2026-04-22,2026-04-22,买入,31.5,31.86,1.14
2,688807,优迅股份,2026-04-10,2026-04-10,买入,257.12,338.0,31.46
3,002881,美格智能,2026-02-27,2026-02-27,买入,49.18,39.18,-20.33
4,301191,菲菱科思,2025-11-10,2025-11-10,买入,92.93,150.16,61.58
6,301183,东田微,2025-10-15,2025-10-24,买入,92.0,189.99,106.51
9,688100,威胜信息,2025-03-04,2026-01-19,买入,38.249469962,37.57,-1.78
1,300623,捷捷微电,2026-04-16,2026-04-16,买入,28.61,27.81,-2.8
3,300373,扬杰科技,2026-03-30,2026-03-30,买入,72.78,82.16,12.89
4,688521,芯原股份,2026-03-05,2026-03-05,买入,241.08,235.5,-2.31
5,002938,鹏鼎控股,2026-03-04,2026-03-04,买入,52.66,75.42,43.22
6,688037,芯源微,2025-12-30,2025-12-30,买入,144.99,183.02,26.23
7,688772,珠海冠宇,2025-11-25,2025-11-25,买入,22.4,16.66,-25.62
8,002600,领益智造,2025-11-03,2025-11-03,买入,15.1900000668,14.55,-4.21
10,300408,三环集团,2025-10-30,2025-10-30,买入,51.89,70.1,35.09
11,688195,腾景科技,2025-10-29,2025-10-29,买入,133.03,363.0,172.87
12,688048,长光华芯,2025-10-27,2025-10-27,买入,74.7,367.0,391.3
13,603296,华勤技术,2025-09-16,2025-10-27,买入,94.18,103.86,10.28
14,688775,影石创新,2025-08-29,2025-10-29,买入,322.15,194.59,-39.6
15,301421,波长光电,2025-08-15,2025-10-28,买入,82.96416558,96.4,16.2
16,301489,思泉新材,2025-08-11,2025-10-29,买入,147.42,208.99,41.77
18,688018,乐鑫科技,2025-04-29,2025-10-27,买入,138.7379327532,165.0,18.93
19,600114,东睦股份,2025-04-29,2025-10-29,买入,19.6367681163,32.86,67.31
20,300790,宇瞳光学,2025-04-29,2025-10-28,买入,20.840620419,29.9,43.47
21,603986,兆易创新,2025-04-28,2025-10-28,买入,114.876244224,304.8,165.32
24,300567,精测电子,2025-04-24,2025-10-28,买入,64.97,132.5,103.94
25,688661,和林微纳,2025-02-19,2025-10-29,买入,37.2963536733,111.04,197.69
26,301392,汇成真空,2025-01-02,2025-10-29,买入,58.770059295,162.43,176.38
27,002138,顺络电子,2024-10-28,2025-10-29,买入,28.236863395,35.51,25.74
28,300666,江丰电子,2024-06-26,2026-04-16,买入,48.3663523041,155.95,222.41
1,688372,伟测科技,2026-03-06,2026-03-06,买入,138.26,143.07,3.48
2,300857,协创数据,2025-11-03,2025-11-03,买入,116.5641225164,257.11,120.58
3,601728,中国电信,2026-03-31,2026-03-31,买入,5.67,5.96,5.11
4,600050,中国联通,2026-03-31,2026-03-31,买入,4.45,4.5,1.12
1,688336,三生国健,2025-12-02,2025-12-02,买入,64.26,79.32,23.44
1,600111,北方稀土,2026-04-23,2026-04-23,买入,47.16,47.16,0.0
2,601899,紫金矿业,2026-04-23,2026-04-23,买入,34.4,34.4,0.0
3,002532,天山铝业,2026-04-03,2026-04-03,买入,17.29,17.67,2.2
4,600988,赤峰黄金,2025-04-01,2025-11-04,买入,22.6066929725,41.17,82.09
1,920914,远航精密,2026-04-03,2026-04-03,买入,21.95,24.52,11.71
2,300816,艾可蓝,2026-03-20,2026-03-20,买入,63.49,67.56,6.41
3,688170,德龙激光,2026-03-05,2026-03-05,买入,53.49,58.44,9.25
4,300444,双杰电气,2026-02-06,2026-02-06,买入,15.41,16.0,3.83
5,688155,先惠技术,2026-02-02,2026-02-02,买入,91.0,86.46,-4.99
6,603507,振江股份,2026-01-21,2026-01-21,买入,27.72,45.51,64.18
7,688063,派能科技,2025-12-26,2025-12-26,增持,59.4,75.01,26.28
8,002364,中恒电气,2025-12-23,2025-12-23,买入,25.15,43.53,73.08
9,003038,鑫铂股份,2025-12-22,2025-12-22,买入,15.3,14.41,-5.82
10,688226,威腾电气,2025-12-22,2025-12-22,买入,39.39,59.35,50.67
11,300870,欧陆通,2025-12-22,2025-12-22,买入,215.65,357.0,65.55
12,002245,蔚蓝锂芯,2025-12-17,2025-12-17,买入,15.93,21.16,32.83
13,603381,永臻股份,2025-12-05,2025-12-05,买入,19.88,23.84,19.92
1,688332,中科蓝讯,2026-04-10,2026-04-10,买入,124.99,125.06,0.06
3,688135,利扬芯片,2026-02-24,2026-02-24,买入,34.78,36.0,3.51
5,688008,澜起科技,2025-12-22,2025-12-22,买入,120.4,159.7,32.64
7,688110,东芯股份,2025-12-01,2025-12-01,买入,120.2,116.65,-2.95
9,688525,佰维存储,2025-12-01,2025-12-01,买入,112.2,264.3,135.56
10,301536,星宸科技,2025-11-28,2025-11-28,买入,56.49,83.33,47.51
12,002947,恒铭达,2025-11-17,2026-04-01,买入,45.91,78.6,71.2
13,688220,翱捷科技,2025-11-13,2025-11-13,买入,86.16,90.7,5.27
15,603893,瑞芯微,2025-07-24,2026-04-23,买入,158.9764285872,176.78,11.2
16,688049,炬芯科技,2025-07-02,2026-02-02,买入,51.31009202,46.91,-8.58
17,688099,晶晨股份,2025-06-13,2026-02-13,买入,66.22,86.18,30.14
19,688608,恒玄科技,2025-05-26,2025-10-31,买入,272.962522312,169.5,-37.9
20,688486,龙迅股份,2025-05-19,2026-04-15,买入,67.83,74.44,9.74
21,688041,海光信息,2024-07-15,2026-04-09,买入,71.88974712,263.4,266.39
1,002155,湖南黄金,2026-04-20,2026-04-20,买入,30.39,29.89,-1.65
2,000962,东方钽业,2026-04-01,2026-04-01,买入,44.36,47.58,7.26
4,603132,金徽股份,2026-03-30,2026-03-30,买入,16.98,18.94,11.54
5,600219,南山铝业,2026-03-30,2026-03-30,买入,6.49,6.02,-7.24
6,603257,中国瑞林,2026-03-17,2026-03-17,增持,62.7,56.55,-9.81
7,000510,新金路,2025-12-05,2025-12-05,增持,10.41,13.62,30.84
8,000506,招金黄金,2025-11-10,2026-04-15,增持,12.61,16.48,30.69
9,603993,洛阳钼业,2025-10-31,2025-10-31,买入,17.04,19.36,13.62
1,688676,金盘科技,2026-04-07,2026-04-07,买入,70.77,92.53,30.75
1,688213,思特威,2026-04-20,2026-04-20,买入,92.92,92.0,-0.99
2,002049,紫光国微,2026-04-20,2026-04-20,增持,73.12,71.36,-2.41
5,688052,纳芯微,2026-03-02,2026-03-02,买入,169.5,177.61,4.78
8,601231,环旭电子,2026-01-26,2026-01-26,买入,31.23,41.3,32.24
9,002415,海康威视,2026-01-21,2026-04-20,买入,32.6,33.49,2.73
14,600584,长电科技,2025-11-25,2025-11-25,买入,35.51,44.41,25.06
16,688981,中芯国际,2025-11-17,2026-02-12,买入,117.63,105.98,-9.9
3,300909,汇创达,2026-01-22,2026-01-22,买入,47.93,43.91,-8.39
4,300433,蓝思科技,2025-12-17,2025-12-17,买入,29.65,26.6,-10.29
5,002943,宇晶股份,2025-12-15,2026-02-04,买入,37.17,56.54,52.11
6,002416,爱施德,2025-09-01,2025-10-29,买入,12.43,13.55,9.01
1,000969,安泰科技,2025-11-11,2025-11-11,买入,20.1,21.2,5.47
2,000680,山推股份,2025-11-04,2025-11-04,买入,10.9,10.98,0.73
1,605117,德业股份,2025-11-11,2025-11-11,买入,82.8,148.8,79.71
2,300274,阳光电源,2025-10-30,2026-04-02,买入,194.68,134.5,-30.91
3,600563,法拉电子,2026-04-10,2026-04-10,买入,120.0,119.16,-0.7
4,603031,安孚科技,2026-04-10,2026-04-10,买入,51.35,56.36,9.76
6,688106,金宏气体,2026-04-08,2026-04-08,买入,27.08,34.4,27.03
9,301326,捷邦科技,2026-04-01,2026-04-01,买入,130.69,159.06,21.71
12,688035,德邦科技,2026-03-24,2026-03-24,买入,56.56,71.62,26.63
13,688328,深科达,2026-03-23,2026-03-23,买入,34.9,41.22,18.11
15,688625,呈和科技,2026-03-23,2026-03-23,买入,51.23,70.8,38.2
16,002975,博杰股份,2026-03-18,2026-03-18,买入,74.0,112.61,52.18
17,300731,科创新源,2026-03-18,2026-03-18,买入,76.85,71.84,-6.52
18,301217,铜冠铜箔,2026-03-17,2026-03-17,买入,39.85,48.28,21.15
19,603005,晶方科技,2026-03-17,2026-03-17,买入,29.26,31.69,8.3
20,688383,新益昌,2026-03-16,2026-03-16,买入,71.58,99.8,39.42
21,300480,光力科技,2026-03-16,2026-03-16,买入,30.52,33.38,9.37
22,603650,彤程新材,2026-03-16,2026-03-16,买入,54.9,55.67,1.4
23,301045,天禄科技,2026-03-11,2026-03-11,买入,51.08,40.26,-21.18
24,603936,博敏电子,2026-03-10,2026-03-10,买入,14.02,16.04,14.41
25,688519,南亚新材,2026-03-09,2026-04-13,买入,109.25,147.12,34.66
26,002851,麦格米特,2026-03-05,2026-03-05,买入,128.59,106.46,-17.21
27,300656,民德电子,2026-03-04,2026-03-04,增持,22.6,23.25,2.88
28,002429,兆驰股份,2026-02-26,2026-02-26,买入,10.52,13.1,24.52
30,688512,慧智微,2026-02-24,2026-02-24,买入,12.75,12.46,-2.27
32,301369,联动科技,2026-02-09,2026-02-09,买入,121.57,167.29,37.61
33,688020,方邦股份,2026-02-09,2026-02-09,买入,91.44,117.73,28.75
34,000100,TCL科技,2026-02-03,2026-02-03,买入,4.79,4.26,-11.06
35,301629,矽电股份,2026-01-30,2026-01-30,增持,314.46,327.0,3.99
36,688401,路维光电,2026-01-29,2026-01-29,买入,52.91,63.3,19.64
38,301678,新恒汇,2026-01-27,2026-01-27,增持,78.0,59.36,-23.9
39,688150,莱特光电,2026-01-27,2026-01-27,买入,28.93,53.35,84.41
40,688535,华海诚科,2026-01-21,2026-01-21,买入,137.34,121.18,-11.77
41,688322,奥比中光,2026-01-07,2026-01-07,买入,93.2,79.81,-14.37
43,300322,硕贝德,2026-01-05,2026-01-05,买入,28.18,31.16,10.57
44,688234,天岳先进,2025-12-30,2025-12-30,买入,92.91,107.41,15.61
45,688800,瑞可达,2025-12-26,2025-12-26,买入,86.48,91.5,5.8
48,688449,联芸科技,2025-12-19,2026-04-23,买入,43.77,46.41,6.03
49,603773,沃格光电,2025-12-16,2025-12-16,买入,34.37,60.5,76.03
50,688720,艾森股份,2025-12-15,2025-12-15,买入,67.43,77.3,14.64
51,688362,甬矽电子,2025-12-11,2026-01-27,买入,31.56,45.95,45.6
52,688147,微导纳米,2025-12-02,2025-12-02,买入,63.3,65.03,2.73
54,603306,华懋科技,2025-11-24,2025-11-24,买入,45.55,106.0,132.71
55,300260,新莱应材,2025-11-24,2025-11-24,买入,54.57,49.25,-9.75
57,000636,风华高科,2025-11-19,2026-03-06,买入,16.89,22.16,31.2
58,688545,兴福电子,2025-11-17,2026-04-09,买入,36.82,51.5,39.87
60,603501,豪威集团,2025-11-12,2026-04-01,买入,123.6618076006,92.44,-25.25
62,688548,广钢气体,2025-11-06,2026-02-10,买入,13.28,30.05,126.28
63,688378,奥来德,2025-11-06,2025-11-06,买入,27.82,38.79,39.43
64,002156,通富微电,2025-11-04,2026-02-02,买入,40.88,47.24,15.56
65,301200,大族数控,2025-10-31,2025-10-31,买入,117.23,191.1,63.01
68,300223,北京君正,2025-09-15,2025-12-25,增持,83.6,119.34,42.75
69,300115,长盈精密,2025-09-10,2025-12-18,买入,24.49,32.82,34.01
70,688627,精智达,2025-09-02,2025-11-25,买入,110.25,276.37,150.68
71,688233,神工股份,2025-08-28,2026-02-24,买入,37.77,81.97,117.02
72,603256,宏和科技,2025-08-01,2025-12-23,买入,25.89,105.89,309.0
73,300684,中石科技,2025-07-28,2025-12-19,买入,27.28,60.05,120.12
74,301626,苏州天脉,2025-07-21,2025-11-28,买入,127.92,264.99,107.15
75,301479,弘景光电,2025-07-16,2025-12-29,买入,85.09,110.65,30.04
76,301389,隆扬电子,2025-07-09,2025-12-24,买入,37.842596358,59.81,58.06
81,688347,华虹公司,2025-06-16,2025-12-30,买入,47.44,123.59,160.52
86,300475,香农芯创,2025-04-09,2026-02-04,买入,26.3646043934,156.39,493.29
88,688249,晶合集成,2024-11-08,2025-11-06,买入,21.1217940868,30.14,42.71
2,002387,维信诺,2025-11-28,2025-11-28,增持,8.96,8.06,-10.04
1,002468,申通快递,2025-12-23,2025-12-23,买入,14.33,17.73,23.73
1,600549,厦门钨业,2025-10-30,2025-10-30,增持,36.55,62.65,71.41
2,002161,远望谷,2026-04-22,2026-04-22,买入,7.3,7.31,0.14
10,300236,上海新阳,2026-03-18,2026-03-18,买入,80.49,85.4,6.1
11,603341,龙旗科技,2025-12-09,2026-04-01,买入,45.15,37.49,-16.97
12,688036,传音控股,2025-11-18,2025-11-18,买入,62.24,54.46,-12.5
13,300351,永贵电器,2025-11-03,2025-11-03,买入,17.46,20.28,16.15
15,002436,兴森科技,2025-10-31,2025-10-31,买入,21.37,28.4,32.9
19,002993,奥海科技,2025-10-30,2026-04-22,买入,47.18490721,48.04,1.82
24,301328,维峰电子,2025-04-30,2025-10-28,买入,38.1292972518,62.75,64.57
25,002484,江海股份,2025-04-28,2026-04-10,买入,17.6834743338,34.59,95.64
1,603881,数据港,2025-07-18,2025-10-31,买入,27.0249276336,38.81,43.63
1,300012,华测检测,2025-10-30,2026-04-21,增持,14.23,17.15,20.52
2,300938,信测标准,2025-10-27,2026-04-01,增持,26.55,55.43,108.78
3,002871,伟隆股份,2025-08-19,2025-10-30,增持,16.9260266928,18.08,6.79
4,001288,运机集团,2025-05-06,2025-10-28,买入,21.372881454,27.7,29.62
5,688112,鼎阳科技,2024-05-06,2026-04-01,增持,32.5661517621,53.81,65.21
1,603737,三棵树,2026-04-23,2026-04-23,增持,43.66,43.66,0.0
2,600176,中国巨石,2025-07-14,2026-03-20,增持,12.1001374572,33.52,177.02
3,002080,中材科技,2025-03-20,2026-03-23,增持,14.5897366166,53.12,264.08
8,001389,广合科技,2026-03-09,2026-03-30,买入,109.3,168.38,54.05
9,300131,英唐智控,2026-03-06,2026-03-06,增持,13.88,17.35,25.0
13,000725,京东方A,2025-12-01,2025-12-01,增持,3.9,4.19,7.44
16,300207,欣旺达,2025-11-11,2025-11-11,买入,33.87,29.13,-13.99
21,002236,大华股份,2025-10-30,2025-10-30,买入,20.6362324661,18.32,-11.24
22,300604,长川科技,2025-10-30,2025-10-30,买入,88.0,155.61,76.83
24,688508,芯朋微,2025-09-15,2026-01-12,买入,68.4,73.99,8.17
28,301379,天山电子,2025-08-20,2025-11-03,买入,27.1,25.6,-5.54
31,300327,中颖电子,2025-05-28,2025-10-27,买入,20.5186543167,27.25,32.8
32,688385,复旦微电,2025-05-12,2025-11-05,买入,46.7329465271,75.08,60.67
49,300661,圣邦股份,2023-09-05,2025-10-30,买入,63.9460631468,86.99,36.03
52,002241,歌尔股份,2021-04-22,2025-10-27,买入,36.593944024,24.31,-33.56
1,688516,奥特维,2024-06-03,2025-11-10,买入,51.81794276,78.56,51.6
1,301526,国际复材,2025-10-29,2025-10-29,买入,6.78,14.99,121.09
2,002225,濮耐股份,2025-10-27,2025-10-27,买入,5.85,5.74,-1.88
3,603856,东宏股份,2025-09-23,2025-10-28,买入,11.2513686683,13.0,15.56
4,600586,金晶科技,2025-08-25,2025-10-31,买入,5.09,5.53,8.64
5,603601,再升科技,2025-08-04,2025-10-28,买入,4.6907755227,15.15,223.03
6,002043,兔宝宝,2025-04-28,2025-10-29,买入,9.9350542629,13.65,37.32
7,000786,北新建材,2024-11-01,2025-10-28,买入,29.7542175008,24.88,-16.37
1,002128,电投能源,2025-09-08,2026-04-20,买入,22.098918001,32.75,48.19
2,601918,新集能源,2024-11-25,2026-04-09,买入,7.2868174336,8.15,11.8
3,600188,兖矿能源,2024-11-18,2025-11-06,买入,14.6474767493,20.63,40.82
4,600985,淮北矿业,2024-11-18,2026-04-02,买入,14.436229327,14.18,-1.8
5,601088,中国神华,2024-11-18,2026-04-20,买入,38.2717388982,46.98,22.76
6,601898,中煤能源,2024-09-04,2026-04-02,买入,12.7420824978,17.6,38.15
7,601666,平煤股份,2024-03-21,2025-11-10,买入,10.6214429084,8.07,-24.01
1,603606,东方电缆,2026-04-22,2026-04-22,买入,67.2,65.91,-1.92
2,600312,平高电气,2026-04-21,2026-04-21,买入,21.17,21.78,2.88
4,000400,许继电气,2026-04-20,2026-04-20,买入,26.41,26.15,-0.98
6,002850,科达利,2026-04-07,2026-04-07,买入,175.25,205.87,17.47
7,688248,南网科技,2026-03-31,2026-03-31,买入,57.93,59.61,2.9
8,300750,宁德时代,2026-03-12,2026-04-22,买入,389.394314505,438.9,12.71
9,300201,海伦哲,2026-03-03,2026-04-22,买入,9.14,11.61,27.02
10,300001,特锐德,2026-01-28,2026-01-28,买入,28.09,31.08,10.64
1,600031,三一重工,2026-04-15,2026-04-15,买入,20.66,19.6,-5.13
2,000157,中联重科,2026-04-15,2026-04-15,买入,8.68,8.0,-7.83
3,300450,先导智能,2026-04-14,2026-04-14,买入,54.18,57.08,5.35
4,688556,高测股份,2026-04-13,2026-04-13,买入,12.92,13.42,3.87
5,002595,豪迈科技,2026-04-09,2026-04-09,买入,80.9,90.86,12.31
7,688003,天准科技,2026-03-19,2026-03-19,买入,57.9,68.73,18.7
8,688698,伟创电气,2026-03-02,2026-03-02,买入,81.61,66.62,-18.37
9,300652,雷迪克,2026-02-24,2026-02-24,买入,50.95,42.33,-16.92
10,688777,中控技术,2026-01-30,2026-01-30,买入,83.83,67.0,-20.08
11,300776,帝尔激光,2026-01-28,2026-01-28,买入,84.25,114.52,35.93
12,688255,凯尔达,2026-01-28,2026-01-28,买入,34.88,29.21,-16.26
13,301360,荣旗科技,2025-12-24,2025-12-24,买入,70.9,79.68,12.38
14,300946,恒而达,2025-12-09,2025-12-09,增持,58.75,45.91,-21.86
15,000657,中钨高新,2025-11-04,2025-11-04,买入,22.77,56.57,148.44
16,688686,奥普特,2025-11-03,2026-04-09,买入,124.88,105.0,-15.92
17,601766,中国中车,2025-11-03,2025-11-03,买入,7.5289828544,5.97,-20.72
18,688531,日联科技,2025-11-03,2026-03-19,买入,67.41,83.75,24.24
19,300124,汇川技术,2025-10-28,2025-10-28,买入,77.31,65.34,-15.48
20,600481,双良节能,2025-10-24,2025-10-24,买入,6.26,6.4,2.24
22,002008,大族激光,2025-08-20,2026-04-21,买入,33.47,103.6,209.53
24,601100,恒立液压,2025-05-13,2025-11-03,买入,74.1674396692,100.22,35.12
27,688518,联赢激光,2022-11-30,2025-11-03,买入,28.0492288112,28.29,0.86
28,300747,锐科激光,2022-09-27,2026-03-20,买入,23.3073344767,36.43,56.28
29,002353,杰瑞股份,2022-05-06,2025-11-28,买入,31.423593278,130.39,314.99
30,688188,柏楚电子,2022-01-26,2026-03-19,买入,119.2394861064,139.12,16.67
6,688210,统联精密,2026-02-26,2026-02-26,买入,61.32,46.0,-24.98
14,688307,中润光学,2025-11-10,2025-11-10,买入,40.29,94.68,135.0
17,688167,炬光科技,2025-11-04,2025-11-04,买入,131.39,359.0,173.23
19,603890,春秋电子,2025-10-29,2026-04-21,买入,14.8,19.76,33.51
20,301086,鸿富瀚,2025-09-22,2026-04-15,买入,79.3,189.96,139.55
28,688484,南芯科技,2025-06-04,2025-10-30,买入,32.6235533694,37.08,13.67
1,002541,鸿路钢构,2026-04-20,2026-04-20,买入,20.27,19.4,-4.29
2,601668,中国建筑,2026-04-20,2026-04-20,买入,4.88,4.85,-0.61
3,002949,华阳国际,2026-04-16,2026-04-16,买入,14.18,14.12,-0.42
4,002469,三维化学,2026-04-09,2026-04-09,买入,8.38,8.24,-1.67
5,600502,安徽建工,2026-04-08,2026-04-08,买入,5.53,5.99,8.32
6,601186,中国铁建,2026-04-07,2026-04-07,买入,6.91,6.86,-0.72
7,601800,中国交建,2026-04-07,2026-04-07,买入,7.54,7.2,-4.51
8,002140,东华科技,2026-03-31,2026-03-31,买入,12.6,12.45,-1.19
9,600970,中材国际,2026-03-30,2026-03-30,买入,10.35,10.13,-2.13
10,601117,中国化学,2026-03-27,2026-03-27,买入,9.1,8.58,-5.71
11,601886,江河集团,2026-03-23,2026-03-23,买入,7.89,10.01,26.87
12,601133,柏诚股份,2026-03-20,2026-03-20,买入,17.26,23.34,35.23
13,603929,亚翔集成,2026-03-16,2026-03-16,买入,154.91,185.4,19.68
14,601669,中国电建,2026-03-16,2026-03-16,买入,6.47,5.94,-8.19
15,605167,利柏特,2026-02-02,2026-04-22,买入,17.83,17.65,-1.01
16,601868,中国能建,2026-01-27,2026-01-27,买入,2.48,2.99,20.56
17,603018,华设集团,2026-01-26,2026-01-26,增持,7.73,7.28,-5.82
18,000065,北方国际,2026-01-20,2026-04-02,买入,12.33,13.61,10.38
19,000032,深桑达A,2025-12-18,2025-12-18,买入,18.47,18.32,-0.81
1,605289,罗曼股份,2026-04-23,2026-04-23,买入,128.9,128.9,0.0
13,300672,国科微,2026-03-11,2026-03-11,买入,140.32,161.08,14.79
1,688143,长盈通,2025-11-25,2025-11-25,增持,37.76,72.84,92.9
