序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,化肥,74,1166.54,2.55%,162.4,158.45,3.95
2,染料,38,1640.57,2.33%,17.61,19.59,-1.98
3,煤炭概念,87,2462.11,1.91%,143.0,134.22,8.78
4,磷化工,65,3375.15,1.88%,140.98,137.26,3.72
5,光刻机,47,2409.44,1.62%,154.38,143.07,11.31
6,氟化工概念,59,5363.09,1.62%,210.92,184.86,26.06
7,芬太尼,8,2169.68,1.41%,2.81,2.56,0.25
8,草甘膦,19,1657.14,1.31%,15.22,13.8,1.42
9,煤化工概念,108,2730.9,1.03%,175.02,175.32,-0.3
10,光刻胶,73,4580.19,1.00%,116.74,112.82,3.92
11,EDR概念,20,1644.25,0.94%,64.93,61.93,3.0
12,石墨电极,25,1278.21,0.94%,37.15,35.04,2.11
13,环氧丙烷,26,1631.07,0.77%,35.01,34.82,0.19
14,丙烯酸,19,2118.12,0.77%,27.34,28.74,-1.4
15,中芯国际概念,87,2717.73,0.59%,316.11,311.7,4.41
16,高股息精选,221,1557.0,0.40%,222.56,222.86,-0.3
17,青蒿素,10,2058.27,0.38%,10.87,11.18,-0.32
18,消毒剂,60,2204.04,0.28%,56.84,58.09,-1.25
19,同花顺果指数,20,2182.01,0.26%,303.79,298.7,5.08
20,POE胶膜,29,973.73,0.20%,40.88,39.79,1.09
21,长三角一体化,258,2085.53,0.20%,340.07,334.79,5.28
22,超超临界发电,87,1745.98,0.11%,160.82,164.57,-3.75
23,C2M概念,39,2004.44,0.11%,15.0,19.52,-4.52
24,人造肉,20,1549.45,0.11%,11.42,12.96,-1.54
25,2026一季报预增,99,1205.96,0.10%,457.84,467.02,-9.18
26,净水概念,77,1233.48,0.10%,69.6,72.36,-2.76
27,共封装光学(CPO),162,5394.57,0.08%,1452.14,1416.38,35.76
28,超级品牌,48,1502.63,0.06%,88.94,97.85,-8.91
29,华为数字能源,44,1727.41,0.02%,97.45,105.4,-7.95
30,生物质能发电,61,1183.54,-0.08%,67.09,66.65,0.44
31,供销社,15,1194.64,-0.09%,6.3,8.57,-2.28
32,存储芯片,177,2202.74,-0.11%,753.47,732.61,20.86
33,白酒概念,49,6740.43,-0.15%,48.27,61.29,-13.01
34,碳交易,117,1128.97,-0.18%,205.08,217.44,-12.35
35,农村电商,37,1938.42,-0.20%,18.67,23.67,-5.0
36,PET铜箔,47,1819.44,-0.24%,151.29,133.67,17.62
37,天然气,165,1794.05,-0.27%,178.45,187.65,-9.2
38,钛白粉概念,15,2109.74,-0.28%,15.47,15.03,0.44
39,中船系,20,1767.71,-0.31%,37.03,33.0,4.03
40,生态农业,58,1844.62,-0.31%,32.37,50.73,-18.36
41,NMN概念,25,1354.47,-0.32%,12.43,15.99,-3.56
42,同花顺出海50,50,1902.58,-0.34%,535.62,545.8,-10.18
43,举牌,14,3048.56,-0.36%,11.95,10.73,1.22
44,第三代半导体,160,2352.27,-0.36%,507.59,531.74,-24.15
45,毛发医疗,26,1156.14,-0.36%,8.81,11.9,-3.08
46,PCB概念,198,2342.83,-0.36%,758.48,708.65,49.83
47,OLED,150,2859.33,-0.36%,452.89,471.63,-18.74
48,绿色电力,413,1291.99,-0.36%,656.8,688.61,-31.81
