序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
75,300489,光智科技,87.07,14.57%,39.92%,3.01亿
76,2938,鹏鼎控股,75.42,14.50%,7.06%,2.76亿
77,751,锌业股份,6.74,14.43%,38.11%,3143.61万
78,690,宝新能源,5.48,14.41%,38.01%,2.48亿
79,688548,广钢气体,30.05,14.35%,17.12%,1.55亿
80,600310,广西能源,5.28,14.29%,39.54%,1.46亿
81,2297,博云新材,22.24,14.29%,113.22%,2.13亿
82,300331,苏大维格,53.31,14.23%,25.43%,1.80亿
83,600487,亨通光电,69.52,14.17%,27.01%,26.25亿
84,601101,昊华能源,9.36,14.15%,6.20%,-7315.77万
85,722,湖南发展,15.63,14.09%,39.36%,1357.68万
86,601330,绿色动力,9.19,13.88%,19.56%,6961.43万
87,537,绿发电力,11.65,13.88%,14.46%,-1.17亿
88,600599,*ST熊猫,4.45,13.81%,7.68%,761.23万
89,301198,喜悦智行,16.52,13.77%,18.85%,876.63万
90,600703,三安光电,15.51,13.63%,20.61%,3.09亿
91,2194,武汉凡谷,12.36,13.60%,25.63%,-2.72亿
92,300916,朗特智能,35.64,13.58%,32.55%,1.10亿
93,1389,广合科技,168.38,13.54%,24.52%,5678.97万
94,300903,科翔股份,42.64,13.49%,37.79%,3.79亿
95,301365,矩阵股份,35.12,13.44%,22.24%,1306.20万
96,2289,*ST宇顺,31.66,13.44%,4.90%,-974.01万
97,603693,江苏新能,16.43,13.23%,15.00%,1755.37万
98,300558,贝达药业,49.9,13.18%,12.18%,2.43亿
99,603217,元利科技,30.13,13.14%,11.81%,7342.73万
100,605077,华康股份,16.99,13.12%,14.48%,1211.03万
101,300106,西部牧业,10.78,11.71%,22.47%,4408.35万
102,300687,赛意信息,24.18,11.58%,14.07%,1.02亿
103,601016,节能风电,4.65,11.51%,28.59%,1.02亿
104,600986,浙文互联,12.22,11.50%,41.16%,7445.37万
105,300558,贝达药业,49.03,11.43%,12.03%,2.47亿
106,2971,和远气体,34.55,11.24%,17.29%,-2360.66万
107,600446,金证股份,13.46,11.24%,11.78%,4722.94万
108,600641,先导基电,27.36,11.22%,19.28%,-1.50亿
109,906,浙商中拓,6.36,11.19%,6.71%,7629.50万
110,688702,盛科通信,249.51,11.14%,12.40%,1.58亿
111,2008,大族激光,103.03,11.02%,12.55%,7.40亿
112,2256,兆新股份,4.55,10.98%,28.65%,5237.21万
113,66,中国长城,17.1,10.97%,13.06%,6.35亿
114,600599,*ST熊猫,4.56,10.95%,6.63%,101.03万
115,603967,中创物流,14.73,10.92%,4.53%,183.00万
116,2176,江特电机,12.98,10.85%,25.46%,6.00亿
117,300015,爱尔眼科,10.74,10.84%,4.75%,4.45亿
118,300901,中胤时尚,16.51,10.81%,9.56%,2693.52万
119,301365,矩阵股份,34.94,10.74%,17.78%,1453.15万
120,2428,云南锗业,75.74,10.73%,41.86%,-8.49亿
121,300698,万马科技,40.25,10.70%,22.66%,1.60亿
122,300444,双杰电气,17.0,10.68%,35.21%,-9117.88万
123,300959,线上线下,97.14,10.63%,33.36%,2.76亿
124,1314,亿道信息,48.19,10.60%,13.02%,686.07万
125,688141,杰华特,72.24,10.58%,8.80%,7889.41万
126,600126,杭钢股份,10.31,10.50%,20.09%,1.79亿
127,603066,音飞储存,11.12,10.43%,4.41%,-4432.26万
128,688252,天德钰,23.45,10.40%,7.07%,1.31亿
129,600166,福田汽车,3.73,10.36%,13.74%,2.16亿
130,300938,信测标准,56.79,10.27%,27.40%,2.75亿
131,300981,中红医疗,14.7,10.19%,12.12%,8780.88万
132,338,潍柴动力,29.66,10.14%,6.91%,1.32亿
133,301230,泓博医药,43.95,10.12%,22.39%,9919.78万
134,603365,水星家纺,22.85,10.12%,2.04%,-124.20万
135,300044,*ST赛为,6.86,10.11%,14.43%,-749.59万
136,605077,华康股份,16.91,10.09%,13.47%,-314.78万
137,601061,中信金属,14.28,10.02%,1.88%,-1990.22万
138,688508,芯朋微,74.36,10.02%,22.85%,3.57亿
139,603655,朗博科技,44.88,10.00%,7.00%,4715.78万
140,2293,罗莱生活,11.21,9.90%,6.14%,2993.16万
141,600429,三元股份,6.22,9.89%,3.17%,-2456.48万
142,2588,史丹利,11.67,9.89%,16.33%,-1.71亿
143,688041,海光信息,277.48,9.87%,3.28%,9.21亿
144,301239,普瑞眼科,42.41,9.87%,5.32%,4666.99万
145,3035,南网能源,8.82,9.84%,11.23%,3.08亿
146,811,冰轮环境,22.37,9.82%,15.79%,-1070.36万
147,300077,国民技术,23.21,9.79%,32.33%,5.74亿
148,605365,立达信,30.33,9.69%,10.14%,4867.01万
149,301106,骏成科技,32.41,9.68%,13.60%,1881.09万
150,300054,鼎龙股份,57.35,9.66%,13.12%,2.17亿
151,603130,云中马,49.6,9.25%,9.08%,-1749.60万
152,688052,纳芯微,185.9,9.22%,7.31%,8539.17万
153,3035,南网能源,8.77,9.22%,11.48%,2.95亿
154,338,潍柴动力,29.41,9.21%,7.09%,9694.97万
155,603813,*ST原尚,32.99,9.20%,1.74%,-3049.03万
156,301230,泓博医药,43.57,9.17%,23.44%,9361.25万
157,301319,唯特偶,79.78,9.12%,24.19%,5492.28万
158,688181,八亿时空,36.51,9.08%,18.66%,5230.01万
159,300981,中红医疗,14.55,9.07%,12.39%,8572.46万
160,2620,ST瑞和,10.71,9.06%,15.11%,-789.25万
161,301248,杰创智能,65.74,9.04%,23.44%,1.71亿
162,600510,黑牡丹,11.1,9.04%,8.85%,1.06亿
163,688648,中邮科技,57.96,8.97%,16.83%,4983.56万
164,300959,线上线下,95.68,8.96%,34.73%,2.69亿
165,688595,芯海科技,36.29,8.95%,7.61%,2678.58万
166,688200,华峰测控,320.54,8.95%,5.99%,4460.38万
167,688558,国盛智科,34.31,8.92%,7.08%,4662.78万
168,603355,莱克电气,30.7,8.90%,1.91%,4971.85万
169,301365,矩阵股份,34.35,8.87%,18.31%,779.79万
170,600826,兰生股份,10.32,8.86%,3.04%,-4544.67万
171,300832,新产业,48.76,8.79%,2.57%,6041.61万
172,300575,中旗股份,6.7,8.77%,13.44%,1626.84万
173,829,天音控股,11.95,8.74%,19.14%,2.13亿
174,912,泸天化,5.37,8.70%,9.12%,7094.24万
175,722,湖南发展,15.14,8.69%,33.70%,1544.59万
176,603709,中源家居,18.41,8.68%,11.53%,-1735.34万
177,688203,海正生材,13.62,8.61%,6.72%,-503.31万
178,711,ST京蓝,4.35,8.48%,13.13%,3572.40万
179,300054,鼎龙股份,56.73,8.47%,13.72%,2.21亿
180,2667,威领股份,31.38,8.47%,26.15%,4323.64万
181,300444,双杰电气,16.65,8.40%,37.39%,-1.15亿
182,688279,峰岹科技,194.21,8.38%,5.05%,-1166.43万
183,2793,罗欣药业,5.43,8.38%,10.74%,-52.43万
184,688683,莱尔科技,44.0,8.37%,3.42%,2084.72万
185,2921,联诚精密,26.43,8.36%,13.87%,1526.62万
186,2990,盛视科技,48.92,8.35%,40.49%,2.94亿
187,811,冰轮环境,22.05,8.25%,16.06%,-1220.50万
188,605376,博迁新材,115.72,8.19%,10.37%,-4.39亿
189,537,绿发电力,11.23,8.08%,12.66%,-1.91亿
190,603496,恒为科技,30.95,8.07%,31.54%,-3933.13万
191,301109,军信股份,16.67,8.04%,14.57%,6880.85万
192,2092,中泰化学,6.6,8.02%,6.34%,1.27亿
193,688193,仁度生物,59.6,7.97%,7.69%,-1180.09万
194,603629,利通电子,109.22,7.94%,42.45%,1.93亿
195,603606,东方电缆,65.92,7.91%,8.84%,-5.74亿
196,688663,新风光,68.9,7.86%,9.01%,1.46亿
197,688313,仕佳光子,146.98,7.80%,23.72%,-2.16亿
198,688115,思林杰,48.69,7.77%,7.45%,253.67万
199,300331,苏大维格,52.56,7.75%,20.32%,1.50亿
200,1270,*ST铖昌,158.38,7.74%,8.51%,-2292.63万
201,603217,元利科技,29.52,7.70%,10.73%,6767.94万
202,605222,起帆电缆,35.0,7.69%,15.83%,874.98万
203,688146,中船特气,74.58,7.62%,40.07%,1.15亿
204,2803,吉宏股份,19.62,7.62%,19.88%,-853.50万
205,600633,浙数文化,13.88,7.60%,10.21%,3.04亿
206,600989,宝丰能源,29.75,7.56%,4.30%,5.48亿
207,2301,齐心集团,7.18,7.49%,8.25%,-2679.66万
208,300458,全志科技,41.82,7.48%,18.04%,3.22亿
209,3022,联泓新科,24.21,7.46%,5.58%,-5849.21万
210,688234,天岳先进,103.73,7.45%,9.85%,4.01亿
211,404,长虹华意,8.54,7.42%,22.86%,3519.26万
212,601330,绿色动力,8.84,7.41%,17.15%,5993.47万
213,300895,铜牛信息,64.6,7.34%,45.30%,2.55亿
214,688126,沪硅产业,21.22,7.33%,5.84%,8426.86万
215,600426,华鲁恒升,37.86,7.31%,3.42%,9890.57万
216,600488,津药药业,6.77,7.29%,39.80%,5915.13万
217,300292,吴通控股,5.3,7.29%,34.81%,3368.78万
218,2429,兆驰股份,11.79,7.28%,14.85%,-3.67亿
219,603039,泛微网络,45.76,7.27%,18.29%,1.82亿
220,300460,ST惠伦,9.88,7.27%,12.64%,5200.32万
221,2752,昇兴股份,7.4,7.25%,24.85%,1.72亿
222,1215,千味央厨,42.5,7.24%,12.94%,6956.95万
223,688609,九联科技,9.36,7.22%,9.94%,3237.57万
224,2432,九安医疗,85.86,7.22%,19.56%,-1.40亿
225,688269,凯立新材,42.69,7.21%,4.96%,1243.23万
226,600415,小商品城,13.24,7.21%,9.11%,3.92亿
227,159,国际实业,6.69,7.21%,17.68%,8560.86万
228,301302,华如科技,24.46,7.19%,23.57%,1007.24万
229,2127,南极电商,2.98,7.19%,5.90%,3503.74万
230,603538,美诺华,56.3,7.18%,66.50%,2.75亿
231,600763,通策医疗,43.72,7.18%,6.21%,9660.30万
232,300388,节能国祯,8.41,7.13%,4.14%,3572.88万
233,2353,杰瑞股份,125.48,7.11%,7.00%,2.00亿
234,2430,杭氧股份,32.21,7.08%,7.94%,7878.67万
235,300466,赛摩智能,9.3,7.02%,7.68%,457.52万
236,601898,中煤能源,17.75,6.99%,1.21%,1.90亿
237,2730,电光科技,28.32,6.99%,18.00%,1.37亿
238,2015,协鑫能科,20.23,6.98%,28.77%,3.07亿
239,600188,兖矿能源,20.88,6.97%,2.78%,-3.99亿
240,593,德龙汇能,19.94,6.97%,21.79%,-3508.70万
241,300081,ST恒信,4.15,6.96%,19.37%,-2932.96万
242,2194,武汉凡谷,11.53,6.96%,29.34%,-3.30亿
243,600691,潞化科技,3.4,6.92%,8.90%,9452.94万
244,300339,润和软件,43.4,6.90%,13.26%,-921.41万
245,600370,三房巷,2.64,6.88%,5.26%,6665.82万
246,603228,景旺电子,69.65,6.87%,16.84%,15.37亿
247,830,鲁西化工,16.85,6.85%,5.56%,1.08亿
248,688260,昀冢科技,31.09,6.84%,10.97%,1376.01万
249,688253,英诺特,47.72,6.80%,7.01%,5366.96万
250,600381,*ST春天,3.31,6.77%,4.93%,444.49万
251,600400,红豆股份,2.22,6.73%,6.45%,5697.15万
252,600792,云煤能源,4.29,6.72%,8.16%,6544.90万
253,600566,济川药业,26.53,6.72%,1.30%,5365.25万
254,301529,福赛科技,122.62,6.62%,22.93%,-5576.99万
255,300540,蜀道装备,29.96,6.62%,47.98%,3497.35万
256,603599,广信股份,14.59,6.57%,3.62%,1117.80万
257,688352,颀中科技,12.69,6.55%,13.03%,1546.94万
258,603903,中持股份,12.49,6.48%,15.28%,-4238.81万
259,300856,科思股份,13.82,6.47%,3.08%,2928.75万
260,300200,高盟新材,10.6,6.43%,16.33%,2101.10万
261,301273,瑞晨环保,33.72,6.41%,6.37%,362.01万
262,600409,三友化工,7.64,6.41%,6.07%,2404.82万
263,603124,江南新材,131.55,6.39%,6.49%,1393.60万
264,603076,乐惠国际,30.2,6.38%,13.34%,3570.59万
265,600956,新天绿能,8.88,6.35%,4.81%,4617.59万
266,600060,海信视像,24.54,6.33%,2.93%,6201.66万
267,688398,赛特新材,31.0,6.31%,5.30%,-1356.12万
268,301198,喜悦智行,16.62,6.27%,15.34%,-244.55万
269,601918,新集能源,8.13,6.27%,5.71%,1.28亿
270,600694,大商股份,17.97,6.27%,3.67%,1339.14万
271,603290,斯达半导,107.33,6.26%,7.40%,1.13亿
272,600869,远东股份,16.59,6.21%,18.22%,5.85亿
273,600075,新疆天业,6.5,6.21%,3.58%,7376.10万
274,600078,澄星股份,13.04,6.19%,10.93%,2100.28万
275,600722,金牛化工,14.28,6.17%,28.50%,2.10亿
276,688335,复洁科技,34.24,6.14%,5.25%,1529.51万
277,601138,工业富联,65.18,6.14%,3.58%,42.18亿
278,300726,宏达电子,48.76,6.14%,11.44%,-6767.51万
279,688678,福立旺,23.04,6.13%,21.65%,1.05亿
280,539,粤电力A,6.78,6.10%,26.22%,-1.91亿
281,688218,江苏北人,30.59,6.07%,15.33%,4057.83万
282,301611,珂玛科技,106.86,6.04%,27.60%,1.00亿
283,300720,海川智能,68.65,6.04%,19.77%,1.83亿
284,300604,长川科技,157.25,6.04%,9.02%,1.46亿
285,300511,雪榕生物,7.61,5.99%,20.46%,3376.23万
286,603002,宏昌电子,14.68,5.92%,20.35%,-2159.15万
287,603220,中贝通信,31.22,5.90%,51.07%,7384.62万
288,2796,世嘉科技,59.1,5.90%,24.89%,-1.49亿
289,2380,科远智慧,35.03,5.89%,13.12%,4353.96万
290,301236,软通动力,42.2,5.87%,11.15%,3.11亿
291,688668,鼎通科技,236.06,5.86%,11.59%,1.71亿
292,300035,中科电气,24.56,5.86%,29.53%,1.25亿
293,300852,四会富仕,46.68,5.85%,14.31%,1.20亿
294,300573,兴齐眼药,70.16,5.82%,9.29%,3546.35万
295,688396,华润微,54.58,5.80%,4.17%,2.21亿
296,603815,交建股份,7.48,5.80%,25.25%,-4879.84万
297,2655,共达电声,24.98,5.80%,20.63%,-2648.62万
298,301603,乔锋智能,106.5,5.80%,38.78%,1796.02万
299,603219,富佳股份,17.28,5.75%,3.90%,7901.71万
300,300448,浩云科技,7.72,5.75%,14.19%,2281.32万
301,603369,今世缘,27.1,5.74%,2.74%,1.09亿
302,300732,设研院,7.19,5.74%,8.28%,1307.07万
303,300030,阳普医疗,8.14,5.71%,25.81%,-5696.90万
304,2694,顾地科技,2.96,5.71%,4.23%,927.57万
305,600238,*ST椰岛,5.01,5.70%,3.81%,-585.58万
306,301393,昊帆生物,59.99,5.67%,20.68%,8542.89万
307,688302,海创药业,46.8,5.67%,4.09%,1040.71万
308,600206,有研新材,26.29,5.67%,29.82%,2.01亿
309,300776,帝尔激光,108.29,5.66%,27.75%,3.60亿
310,601997,贵阳银行,6.17,5.65%,8.52%,2.59亿
311,628,高新发展,62.9,5.64%,17.95%,2.84亿
312,300628,亿联网络,37.74,5.60%,5.94%,1.69亿
313,902,新洋丰,15.87,5.59%,5.12%,7586.16万
314,300909,汇创达,43.55,5.58%,8.14%,1138.72万
315,600816,建元信托,2.65,5.58%,6.20%,-4668.49万
316,3000,劲仔食品,11.2,5.56%,8.24%,5538.36万
317,600638,新黄浦,6.29,5.54%,11.85%,-710.71万
318,688798,艾为电子,70.48,5.52%,7.21%,1401.13万
319,2397,梦洁股份,4.4,5.52%,17.17%,-472.45万
320,300181,佐力药业,16.36,5.48%,6.17%,1.37亿
321,301128,强瑞技术,187.06,5.45%,20.37%,7201.24万
322,600234,科新发展,23.35,5.42%,16.30%,-8098.67万
323,688557,兰剑智能,34.63,5.42%,6.00%,252.20万
324,600559,老白干酒,14.19,5.42%,5.86%,3028.20万
325,966,长源电力,4.67,5.42%,8.12%,1.81亿
326,603912,佳力图,11.11,5.41%,28.01%,-1.41亿
327,526,学大教育,34.2,5.39%,8.64%,6096.92万
328,603976,正川股份,20.93,5.39%,4.97%,-189.78万
329,600482,中国动力,39.92,5.39%,7.29%,-9795.83万
330,2029,七匹狼,10.17,5.39%,6.27%,3091.59万
331,600658,电子城,5.09,5.38%,4.08%,2396.84万
332,300822,贝仕达克,14.71,5.37%,2.48%,-242.51万
333,300880,迦南智能,23.38,5.36%,12.93%,-1545.77万
334,2938,鹏鼎控股,72.94,5.33%,5.65%,4358.31万
335,2920,德赛西威,111.1,5.31%,4.63%,1.02亿
336,600233,圆通速递,22.48,5.29%,2.73%,1.15亿
337,300091,*ST金灵,3.39,5.28%,6.86%,309.73万
338,2648,卫星化学,28.1,5.28%,3.50%,8627.41万
339,600150,中国船舶,38.23,5.26%,5.10%,27.21亿
340,301169,零点有数,65.05,5.24%,6.63%,2786.26万
341,605122,四方新材,13.74,5.21%,6.20%,1352.22万
342,301267,华厦眼科,18.01,5.20%,2.44%,1329.18万
343,688158,优刻得,49.23,5.19%,33.37%,5.46亿
344,605589,圣泉集团,38.58,5.18%,12.14%,2.38亿
345,600032,浙江新能,11.42,5.16%,15.70%,-4881.78万
346,603722,阿科力,38.76,5.13%,4.72%,1979.09万
347,300927,江天化学,32.77,5.10%,22.38%,1920.36万
348,603016,新宏泰,58.04,5.09%,17.51%,-4400.14万
349,688677,海泰新光,96.8,5.08%,17.94%,-5193.49万
350,300696,爱乐达,37.83,5.08%,10.46%,4885.72万
351,300432,富临精工,26.69,5.08%,8.91%,1.17亿
352,2448,中原内配,15.93,5.08%,23.21%,-329.60万
353,300740,水羊股份,24.45,5.07%,10.91%,277.35万
354,2310,东方新能,3.11,5.07%,15.63%,2.11亿
355,300592,华凯易佰,14.11,5.06%,6.14%,3793.86万
356,62,深圳华强,31.17,5.06%,15.62%,-2.16亿
357,600323,瀚蓝环境,29.94,5.05%,1.88%,964.23万
358,603637,镇海股份,16.04,5.04%,22.23%,-9641.23万
359,600971,恒源煤电,7.92,5.04%,3.55%,3229.16万
360,603444,吉比特,403.3,5.03%,9.62%,8334.36万
361,301330,熵基科技,35.88,5.00%,9.27%,1432.98万
362,300483,首华燃气,21.02,5.00%,22.64%,4027.23万
363,300567,精测电子,131.62,4.99%,12.45%,-1.22亿
364,3031,中瓷电子,128.6,4.98%,10.44%,421.87万
365,600461,洪城环境,10.34,4.97%,1.71%,4864.47万
366,603181,皇马科技,15.75,4.93%,4.11%,3412.87万
367,301086,鸿富瀚,187.0,4.92%,11.78%,-815.70万
368,688138,清溢光电,29.94,4.91%,6.70%,2802.27万
369,605198,安德利,47.39,4.91%,2.08%,1557.98万
370,603038,华立股份,16.66,4.91%,9.96%,3594.45万
371,301116,益客食品,10.92,4.90%,2.78%,120.04万
372,300191,潜能恒信,41.72,4.90%,20.09%,3330.31万
373,688676,金盘科技,92.5,4.88%,11.23%,1.48亿
374,688008,澜起科技,166.12,4.87%,12.96%,10.01亿
375,688548,广钢气体,30.93,4.85%,12.85%,4558.01万
376,688689,银河微电,38.68,4.82%,8.18%,2086.22万
377,300107,建新股份,7.21,4.80%,21.56%,2325.90万
378,603939,益丰药房,24.52,4.79%,2.60%,6553.59万
379,581,威孚高科,19.91,4.79%,5.87%,-4763.24万
380,605318,法狮龙,95.19,4.78%,6.39%,9120.40万
381,603319,美湖股份,37.56,4.77%,13.33%,1.45亿
382,600423,柳化股份,2.86,4.76%,15.35%,7227.51万
383,600360,*ST华微,9.92,4.75%,5.46%,1966.52万
384,300777,中简科技,35.91,4.75%,11.84%,-1.42亿
385,2922,伊戈尔,41.03,4.75%,17.23%,6443.69万
386,603101,汇嘉时代,10.47,4.70%,17.42%,-1.49亿
387,2795,永和智控,8.69,4.70%,11.70%,1168.85万
388,2481,双塔食品,4.7,4.68%,4.20%,361.74万
389,300903,科翔股份,40.17,4.66%,34.20%,3.41亿
390,600470,六国化工,7.18,4.66%,15.84%,5388.46万
391,688036,传音控股,54.94,4.65%,2.99%,1.63亿
392,300308,中际旭创,904.74,4.61%,6.21%,14.00亿
393,688168,安博通,85.13,4.58%,7.60%,8191.95万
394,2281,光迅科技,127.37,4.58%,28.06%,11.75亿
395,688229,博睿数据,90.3,4.57%,15.98%,7007.82万
396,885,城发环境,14.22,4.56%,5.41%,4235.17万
397,301629,矽电股份,317.27,4.55%,47.81%,2.62亿
398,600526,菲达环保,5.52,4.55%,4.08%,2612.31万
399,600809,山西汾酒,143.08,4.54%,2.05%,-6651.21万
400,300496,中科创达,63.83,4.52%,12.74%,1.40亿
401,600773,西藏城投,23.87,4.51%,9.66%,9191.16万
402,600333,长春燃气,5.56,4.51%,4.88%,802.62万
403,601858,中国科传,23.23,4.50%,4.89%,-930.18万
404,2531,天顺风能,12.77,4.50%,7.29%,1.13亿
405,603215,比依股份,19.8,4.49%,4.15%,-53.30万
406,688658,悦康药业,19.61,4.48%,6.70%,2206.12万
407,989,九芝堂,9.79,4.48%,11.12%,5817.75万
408,601699,潞安环能,14.5,4.47%,2.07%,1.05亿
409,600159,大龙地产,3.04,4.47%,7.84%,1473.65万
410,300025,华星创业,5.38,4.47%,8.51%,1341.73万
411,603006,联明股份,13.59,4.46%,3.86%,-873.41万
412,2201,九鼎新材,14.55,4.45%,70.60%,-4.50亿
413,688511,天微电子,24.98,4.43%,17.02%,916.08万
414,301291,明阳电气,56.54,4.41%,18.14%,-6310.45万
415,603619,中曼石油,33.73,4.39%,12.05%,1.18亿
416,300677,英科医疗,57.09,4.37%,11.90%,6726.10万
417,600640,国脉文化,12.69,4.36%,2.79%,2991.82万
418,600604,市北高新,5.03,4.36%,3.25%,2338.89万
419,601225,陕西煤业,26.61,4.35%,1.18%,-7006.17万
420,688288,鸿泉技术,26.18,4.34%,12.78%,1443.87万
421,2391,长青股份,6.49,4.34%,13.00%,2073.26万
422,688208,道通科技,36.01,4.32%,4.44%,1.23亿
423,688484,南芯科技,38.21,4.31%,3.59%,3527.15万
424,2005,ST德豪,2.91,4.30%,2.39%,573.61万
425,688661,和林微纳,107.88,4.29%,20.57%,1.37亿
426,2064,华峰化学,11.75,4.26%,2.11%,9520.44万
427,300843,胜蓝股份,70.58,4.25%,13.36%,-2641.23万
428,688399,硕世生物,63.02,4.23%,5.42%,765.91万
429,301190,善水科技,23.0,4.21%,6.50%,1226.61万
430,300419,ST浩丰,7.67,4.21%,8.79%,1230.60万
431,300346,南大光电,53.4,4.20%,20.25%,-4.13亿
432,2053,云南能投,11.94,4.19%,3.88%,2988.42万
433,600378,昊华科技,35.51,4.17%,3.97%,-8965.72万
434,603345,安井食品,99.5,4.16%,3.42%,754.67万
435,158,常山北明,18.28,4.16%,9.09%,1.91亿
436,300482,万孚生物,18.35,4.14%,5.32%,-963.10万
437,300005,探路者,15.08,4.14%,9.71%,4772.82万
438,300910,瑞丰新材,48.18,4.13%,8.81%,-1902.00万
439,2838,道恩股份,28.51,4.13%,3.24%,1306.97万
440,600133,东湖高新,9.1,4.12%,8.72%,7708.65万
441,300140,节能环境,6.59,4.11%,8.14%,1995.45万
442,2392,北京利尔,8.62,4.11%,9.53%,7992.49万
443,600496,精工钢构,3.81,4.10%,11.37%,1.21亿
444,2705,新宝股份,18.57,4.09%,13.32%,4522.63万
445,2445,中南文化,3.59,4.06%,16.14%,8253.77万
446,688478,晶升股份,42.64,4.05%,23.32%,9027.27万
447,603398,*ST沐邦,11.81,4.05%,4.94%,-460.40万
448,688123,聚辰股份,123.95,4.04%,15.94%,-4643.22万
