序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,688808,联讯仪器,755.0,822.08%,51.52%,-13.82亿
2,688268,华特气体,176.6,48.35%,33.84%,-1.10亿
3,300970,华绿生物,46.27,39.49%,69.71%,-2.94亿
4,300067,安诺其,6.93,37.23%,27.52%,-3.49亿
5,603318,水发燃气,11.39,33.22%,26.44%,-3.61亿
6,1234,泰慕士,35.77,33.12%,31.39%,-2.06亿
7,600736,苏州高新,9.21,33.09%,20.42%,-5.28亿
8,300890,翔丰华,43.53,31.27%,89.32%,-3.49亿
9,300061,旗天科技,10.48,29.06%,15.40%,-7674.02万
10,600396,华电辽能,10.46,28.66%,60.71%,-5.84亿
11,300613,富瀚微,56.08,28.12%,15.18%,-1422.40万
12,688048,长光华芯,397.0,27.75%,27.19%,1.54亿
13,300721,怡达股份,18.15,26.13%,39.65%,-3.48亿
14,603618,杭电股份,32.63,25.74%,34.66%,-13.29亿
15,600052,东望时代,4.74,25.40%,24.88%,1999.88万
16,301588,美新科技,28.05,25.11%,56.81%,1.00亿
17,300382,斯莱克,15.59,25.02%,19.82%,3.14亿
18,600726,华电能源,5.8,24.73%,13.30%,2.15亿
19,301003,江苏博云,65.89,24.56%,27.93%,-5378.14万
20,925,众合科技,9.2,23.99%,22.55%,-1.56亿
21,300489,光智科技,99.4,23.85%,31.67%,3.08亿
22,600770,综艺股份,6.97,23.14%,12.27%,-4.03亿
23,3036,泰坦股份,33.59,22.01%,21.49%,8632.17万
24,688628,优利德,99.02,21.59%,15.98%,-3400.39万
25,2787,华源控股,21.38,21.34%,29.57%,-2.78亿
26,300965,恒宇信通,67.53,20.25%,11.52%,2892.80万
27,600208,衢州发展,4.68,20.00%,12.05%,6.42亿
28,603060,国检集团,7.29,19.90%,9.95%,-7809.50万
29,300590,移为通信,14.24,19.76%,30.29%,-4.42亿
30,300422,博世科,5.56,19.57%,7.39%,-1081.33万
31,601778,晶科科技,7.59,19.53%,57.52%,4.03亿
32,603115,海星股份,57.74,18.59%,14.87%,-2.45亿
33,688820,盛合晶微,90.69,18.32%,101.91%,-1.59亿
34,2428,云南锗业,80.83,18.17%,45.98%,-8.23亿
35,2443,金洲管道,11.24,17.94%,27.73%,1.82亿
36,3018,金富科技,55.84,17.68%,23.45%,-1.64亿
37,300649,杭州园林,19.51,17.53%,31.15%,5697.20万
38,688106,金宏气体,38.37,17.52%,31.58%,1.37亿
39,603738,泰晶科技,40.7,17.39%,50.84%,-7189.81万
40,601101,昊华能源,9.8,17.37%,9.20%,-1.19亿
41,600105,永鼎股份,48.58,17.37%,25.48%,-2.84亿
42,301222,浙江恒威,44.94,17.03%,17.99%,5992.40万
43,688001,华兴源创,51.64,16.99%,9.07%,-8558.43万
44,603906,龙蟠科技,30.41,16.87%,41.71%,5.47亿
45,300661,圣邦股份,91.6,16.69%,21.03%,8.13亿
46,2975,博杰股份,115.29,16.65%,31.41%,2.50亿
47,1267,汇绿生态,52.01,16.41%,29.35%,2.60亿
48,300857,协创数据,252.12,16.02%,18.27%,9681.30万
49,600961,株冶集团,31.0,15.97%,53.06%,-4.58亿
50,600696,*ST岩石,1.38,15.97%,4.70%,-463.81万
51,300801,泰和科技,31.07,16.32%,49.89%,8023.32万
52,2008,大族激光,103.6,16.17%,16.11%,8.21亿
53,603308,应流股份,83.0,16.10%,11.88%,-2.21亿
54,600105,永鼎股份,48.5,16.03%,31.77%,-5.05亿
55,600510,黑牡丹,11.19,15.96%,10.31%,1.62亿
56,715,中兴商业,6.61,15.96%,28.78%,-2.92亿
57,600696,*ST岩石,1.31,15.93%,5.28%,-122.43万
58,688677,海泰新光,100.52,15.90%,23.77%,802.07万
59,600208,衢州发展,4.3,15.90%,11.82%,4.93亿
60,603017,中衡设计,16.46,15.83%,38.44%,-2.02亿
61,603813,*ST原尚,33.31,15.78%,2.10%,-334.49万
62,609,*ST中迪,11.3,15.78%,0.72%,-2255.64万
63,2752,昇兴股份,7.25,15.63%,23.86%,2778.58万
64,600381,*ST春天,3.41,15.59%,6.01%,1420.36万
65,2448,中原内配,17.52,15.57%,25.04%,4815.05万
66,2443,金洲管道,11.14,15.56%,28.22%,1.17亿
67,301396,宏景科技,333.33,15.34%,58.44%,11.10亿
68,300540,蜀道装备,30.72,15.32%,61.71%,7352.03万
69,600726,华电能源,5.27,15.07%,13.52%,4.05亿
70,3035,南网能源,9.18,14.89%,13.07%,4.02亿
71,301667,纳百川,115.69,14.86%,147.35%,1.59亿
72,2787,华源控股,19.44,14.83%,36.12%,-2.30亿
73,811,冰轮环境,22.43,14.79%,19.20%,9528.72万
74,300342,天银机电,72.33,14.77%,55.30%,8.36亿
