序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,放量天数,阶段涨跌幅,所属行业
1,002577,雷柏科技,1.19,17.8,586.20万,150.77万(04月23日),7,16.19,计算机设备
2,000333,美的集团,-0.78,79.81,3604.19万,2178.80万(04月24日),6,0.19,白色家电
5,002631,德尔未来,-1.28,8.48,6881.99万,1414.13万(04月27日),5,16.32,家居用品
9,600257,大湖股份,0.98,6.15,1707.69万,1122.39万(04月27日),5,-0.16,医疗服务
10,600284,浦东建设,10.03,7.68,2209.43万,1060.60万(04月27日),5,7.41,建筑装饰
11,600746,江苏索普,-4.06,8.03,2190.00万,1031.19万(04月27日),5,-8.75,化学原料
12,601319,中国人保,1.54,7.26,7379.53万,4257.84万(04月27日),5,1.54,保险
13,603598,引力传媒,9.98,24.02,1808.36万,856.39万(04月27日),5,17.17,文化传媒
14,603809,豪能股份,1.52,11.35,1295.43万,808.02万(04月27日),5,4.51,汽车零部件
15,000060,中金岭南,8.75,8.08,2.70亿,8474.27万(04月28日),4,26.45,工业金属
16,000402,金融街,-4.01,3.35,2.16亿,2326.20万(04月28日),4,27.86,房地产
17,000408,藏格矿业,-1.72,88.63,1578.52万,926.80万(04月28日),4,-0.11,农化制品
18,000426,兴业银锡,6.55,48.14,8842.17万,4406.53万(04月28日),4,15.47,贵金属
19,000509,华塑控股,10.08,3.93,1866.28万,1482.39万(04月28日),4,11.97,光学光电子
20,000513,丽珠集团,-0.83,32.31,659.38万,377.65万(04月28日),4,-1.1,化学制药
21,000603,盛达资源,3.07,38.95,2435.26万,1473.21万(04月28日),4,6.13,工业金属
22,000679,大连友谊,-3.66,6.85,706.37万,344.43万(04月28日),4,-1.72,零售
23,000766,通化金马,1.38,25.75,5702.62万,1513.26万(04月28日),4,10.66,化学制药
24,000822,山东海化,-5.14,5.54,2988.81万,2065.63万(04月28日),4,-6.26,化学原料
25,000833,粤桂股份,-9.53,27.14,9231.01万,5069.47万(04月28日),4,-1.2,非金属材料
26,000837,秦川机床,3.68,11.56,1630.34万,1046.96万(04月28日),4,8.24,通用设备
27,000933,神火股份,-2.88,31.75,4708.48万,3944.29万(04月28日),4,-1.49,工业金属
28,001280,中国铀业,3.23,86.2,1277.61万,877.87万(04月28日),4,4.71,小金属
29,002072,凯瑞德,0.55,7.35,1121.73万,622.16万(04月28日),4,-2.0,贸易
30,002162,悦心健康,0.45,4.45,1449.12万,1141.89万(04月28日),4,0.23,家居用品
31,002183,怡亚通,9.98,6.5,1.32亿,7727.63万(04月28日),4,15.45,贸易
32,002203,海亮股份,5.56,20.89,9283.68万,4109.66万(04月28日),4,20.61,工业金属
33,002229,鸿博股份,1.72,18.34,7257.87万,3918.61万(04月28日),4,12.65,IT服务
34,002515,金字火腿,6.48,7.56,1.47亿,4011.12万(04月28日),4,22.93,食品加工制造
35,002640,跨境通,2.24,4.11,1.77亿,3507.13万(04月28日),4,26.85,互联网电商
36,002795,永和智控,0.62,9.74,4543.19万,3648.99万(04月28日),4,11.95,通用设备
37,002899,英派斯,1.02,33.74,420.03万,220.02万(04月28日),4,2.71,家居用品
38,002922,伊戈尔,3.29,42.68,2235.73万,1510.29万(04月28日),4,4.0,其他电子
39,002930,宏川智慧,10.04,14.58,3838.94万,898.39万(04月28日),4,16.08,物流
48,600009,上海机场,-0.44,27.26,1320.10万,713.92万(04月28日),4,0.41,机场航运
