序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,放量天数,阶段涨跌幅,所属行业
49,600113,浙江东日,0.47,49.38,470.81万,242.56万(04月28日),4,10.77,零售
50,600192,长城电工,2.02,8.59,755.34万,424.85万(04月28日),4,5.79,电网设备
51,600232,金鹰股份,0.58,8.7,892.70万,560.38万(04月28日),4,2.59,纺织制造
52,600358,国旅联合,2.9,6.03,919.26万,582.48万(04月28日),4,2.55,文化传媒
53,600610,中毅达,10.0,10.34,2031.96万,1470.92万(04月28日),4,12.03,化学原料
54,600710,苏美达,2.21,12.5,1535.94万,1141.47万(04月28日),4,0.73,贸易
55,600771,广誉远,-1.2,16.5,513.35万,363.35万(04月28日),4,-2.54,中药
56,600818,ST中路,-5.01,7.01,20.04万,0(04月28日),4,0.0,汽车服务及其他
57,601608,中信重工,1.33,6.11,4138.13万,3006.16万(04月28日),4,1.66,专用设备
58,601929,吉视传媒,2.36,3.04,1.06亿,5995.43万(04月28日),4,6.67,文化传媒
59,603039,泛微网络,7.23,49.11,1106.07万,635.27万(04月28日),4,12.64,软件开发
60,603071,物产环能,-0.63,14.17,452.26万,294.01万(04月28日),4,0.57,电力
61,603156,养元饮品,0.44,41.49,1465.39万,772.28万(04月28日),4,21.24,饮料制造
62,603488,展鹏科技,3.67,12.42,1970.09万,1263.88万(04月28日),4,13.32,军工电子
63,603577,汇金通,1.25,11.32,564.01万,517.02万(04月28日),4,1.52,电网设备
64,603636,南威软件,10.02,10.1,1434.20万,779.92万(04月28日),4,15.17,IT服务
65,603717,天域生物,1.07,7.53,2542.99万,719.97万(04月28日),4,11.39,养殖业
66,603777,来伊份,4.37,18.86,1645.88万,1281.12万(04月28日),4,21.83,食品加工制造
67,603950,长源东谷,10.0,63.8,1080.81万,669.67万(04月28日),4,11.23,汽车零部件
68,603993,洛阳钼业,1.95,19.86,3.12亿,2.02亿(04月28日),4,7.47,工业金属
77,000016,*ST康佳A,-4.55,2.94,4958.14万,0(04月29日),3,0.0,白色家电
78,000026,飞亚达,4.87,18.72,1501.56万,1200.13万(04月29日),3,3.48,服装家纺
79,000065,北方国际,4.84,13.85,3633.75万,2461.59万(04月29日),3,9.49,建筑装饰
80,000525,红太阳,1.11,5.46,3542.05万,1439.08万(04月29日),3,-1.97,农化制品
81,000533,顺钠股份,4.42,13.93,6754.53万,4373.74万(04月29日),3,5.93,电网设备
82,000559,万向钱潮,3.49,17.2,8051.62万,6060.88万(04月29日),3,8.59,汽车零部件
83,000573,粤宏远A,-2.81,4.84,3648.40万,1984.32万(04月29日),3,-2.42,房地产
84,000632,ST三木,-5.12,3.52,1279.22万,0(04月29日),3,0.0,综合
85,000639,ST西王,-5.18,1.83,4991.55万,0(04月29日),3,0.0,食品加工制造
86,000670,盈方微,5.26,8.2,4981.22万,2381.73万(04月29日),3,10.81,其他电子
87,000678,襄阳轴承,3.9,12.26,849.22万,602.82万(04月29日),3,6.7,汽车零部件
88,000727,冠捷科技,5.84,2.9,1.30亿,6853.42万(04月29日),3,9.02,光学光电子
89,000728,国元证券,-0.67,7.37,2781.65万,2316.53万(04月29日),3,0.14,证券
90,000789,万年青,-0.4,4.94,418.72万,351.25万(04月29日),3,-1.0,建筑材料
91,000821,ST京机,2.43,10.54,1152.30万,894.60万(04月29日),3,1.44,光伏设备
92,000823,超声电子,9.97,17.31,2769.26万,1471.85万(04月29日),3,13.96,元件
93,000852,石化机械,0.28,7.26,1279.65万,1076.63万(04月29日),3,0.69,专用设备
94,000863,三湘印象,-4.12,5.12,4901.91万,2634.28万(04月29日),3,12.28,房地产
95,000881,中广核技,1.53,7.94,971.43万,780.59万(04月29日),3,2.58,化学制品
96,000905,厦门港务,2.26,11.3,1294.16万,1005.48万(04月29日),3,4.73,港口航运
97,000922,佳电股份,1.31,15.45,1686.25万,1352.03万(04月29日),3,5.32,电机
98,000927,中国铁物,1.78,2.86,6682.65万,5597.91万(04月29日),3,0.7,物流
99,000957,中通客车,1.5,12.21,1755.47万,1660.49万(04月29日),3,1.33,汽车整车
100,001316,润贝航科,5.04,59.97,472.64万,194.03万(04月29日),3,27.11,石油加工贸易
101,001389,广合科技,0.41,180.32,1100.66万,927.75万(04月29日),3,9.95,元件
102,002006,精工科技,0.0,18.09,1184.65万,613.71万(04月29日),3,4.09,专用设备
103,002015,协鑫能科,5.43,20.59,1.63亿,1.33亿(04月29日),3,10.17,电力
104,002019,亿帆医药,-0.71,11.15,1065.72万,903.13万(04月29日),3,-0.8,化学制药
105,002034,旺能环境,1.44,18.31,2212.00万,1513.38万(04月29日),3,3.5,环境治理
106,002039,黔源电力,1.41,20.84,1289.78万,851.39万(04月29日),3,1.31,电力
107,002052,同洲电子,1.17,11.23,5846.31万,975.53万(04月29日),3,18.21,其他电源设备
108,002102,ST能特,-5.16,2.39,708.45万,0(04月29日),3,0.0,化学制药
109,002106,莱宝高科,2.16,10.88,1119.15万,943.71万(04月29日),3,2.26,光学光电子
110,002119,康强电子,1.73,22.38,3687.17万,1568.35万(04月29日),3,7.6,半导体
111,002131,利欧股份,3.67,7.07,5.34亿,3.63亿(04月29日),3,7.61,通用设备
112,002151,北斗星通,4.88,44.05,3288.97万,1975.05万(04月29日),3,10.24,军工电子
113,002158,汉钟精机,5.27,31.97,2885.49万,557.15万(04月29日),3,27.37,通用设备
114,002165,红宝丽,1.5,8.81,3506.15万,3007.60万(04月29日),3,1.38,化学制品
115,002168,*ST惠程,-2.15,4.09,968.81万,629.77万(04月29日),3,-2.62,化学制药
116,002171,楚江新材,2.06,11.87,3785.15万,2271.23万(04月29日),3,3.94,工业金属
117,002173,创新医疗,1.97,24.37,2259.43万,1449.27万(04月29日),3,5.09,医疗服务
118,002194,武汉凡谷,10.04,12.5,2691.91万,2102.57万(04月29日),3,14.57,通信设备
119,002195,岩山科技,3.04,9.14,2.02亿,1.34亿(04月29日),3,4.22,IT服务
120,002196,方正电机,2.89,14.6,2281.04万,1894.96万(04月29日),3,6.03,电机
121,002265,建设工业,1.4,23.14,1036.76万,500.67万(04月29日),3,4.42,军工装备
122,002362,汉王科技,1.39,19.01,355.39万,334.10万(04月29日),3,4.22,软件开发
123,002364,中恒电气,3.19,46.3,7268.69万,4093.06万(04月29日),3,16.48,其他电源设备
124,002379,宏桥控股,-4.57,23.6,3475.91万,2151.41万(04月29日),3,-6.57,工业金属
125,002408,齐翔腾达,-6.74,6.09,4213.48万,3435.85万(04月29日),3,-8.97,石油加工贸易
126,002410,广联达,1.79,11.4,4038.48万,2259.10万(04月29日),3,3.45,软件开发
127,002426,胜利精密,4.71,4.0,1.51亿,8815.38万(04月29日),3,7.53,消费电子
128,002431,ST棕榈,-5.05,1.88,361.23万,115.61万(04月29日),3,-14.16,建筑装饰
129,002467,二六三,2.3,7.11,9126.80万,7371.59万(04月29日),3,5.33,通信服务
130,002471,中超控股,-0.35,8.58,1.06亿,8021.67万(04月29日),3,2.39,电网设备
131,002472,双环传动,2.01,40.61,2187.73万,1000.35万(04月29日),3,6.03,汽车零部件
132,002479,富春环保,2.33,5.72,1757.48万,1423.78万(04月29日),3,4.0,电力
133,002489,浙江永强,3.81,3.54,5158.53万,2047.42万(04月29日),3,5.99,家居用品
134,002519,银河电子,1.57,8.42,7217.82万,3775.36万(04月29日),3,6.85,军工电子
135,002545,东方铁塔,5.05,25.39,2853.05万,2550.92万(04月29日),3,3.0,农化制品
136,002565,顺灏股份,3.44,19.86,1.69亿,1.41亿(04月29日),3,7.24,包装印刷
137,002579,中京电子,4.41,13.25,6237.43万,3090.56万(04月29日),3,7.2,元件
138,002585,双星新材,-2.33,7.97,5867.16万,4557.64万(04月29日),3,2.44,塑料制品
139,002600,领益智造,2.9,14.53,1.09亿,7446.01万(04月29日),3,3.56,消费电子
140,002611,东方精工,3.71,18.19,2997.97万,2425.95万(04月29日),3,8.47,专用设备
141,002625,光启技术,4.07,41.7,3849.82万,2626.44万(04月29日),3,7.39,军工装备
142,002632,道明光学,3.46,11.66,1063.39万,703.67万(04月29日),3,4.2,塑料制品
143,002637,赞宇科技,-4.73,12.09,2624.56万,1669.40万(04月29日),3,-5.1,化学制品
144,002664,信质集团,10.03,22.39,706.85万,438.65万(04月29日),3,12.85,汽车零部件
145,002676,顺威股份,4.55,7.81,3263.45万,1333.66万(04月29日),3,9.85,白色家电
146,002698,博实股份,10.02,15.16,2307.57万,699.09万(04月29日),3,18.07,自动化设备
147,002708,光洋股份,3.26,13.95,1562.59万,1316.38万(04月29日),3,5.92,汽车零部件
148,002792,通宇通讯,7.12,51.45,4376.54万,2412.44万(04月29日),3,20.77,通信设备
149,002799,环球印务,-0.12,8.68,523.18万,426.49万(04月29日),3,1.88,包装印刷
150,002800,天顺股份,-0.23,17.13,620.13万,372.84万(04月29日),3,-2.84,物流
151,002803,吉宏股份,7.92,21.4,2149.30万,1339.96万(04月29日),3,9.24,互联网电商
152,002816,*ST和科,5.02,23.85,393.60万,179.98万(04月29日),3,-0.33,专用设备
153,002827,高争民爆,3.16,31.33,400.34万,264.32万(04月29日),3,2.29,化学制品
154,002831,裕同科技,4.08,39.08,1625.64万,998.30万(04月29日),3,1.19,包装印刷
155,002849,威星智能,0.58,17.3,764.02万,497.56万(04月29日),3,0.82,通用设备
156,002856,*ST美芝,-4.98,13.75,981.80万,0(04月29日),3,0.0,建筑装饰
157,002880,卫光生物,-0.59,25.45,163.30万,103.21万(04月29日),3,-1.13,生物制品
158,002881,美格智能,2.29,40.72,508.52万,277.21万(04月29日),3,4.89,通信设备
159,002892,科力尔,1.44,10.6,884.19万,573.64万(04月29日),3,2.91,电机
160,002921,联诚精密,2.43,31.2,801.81万,758.08万(04月29日),3,5.3,汽车零部件
161,002928,华夏航空,4.28,8.28,3472.58万,1909.66万(04月29日),3,3.24,机场航运
162,002986,宇新股份,-7.24,13.45,1218.88万,789.30万(04月29日),3,-10.15,石油加工贸易
163,002988,豪美新材,2.78,35.13,444.13万,319.86万(04月29日),3,1.94,工业金属
164,002989,中天精装,0.03,32.14,1052.44万,565.12万(04月29日),3,21.05,建筑装饰
251,600080,ST金花,-4.97,6.88,29.53万,0(04月29日),3,0.0,中药
252,600115,中国东航,2.49,4.53,2.60亿,1.18亿(04月29日),3,3.9,机场航运
253,600161,天坛生物,-0.35,14.14,974.50万,550.54万(04月29日),3,-2.15,生物制品
254,600207,安彩高科,10.07,6.23,2111.83万,1783.44万(04月29日),3,9.11,光伏设备
255,600226,亨通股份,2.87,5.73,9209.80万,5087.50万(04月29日),3,9.14,电力
256,600228,*ST返利,2.93,6.33,755.90万,496.31万(04月29日),3,4.46,文化传媒
257,600241,时代万恒,-0.31,9.77,881.07万,619.49万(04月29日),3,0.83,电池
258,600301,华锡有色,7.63,59.82,1999.01万,1170.23万(04月29日),3,19.71,小金属
259,600313,农发种业,-1.69,6.98,3458.73万,3189.16万(04月29日),3,-2.79,种植业与林业
260,600352,浙江龙盛,-2.91,12.66,5846.45万,4044.14万(04月29日),3,-4.67,化学制品
261,600468,百利电气,2.61,7.85,3058.20万,2473.87万(04月29日),3,3.84,电网设备
262,600480,凌云股份,2.43,10.55,3298.39万,1924.38万(04月29日),3,4.35,汽车零部件
263,600486,扬农化工,-3.5,68.92,736.51万,426.65万(04月29日),3,-6.89,农化制品
264,600509,天富能源,2.53,8.52,3898.48万,2150.81万(04月29日),3,5.84,电力
265,600522,中天科技,10.0,38.38,2.34亿,1.78亿(04月29日),3,11.96,通信设备
266,600580,卧龙电驱,2.65,39.53,3544.29万,2328.53万(04月29日),3,5.5,电机
267,600588,用友网络,2.52,12.2,5807.40万,2882.29万(04月29日),3,2.78,软件开发
268,600589,大位科技,2.62,11.37,2.35亿,7736.81万(04月29日),3,16.86,IT服务
269,600629,华建集团,3.29,22.01,3678.93万,1454.55万(04月29日),3,9.94,建筑装饰
270,600642,申能股份,2.95,9.42,3326.46万,1618.32万(04月29日),3,3.52,电力
271,600678,ST金顶,-4.97,9.37,21.32万,0(04月29日),3,0.0,建筑材料
272,600698,湖南天雁,0.68,7.42,1034.74万,655.08万(04月29日),3,2.2,汽车零部件
273,600734,*ST实达,-4.72,2.02,7286.59万,0(04月29日),3,0.0,IT服务
274,600756,浪潮软件,1.56,16.88,1014.17万,707.37万(04月29日),3,3.88,IT服务
275,600780,通宝能源,1.86,7.1,2785.52万,1961.09万(04月29日),3,2.6,电力
276,600828,茂业商业,-1.19,4.99,2093.33万,1234.61万(04月29日),3,-0.6,零售
277,600835,上海机电,2.71,24.99,1146.62万,828.88万(04月29日),3,4.82,专用设备
278,600839,四川长虹,-0.56,8.84,8954.07万,5295.18万(04月29日),3,1.96,黑色家电
279,600855,航天长峰,-0.74,18.68,1555.86万,1128.85万(04月29日),3,1.74,军工电子
280,600926,杭州银行,-1.45,16.94,3213.71万,2572.76万(04月29日),3,-2.64,银行
281,600929,雪天盐业,-1.02,6.79,2531.63万,2065.09万(04月29日),3,-2.86,化学原料
282,600935,华塑股份,-2.24,2.62,3054.96万,2678.01万(04月29日),3,-2.24,化学原料
283,600984,建设机械,1.42,4.28,3008.42万,2043.80万(04月29日),3,5.68,工程机械
284,601022,宁波远洋,1.15,8.83,585.29万,535.77万(04月29日),3,1.15,港口航运
285,601108,财通证券,2.28,8.52,5933.61万,4466.04万(04月29日),3,3.65,证券
286,601111,中国国航,2.63,7.02,1.06亿,4911.37万(04月29日),3,4.46,机场航运
287,601360,三六零,2.27,11.71,1.35亿,6935.68万(04月29日),3,6.84,软件开发
288,601568,北元集团,-1.3,3.8,3606.26万,1772.42万(04月29日),3,-4.52,化学原料
289,601618,中国中冶,0.68,2.97,1.00亿,7082.16万(04月29日),3,0.34,建筑装饰
290,601636,旗滨集团,3.58,6.65,8972.84万,8347.18万(04月29日),3,2.15,建筑材料
291,601702,华峰铝业,3.19,19.09,966.76万,537.96万(04月29日),3,1.54,工业金属
292,601916,浙商银行,1.34,3.02,1.05亿,4837.15万(04月29日),3,2.03,银行
293,603001,奥康国际,3.42,9.36,1689.69万,887.42万(04月29日),3,10.38,服装家纺
294,603009,北特科技,8.18,49.2,824.70万,491.41万(04月29日),3,8.23,汽车零部件
295,603020,爱普股份,2.92,11.27,512.21万,307.18万(04月29日),3,3.68,化学制品
296,603032,德新科技,2.24,24.18,1661.62万,1281.97万(04月29日),3,4.77,电池
297,603035,常熟汽饰,0.0,13.46,483.18万,341.88万(04月29日),3,-1.82,汽车零部件
298,603042,华脉科技,6.18,21.31,1007.78万,836.64万(04月29日),3,7.3,通信设备
299,603052,可川科技,0.98,85.69,651.98万,485.85万(04月29日),3,-0.6,消费电子
300,603063,禾望电气,5.14,50.75,3996.71万,2956.32万(04月29日),3,20.46,风电设备
301,603078,江化微,4.15,27.34,3533.66万,1901.08万(04月29日),3,13.3,电子化学品
302,603119,浙江荣泰,5.16,88.42,2768.34万,905.84万(04月29日),3,17.88,汽车零部件
303,603163,圣晖集成,2.85,103.88,299.63万,174.63万(04月29日),3,3.72,建筑装饰
304,603166,福达股份,3.43,14.18,714.21万,422.86万(04月29日),3,5.82,汽车零部件
305,603281,江瀚新材,7.75,37.4,319.72万,153.74万(04月29日),3,8.78,化学制品
306,603299,苏盐井神,-2.33,10.5,1000.66万,637.32万(04月29日),3,-4.63,化学原料
307,603392,万泰生物,2.08,40.67,415.18万,334.25万(04月29日),3,4.1,医疗器械
308,603416,信捷电气,5.93,58.72,364.53万,136.72万(04月29日),3,12.1,自动化设备
309,603638,艾迪精密,4.99,24.83,1149.61万,735.63万(04月29日),3,9.34,工程机械
310,603662,柯力传感,3.19,58.95,469.25万,297.05万(04月29日),3,6.37,通用设备
311,603728,鸣志电器,2.18,61.34,704.87万,489.16万(04月29日),3,4.94,电机
312,603729,ST龙韵,-5.02,14.77,11.49万,0(04月29日),3,0.0,文化传媒
313,603815,交建股份,4.32,7.72,3307.54万,2854.85万(04月29日),3,9.82,建筑装饰
314,603825,ST华扬,-0.93,8.53,278.31万,218.13万(04月29日),3,-3.51,文化传媒
315,603868,飞科电器,-0.65,35.27,280.05万,216.75万(04月29日),3,4.35,小家电
316,603878,武进不锈,-2.51,7.77,1368.21万,1035.78万(04月29日),3,-3.96,钢铁
317,603922,ST金鸿顺,-5.02,17.96,39.00万,0(04月29日),3,0.0,汽车零部件
318,603939,益丰药房,-2.53,22.31,1102.87万,823.38万(04月29日),3,-4.78,医药商业
319,605056,咸亨国际,1.75,26.1,864.39万,733.36万(04月29日),3,2.03,通用设备
320,605077,华康股份,2.94,18.23,1784.85万,1434.72万(04月29日),3,6.73,化学制品
321,605100,华丰股份,0.81,49.47,288.09万,255.22万(04月29日),3,1.31,通用设备
322,605399,晨光新材,0.07,14.37,581.98万,369.28万(04月29日),3,-2.58,化学制品
323,605488,福莱新材,5.04,35.84,827.81万,416.73万(04月29日),3,8.77,塑料制品
324,605555,德昌股份,2.46,15.83,674.40万,333.21万(04月29日),3,3.8,小家电
