序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
1,920200,N振宏,356.851318359375,94.02,,1225350448,2277070380.0,9548671200.0,94.22486114501953,1,2026-05-07,2026-05-07,否,0/0,风电设备
2,301599,C理奇,1.453405499458313,71.2,,2041291984,3894678163.2000003,30729920000.0,53.84758758544922,3,2026-04-30,2026-04-30,否,0/0,自动化设
3,920186,中科仪,12.01298713684082,86.25,100.1,2179163504,8239503727.5,19306122375.0,28.310455322265625,4,2026-04-29,2026-04-29,否,0/0,通用设备
4,920156,海昌智能,0.31261491775512695,54.55,70.69,360992224,1184171400.0,5679746000.0,30.76111602783203,6,2026-04-27,2026-04-27,否,0/0,自动化设
5,688808,联讯仪器,11.001964569091797,1130.0,1221.6,5157546240,21804642720.0,116013333710.0,25.061691284179688,7,2026-04-24,2026-04-24,否,0/0,通用设备
6,920125,鸿仕达,-0.9900990128517151,100.0,131.3,434065568,1648153900.0,5616000000.0,26.656824111938477,7,2026-04-24,2026-04-24,否,4/2,自动化设
7,001312,福恩股份,0.7956448793411255,24.07,26.27,194297532,1375847674.83,5616333349.38,14.154192924499512,10,2026-04-21,2026-04-21,否,0/0,纺织制造
8,688820,盛合晶微,11.111111640930176,119.0,128.52,6094705664,20575414517.0,221670117424.0,30.549821853637695,10,2026-04-21,2026-04-21,否,0/0,半导体
9,920191,瑞尔竞达,2.334630250930786,13.15,16.7,107385240,524882250.0,2332749510.0,20.70366859436035,11,2026-04-20,2026-04-20,否,0/0,装修建材
10,301513,尚水智能,3.474586009979248,88.15,102.23,367697296,1776133380.3500001,8815000000.0,20.875911712646484,12,2026-04-17,2026-04-17,否,0/0,电池
11,301666,大普微-UW,14.0580472946167,432.28,454.8,4069553536,11462484752.039999,188567611559.03998,37.949771881103516,13,2026-04-16,2026-04-16,否,0/0,计算机设
12,603293,埃泰克,1.0931094884872437,51.79,56.35,244426024,1817648304.69,9275105177.82,13.568496704101562,13,2026-04-16,2026-04-16,否,0/0,汽车零部
13,920177,恒道科技,2.242936134338379,35.1,44.62,92168978,413197200.0,1836432000.0,22.465179443359375,13,2026-04-16,2026-04-16,否,0/0,通用设备
14,920012,创达新材,4.068589210510254,66.76,83.39,309982624,885816208.9200001,3292428288.8,35.71158218383789,16,2026-04-13,2026-04-13,否,0/0,电子化学
15,301696,三瑞智能,16.783432006835938,113.35,116.47,1289971952,3409948175.8999996,45341133500.0,41.10200881958008,17,2026-04-10,2026-04-10,否,0/0,航空装备
16,688811,有研复材,6.69472074508667,27.89,31.37,952653488,2569396845.33,13991676704.0,37.45620346069336,17,2026-04-10,2026-04-10,否,0/0,金属新材
17,920181,赛英电子,0.5852766036987305,109.99,142.15,402614416,1102099800.0,4751568000.0,38.08708572387695,17,2026-04-10,2026-04-10,否,2/1,半导体
18,603459,红板科技,10.002985954284668,73.68,73.68,2300142800,5824540897.440001,55536564069.12,42.15752029418945,19,2026-04-08,2026-04-08,否,1/1,元件
19,920011,晨光电机,2.0907297134399414,25.88,32.95,78008303,481368025.88,2139413341.9599998,16.175617218017578,19,2026-04-08,2026-04-08,否,0/0,电机Ⅱ
