序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,301599,理奇智能,71.2,411.86%,197.64%,1.74亿
2,688069,德林海,56.16,54.92%,19.82%,-2.29亿
3,301666,大普微,432.28,46.04%,106.52%,-2.96亿
4,688371,菲沃泰,31.0,40.27%,14.43%,2.45亿
5,688699,明微电子,64.14,38.86%,31.29%,-1.14亿
6,300571,平治信息,57.58,35.48%,82.88%,1.72亿
7,688800,瑞可达,124.91,35.15%,32.05%,8.30亿
8,688400,凌云光,66.69,34.92%,24.82%,1.52亿
9,688813,泰金新能,116.0,34.15%,83.78%,-7032.68万
10,2081,金螳螂,7.14,33.21%,48.71%,1.15亿
11,603045,福达合金,56.49,33.11%,9.93%,-4.67亿
12,66,中国长城,23.98,33.07%,30.39%,18.08亿
13,300209,行云科技,22.62,32.82%,61.61%,3.47亿
14,688256,寒武纪,1868.0,31.86%,11.54%,27.31亿
15,2990,盛视科技,64.25,31.28%,35.03%,-1.78亿
16,2929,润建股份,71.12,31.10%,30.81%,4.14亿
17,688811,有研复材,27.89,29.78%,110.88%,1.01亿
18,600673,东阳光,42.83,29.24%,4.23%,-7.29亿
19,688313,仕佳光子,169.22,29.02%,27.04%,15.45亿
20,300042,朗科科技,66.3,28.99%,78.31%,-7.54亿
21,301511,德福科技,92.74,28.81%,39.39%,2.87亿
22,688820,盛合晶微,119.0,28.65%,103.66%,7926.70万
23,688593,新相微,39.94,28.51%,15.37%,1.18亿
24,301171,易点天下,43.0,28.47%,33.43%,4.30亿
25,603399,永杉锂业,22.58,28.08%,35.53%,-5.13亿
26,2158,汉钟精机,31.97,27.37%,15.04%,1.56亿
27,688531,日联科技,128.0,27.36%,53.41%,9496.03万
28,2149,西部材料,73.47,27.24%,53.11%,-8.26亿
29,301319,唯特偶,88.16,27.20%,23.05%,1.54亿
30,1316,润贝航科,59.97,27.11%,16.21%,436.89万
31,300769,德方纳米,80.75,26.73%,82.02%,1.27亿
32,688258,卓易信息,150.4,26.60%,20.31%,-2.48亿
33,300161,华中数控,39.14,26.42%,33.08%,3.23亿
34,300885,海昌新材,30.13,26.23%,54.44%,-883.03万
35,688347,华虹公司,165.92,25.54%,26.92%,15.94亿
36,300807,天迈科技,67.22,25.41%,18.21%,-2.81亿
37,301373,凌玮科技,139.95,25.32%,47.14%,1.32亿
38,300165,天瑞仪器,8.62,25.29%,52.16%,-6451.42万
39,300672,国科微,201.0,25.16%,25.29%,12.86亿
40,2453,华软科技,6.38,25.10%,28.47%,487.55万
41,2181,粤传媒,18.72,24.88%,36.11%,9624.23万
42,300553,集智股份,53.3,24.71%,22.30%,1.34亿
