序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
2,605389,长龄液压,126.78,129.0,70.85,13,78.54,26.56,工程机械
3,000338,潍柴动力,35.0,35.85,26.15,10,32.78,25.78,汽车零部件
4,002655,共达电声,35.81,35.81,22.45,10,57.82,136.68,消费电子
6,000066,中国长城,23.98,23.98,15.28,9,55.61,81.23,计算机设备
7,000813,德展健康,3.76,3.8,3.27,9,13.94,17.54,化学制药
8,000609,*ST中迪,15.9,15.9,11.3,8,47.77,30.94,房地产
9,002205,国统股份,13.66,13.79,12.32,8,9.37,15.07,建筑材料
10,600790,轻纺城,4.69,4.79,3.73,8,25.74,22.84,零售
11,603399,永杉锂业,22.58,23.46,12.79,8,69.14,96.76,能源金属
12,603848,好太太,16.58,16.69,15.12,8,8.22,4.79,家居用品
13,603998,方盛制药,11.03,11.15,10.28,8,6.36,17.09,中药
15,000607,华媒控股,4.17,4.2,3.8,7,6.65,12.06,文化传媒
16,000766,通化金马,25.75,27.14,22.48,7,12.15,20.1,化学制药
17,001211,双枪科技,43.69,45.03,30.25,7,39.1,87.33,家居用品
18,001259,利仁科技,36.41,37.93,30.82,7,16.18,35.42,小家电
19,001339,智微智能,100.8,101.81,73.01,7,37.33,102.25,计算机设备
20,001373,翔腾新材,38.98,39.72,33.8,7,12.59,38.42,光学光电子
21,001387,雪祺电气,14.33,14.45,12.96,7,9.06,22.08,白色家电
22,002208,合肥城建,14.64,14.97,12.31,7,17.03,32.03,房地产
23,002453,华软科技,6.38,6.77,4.7,7,32.09,42.26,化学制品
24,002513,蓝丰生化,6.55,6.69,5.94,7,8.8,23.55,光伏设备
25,002524,光正眼科,4.47,4.52,4.0,7,10.37,25.09,医疗服务
26,002577,雷柏科技,17.8,18.65,15.09,7,16.19,11.23,计算机设备
27,002676,顺威股份,7.81,7.85,6.47,7,16.74,24.25,白色家电
51,600506,统一股份,18.25,22.97,17.26,7,15.74,30.19,石油加工贸易
52,600558,大西洋,5.81,5.9,5.16,7,10.04,18.07,通用设备
53,600708,光明地产,3.84,3.9,3.23,7,17.43,14.09,房地产
54,600719,大连热电,9.38,9.38,7.17,7,27.45,57.67,电力
55,603389,*ST亚振,66.55,67.99,51.2,7,31.0,6.7,家居用品
56,603638,艾迪精密,24.83,25.36,22.03,7,11.45,8.01,工程机械
57,603768,常青股份,12.04,12.19,10.74,7,10.36,14.09,汽车零部件
58,603879,永悦科技,6.03,6.1,5.42,7,8.84,21.44,塑料制品
59,603880,南卫股份,7.71,7.79,6.26,7,22.38,23.89,医疗器械
60,605151,西上海,22.44,22.87,19.3,7,14.55,21.11,汽车零部件
73,000692,惠天热电,5.15,5.35,4.28,6,19.21,36.25,电力
74,001266,宏英智能,44.0,45.55,31.15,6,38.15,80.11,自动化设备
75,002135,东南网架,9.35,9.43,7.2,6,28.43,35.81,建筑装饰
76,002153,石基信息,10.33,10.35,9.32,6,9.08,12.33,软件开发
77,002154,报喜鸟,4.4,4.49,3.88,6,21.21,47.49,服装家纺
78,002181,粤传媒,18.72,19.77,12.92,6,43.56,62.93,文化传媒
79,002235,安妮股份,12.04,12.5,9.2,6,27.68,81.14,造纸
80,002289,*ST宇顺,40.31,40.31,30.71,6,34.01,2.74,通信服务
81,002316,亚联发展,5.63,5.74,5.03,6,10.39,32.35,通信服务
82,002488,金固股份,12.78,12.98,11.76,6,11.81,18.68,汽车零部件
83,002584,西陇科学,8.18,8.2,7.66,6,5.68,23.41,电子化学品
84,002587,奥拓电子,7.16,7.19,6.48,6,14.74,40.92,光学光电子
85,002682,龙洲股份,6.08,6.15,5.51,6,6.48,19.61,物流
86,002721,金一文化,3.11,3.2,2.75,6,10.28,11.34,服装家纺
87,002745,木林森,9.85,9.98,8.76,6,11.8,34.51,光学光电子
88,002760,凤形股份,23.22,23.44,21.36,6,5.26,26.02,通用设备
89,002830,名雕股份,23.52,23.6,20.56,6,12.32,36.2,建筑装饰
90,002903,宇环数控,45.22,45.22,30.68,6,44.7,65.31,通用设备
91,002913,奥士康,55.88,56.09,47.0,6,13.76,19.49,元件
112,600234,科新发展,26.01,26.92,22.77,6,13.83,19.55,建筑装饰
113,600449,宁夏建材,13.22,13.43,12.56,6,4.67,6.98,建筑材料
114,600999,招商证券,16.02,16.1,15.36,6,4.23,4.59,证券
115,601033,永兴股份,15.77,15.85,14.73,6,6.27,14.98,环境治理
116,601126,四方股份,60.6,61.66,49.91,6,21.32,23.14,电网设备
117,601519,大智慧,10.98,11.15,9.96,6,9.25,10.1,软件开发
118,603031,安孚科技,46.63,59.48,39.53,6,23.66,36.47,电池
119,603072,天和磁材,38.15,38.24,35.07,6,7.1,15.85,金属新材料
120,603116,红蜻蜓,7.31,7.5,5.65,6,28.47,21.46,服装家纺
121,603303,得邦照明,18.42,18.93,15.75,6,16.73,4.75,光学光电子
122,603373,安邦护卫,39.95,40.08,37.8,6,4.8,13.13,其他社会服务
123,603616,韩建河山,6.49,6.66,5.69,6,10.56,34.95,建筑材料
124,603679,华体科技,15.51,15.65,13.48,6,13.88,20.44,光学光电子
125,603681,永冠新材,18.6,18.75,17.04,6,6.96,22.11,化学制品
126,603777,来伊份,18.86,19.34,14.9,6,24.9,32.52,食品加工制造
127,603926,铁流股份,22.35,22.73,18.85,6,17.51,27.9,汽车零部件
128,603986,兆易创新,350.16,357.36,297.0,6,17.62,39.51,半导体
129,605099,共创草坪,50.89,51.88,38.0,6,31.53,10.9,家居用品
141,000510,新金路,16.63,16.77,12.71,5,27.14,43.47,化学原料
142,000582,北部湾港,12.43,12.73,10.9,5,14.67,12.61,港口航运
143,000680,山推股份,12.5,12.73,11.36,5,9.36,10.66,工程机械
144,000711,ST京蓝,5.43,5.43,4.44,5,24.26,18.02,环境治理
145,000922,佳电股份,15.45,15.58,14.31,5,10.91,14.92,电机
146,001210,金房能源,22.56,22.96,19.99,5,11.79,23.74,电力
147,001309,德明利,616.51,633.0,485.5,5,26.3,51.66,半导体
148,001331,胜通能源,46.85,47.88,41.82,5,5.09,13.47,燃气
149,002079,苏州固锝,12.11,12.39,10.49,5,14.79,46.43,光伏设备
150,002081,金螳螂,7.14,7.14,4.4,5,61.17,78.42,建筑装饰
151,002100,天康生物,8.01,8.12,7.41,5,6.8,14.24,农产品加工
152,002342,巨力索具,22.12,22.12,17.77,5,20.09,113.09,通用设备
153,002375,亚厦股份,4.35,4.37,4.08,5,7.67,8.22,建筑装饰
154,002416,爱施德,14.13,14.16,13.28,5,7.45,13.13,零售
155,002761,浙江建投,8.84,9.28,7.94,5,11.19,10.41,建筑装饰
