序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
95,000651,格力电器,39.89,40.86,39.51,3,-1.43,3.29,白色家电
96,000683,博源化工,8.77,9.29,8.68,3,-3.63,4.1,化学原料
97,000707,双环科技,5.84,6.07,5.84,3,-2.83,8.48,化学原料
98,000713,国投丰乐,6.4,6.57,6.37,3,-4.19,5.66,种植业与林业
99,000715,中兴商业,5.84,6.29,5.8,3,-6.41,21.09,零售
100,000721,西安饮食,7.43,7.67,7.41,3,-2.62,4.13,旅游及酒店
101,000731,四川美丰,6.9,7.43,6.89,3,-5.35,9.08,农化制品
102,000761,本钢板材,2.84,3.05,2.83,3,-6.27,1.48,钢铁
103,000776,广发证券,21.17,21.73,20.82,3,-0.52,3.64,证券
104,000793,*ST华闻,2.64,2.77,2.63,3,-4.0,4.14,文化传媒
105,000800,一汽解放,6.59,7.05,6.57,3,-6.26,1.55,汽车整车
106,000822,山东海化,5.54,6.14,5.53,3,-9.18,11.87,化学原料
107,000828,东莞控股,10.32,10.44,10.28,3,-0.96,1.4,公路铁路运输
108,000860,顺鑫农业,12.44,12.82,12.43,3,-2.43,2.74,白酒
109,000913,钱江摩托,13.44,13.65,13.35,3,-1.39,3.74,汽车服务及其他
110,000985,大庆华科,19.75,20.55,19.7,3,-2.66,4.21,石油加工贸易
111,001217,华尔泰,11.79,12.17,11.75,3,-2.72,4.19,化学原料
112,001333,光华股份,23.43,24.08,23.0,3,-1.88,14.74,塑料制品
113,001390,古麒绒材,20.83,21.51,20.72,3,-2.48,10.12,纺织制造
114,002004,华邦健康,4.84,5.13,4.81,3,-2.81,5.99,化学制药
115,002033,丽江股份,9.22,9.73,9.12,3,-5.24,20.55,旅游及酒店
116,002037,保利联合,8.49,8.85,8.44,3,-1.96,7.19,化学制品
117,002069,獐子岛,3.84,3.93,3.83,3,-1.54,5.15,养殖业
118,002102,ST能特,2.39,2.65,2.39,3,-14.34,1.64,化学制药
119,002142,宁波银行,32.46,33.58,32.36,3,-3.25,1.06,银行
120,002144,宏达高科,13.85,14.4,13.8,3,-3.01,9.73,纺织制造
121,002159,三特索道,16.0,16.91,15.88,3,-5.38,12.3,旅游及酒店
122,002170,芭田股份,13.62,14.18,13.53,3,-3.95,12.75,农化制品
123,002175,*ST东智,2.48,2.75,2.48,3,-14.19,1.9,通用设备
124,002176,江特电机,15.52,16.97,14.94,3,-3.54,50.57,电机
125,002215,诺普信,10.76,11.04,10.66,3,-1.56,7.8,种植业与林业
126,002221,东华能源,7.81,8.4,7.79,3,-5.45,4.71,石油加工贸易
127,002304,洋河股份,48.63,49.83,48.48,3,-2.31,1.21,白酒
128,002312,川发龙蟒,10.82,11.23,10.77,3,-3.31,5.97,农化制品
129,002323,*ST雅博,1.51,1.67,1.51,3,-14.2,0.32,建筑装饰
130,002374,中锐股份,3.14,3.28,3.14,3,-2.79,5.0,包装印刷
131,002379,宏桥控股,23.6,25.17,23.45,3,-6.57,9.42,工业金属
132,002386,天原股份,6.7,7.44,6.57,3,-7.97,20.15,化学原料
133,002408,齐翔腾达,6.09,6.79,6.06,3,-8.97,5.76,石油加工贸易
134,002437,誉衡药业,3.39,3.61,3.37,3,-6.35,12.48,化学制药
135,002462,嘉事堂,13.6,13.99,13.56,3,-2.65,3.16,医药商业
136,002501,*ST利源,1.34,1.48,1.34,3,-14.1,1.42,工业金属
137,002507,涪陵榨菜,12.46,12.7,12.44,3,-1.74,2.73,食品加工制造
138,002511,中顺洁柔,8.32,8.84,8.28,3,-5.67,5.14,美容护理
139,002547,*ST春兴,2.75,3.02,2.73,3,-13.52,18.69,通信设备
140,002581,*ST未名,6.09,6.75,6.09,3,-14.35,0.72,生物制品
141,002594,比亚迪,100.46,105.45,100.01,3,-4.69,4.99,汽车整车
142,002598,ST章鼓,8.01,8.18,7.99,3,-1.72,7.12,通用设备
143,002627,三峡旅游,7.17,7.7,7.11,3,-5.16,12.86,旅游及酒店
144,002629,仁智股份,6.29,6.6,6.21,3,-4.12,13.38,建筑装饰
145,002656,*ST摩登,3.13,3.31,3.11,3,-3.1,6.04,服装家纺
146,002691,*ST冀凯,5.03,5.63,5.02,3,-12.52,21.21,专用设备
147,002705,新宝股份,14.49,16.07,14.43,3,-9.44,11.85,小家电
148,002726,ST龙大,2.58,2.86,2.58,3,-14.29,0.22,食品加工制造
149,002732,燕塘乳业,16.15,16.58,16.12,3,-2.06,4.06,饮料制造
150,002758,浙农股份,9.0,9.42,8.98,3,-3.43,6.56,农化制品
151,002807,江阴银行,4.5,4.65,4.49,3,-2.81,4.92,银行
152,002828,贝肯能源,11.35,11.73,11.11,3,-6.2,28.82,油气开采及服务
153,002839,张家港行,4.5,4.64,4.47,3,-2.81,3.79,银行
154,002848,*ST高斯,15.15,15.82,14.86,3,-3.19,8.32,黑色家电
155,002852,道道全,9.0,9.28,8.93,3,-2.39,7.43,农产品加工
156,002880,卫光生物,25.45,25.88,25.23,3,-1.13,2.03,生物制品
157,002890,弘宇股份,16.81,17.23,16.71,3,-3.11,7.0,专用设备
158,002895,川恒股份,35.88,37.34,35.34,3,-5.83,7.41,农化制品
159,003038,鑫铂股份,14.49,14.8,14.42,3,-1.23,8.78,工业金属
188,600000,浦发银行,9.09,9.37,9.09,3,-3.09,0.72,银行
189,600004,白云机场,8.56,8.84,8.55,3,-4.89,2.64,机场航运
190,600015,华夏银行,6.65,7.13,6.64,3,-8.02,2.84,银行
191,600028,中国石化,5.27,5.43,5.27,3,-2.77,1.07,石油加工贸易
192,600053,*ST九鼎,9.8,10.86,9.8,3,-14.26,3.02,多元金融
193,600054,黄山旅游,11.41,12.05,11.37,3,-4.2,7.01,旅游及酒店
194,600055,万东医疗,14.04,14.91,13.96,3,-6.77,3.12,医疗器械
195,600057,厦门象屿,6.98,7.6,6.93,3,-4.25,6.13,物流
196,600059,古越龙山,8.67,9.02,8.64,3,-3.34,4.29,饮料制造
197,600063,皖维高新,6.76,7.22,6.73,3,-5.72,6.94,化学纤维
198,600079,ST人福,18.61,19.11,18.55,3,-3.12,2.85,化学制药
199,600080,ST金花,6.88,7.62,6.88,3,-14.21,0.45,中药
200,600127,金健米业,6.7,6.85,6.7,3,-2.33,9.41,农产品加工
201,600132,重庆啤酒,53.22,55.73,53.05,3,-5.29,3.9,饮料制造
202,600138,中青旅,8.93,9.07,8.91,3,-1.98,3.75,旅游及酒店
203,600161,天坛生物,14.14,14.39,14.04,3,-2.15,1.45,生物制品
204,600165,ST宁科,3.24,3.43,3.24,3,-6.36,3.28,化学制品
205,600168,武汉控股,5.03,5.13,4.99,3,-1.18,2.61,环境治理
206,600180,*ST瑞茂,2.62,2.91,2.62,3,-14.38,0.09,物流
207,600195,中牧股份,7.34,7.53,7.32,3,-3.29,3.52,养殖业
208,600216,浙江医药,14.21,14.71,14.09,3,-3.33,6.19,化学制药
209,600222,太龙药业,6.76,7.02,6.65,3,-3.84,10.03,中药
210,600227,赤天化,3.93,4.22,3.88,3,-6.65,47.51,农化制品
211,600230,沧州大化,18.03,20.0,17.71,3,-8.89,15.14,化学制品
212,600233,圆通速递,21.35,21.94,21.1,3,-2.69,1.97,物流
213,600239,ST云城,1.74,1.93,1.74,3,-14.29,0.51,零售
214,600252,中恒集团,2.41,2.5,2.4,3,-3.6,3.43,中药
215,600258,首旅酒店,14.84,15.89,14.77,3,-7.42,7.04,旅游及酒店
216,600282,南钢股份,5.35,5.48,5.2,3,-1.29,2.5,钢铁
217,600287,苏豪时尚,5.81,5.98,5.81,3,-2.02,4.1,贸易
218,600289,ST信通,6.13,6.76,6.02,3,-6.13,5.35,通信服务
219,600299,安迪苏,12.62,13.89,12.52,3,-11.75,2.99,化学制品
220,600313,农发种业,6.98,7.16,6.93,3,-2.79,10.24,种植业与林业
221,600323,瀚蓝环境,31.75,32.42,31.34,3,-2.22,2.64,环境治理
222,600331,宏达股份,17.3,18.84,17.13,3,-5.67,11.93,农化制品
223,600338,西藏珠峰,25.62,28.28,24.7,3,-7.21,46.97,工业金属
224,600352,浙江龙盛,12.66,13.6,12.4,3,-4.67,5.2,化学制品
225,600370,*ST三房,2.29,2.54,2.29,3,-14.23,0.1,化学纤维
226,600380,健康元,10.76,11.13,10.75,3,-3.06,2.41,化学制药
227,600389,江山股份,27.44,29.87,27.15,3,-6.44,7.06,农化制品
228,600409,三友化工,7.28,7.99,7.22,3,-7.85,6.08,化学原料
229,600470,六国化工,6.65,7.19,6.56,3,-6.99,20.81,农化制品
230,600479,千金药业,10.75,11.17,10.69,3,-2.89,9.97,中药
231,600518,康美药业,1.69,1.72,1.69,3,-2.31,2.88,中药
232,600525,ST长园,5.03,5.29,5.02,3,-5.27,3.73,电网设备
233,600535,天士力,14.95,15.31,14.92,3,-1.58,2.23,中药
234,600551,时代出版,8.1,8.19,7.97,3,-0.86,2.2,文化传媒
235,600568,ST中珠,2.62,2.72,2.57,3,-3.68,2.71,医疗服务
236,600576,祥源文旅,5.66,6.01,5.65,3,-5.19,9.6,旅游及酒店
