时间,代码,名称,板块,相关信息
13:55:12,002650,ST加加,60日大幅下跌,"-0.045113,7.62000,-0.045113"
13:41:00,002986,宇新股份,60日大幅下跌,"-0.068966,13.50000,-0.068966"
13:39:30,600833,第一医药,60日大幅下跌,"-0.040964,11.94000,-0.040964"
13:36:27,605089,味知香,60日大幅下跌,"-0.040504,25.11000,-0.040504"
13:33:45,002293,罗莱生活,60日大幅下跌,"-0.042727,10.53000,-0.042727"
13:26:09,600379,宝光股份,60日大幅下跌,"-0.070423,17.16000,-0.070423"
13:25:43,301042,安联锐视,60日大幅下跌,"-0.040188,102.22000,-0.040188"
13:24:45,000679,大连友谊,60日大幅下跌,"-0.043601,6.83000,-0.039381"
13:21:42,002430,杭氧股份,60日大幅下跌,"-0.055222,29.95000,-0.054907"
13:20:23,603345,安井食品,60日大幅下跌,"-0.043852,104.66000,-0.043852"
13:18:48,002128,电投能源,60日大幅下跌,"-0.057323,31.42000,-0.057023"
13:17:34,300014,亿纬锂能,60日大幅下跌,"-0.059439,71.05000,-0.059439"
13:15:55,600429,三元股份,60日大幅下跌,"-0.045302,5.69000,-0.045302"
13:15:14,601088,中国神华,60日大幅下跌,"-0.041902,45.73000,-0.041902"
13:11:20,603365,水星家纺,60日大幅下跌,"-0.053201,21.01000,-0.052750"
13:11:05,688275,万润新能,60日大幅下跌,"-0.069235,149.09000,-0.069235"
13:09:15,002327,富安娜,60日大幅下跌,"-0.024291,7.23000,-0.024291"
13:07:48,002408,齐翔腾达,60日大幅下跌,"-0.067381,6.09000,-0.067381"
13:05:55,300037,新宙邦,60日大幅下跌,"-0.055399,67.19000,-0.055259"
13:03:45,000059,华锦股份,60日大幅下跌,"-0.056569,5.17000,-0.056569"
13:03:09,002274,华昌化工,60日大幅下跌,"-0.059970,6.27000,-0.059970"
13:01:05,603906,龙蟠科技,60日大幅下跌,"-0.063095,31.49000,-0.062798"
13:00:12,002382,蓝帆医疗,60日大幅下跌,"-0.055935,6.93000,-0.054570"
10:58:37,600309,万华化学,60日大幅下跌,"-0.053605,84.92000,-0.053605"
10:57:24,000766,通化金马,60日大幅下跌,"-0.059055,23.94000,-0.057480"
10:54:32,600993,马应龙,60日大幅下跌,"-0.022481,25.22000,-0.022481"
10:40:11,601898,中煤能源,60日大幅下跌,"-0.069542,17.27000,-0.069003"
10:35:59,600597,光明乳业,60日大幅下跌,"-0.021448,7.30000,-0.021448"
10:33:54,601666,平煤股份,60日大幅下跌,"-0.051195,8.35000,-0.050057"
10:15:18,000783,长江证券,60日大幅下跌,"-0.055745,8.31000,-0.054608"
09:59:50,600123,兰花科创,60日大幅下跌,"-0.053073,6.79000,-0.051676"
09:59:31,600188,兖矿能源,60日大幅下跌,"-0.068152,21.35000,-0.067278"
09:59:06,002493,荣盛石化,60日大幅下跌,"-0.070073,12.75000,-0.069343"
09:58:39,600971,恒源煤电,60日大幅下跌,"-0.047733,7.98000,-0.047733"
09:58:06,601918,新集能源,60日大幅下跌,"-0.046591,8.41000,-0.044318"
09:56:53,601101,昊华能源,60日大幅下跌,"-0.059372,11.09000,-0.059372"
09:56:53,603101,汇嘉时代,60日大幅下跌,"-0.052431,9.95000,-0.051478"
09:56:02,603026,石大胜华,60日大幅下跌,"-0.075831,111.34000,-0.075249"
09:55:51,603599,广信股份,60日大幅下跌,"-0.062987,13.24000,-0.062987"
09:54:17,601225,陕西煤业,60日大幅下跌,"-0.046332,24.70000,-0.046332"
09:52:04,600426,华鲁恒升,60日大幅下跌,"-0.063780,36.12000,-0.063521"
09:50:27,002798,帝欧水华,60日大幅下跌,"-0.053988,7.71000,-0.053988"
09:48:59,600985,淮北矿业,60日大幅下跌,"-0.048266,14.07000,-0.043508"
09:47:06,000703,恒逸石化,60日大幅下跌,"-0.078442,16.83000,-0.076796"
09:46:03,002648,卫星化学,60日大幅下跌,"-0.070556,27.42000,-0.069878"
09:45:30,601001,晋控煤业,60日大幅下跌,"-0.052277,18.32000,-0.051760"
09:41:38,688237,超卓航科,60日大幅下跌,"-0.036904,53.50000,-0.036904"
09:37:57,688548,广钢气体,60日大幅下跌,"-0.070000,27.90000,-0.070000"
09:25:03,600818,ST中路,60日大幅下跌,"-0.050136,7.01000,-0.050136"
09:25:01,601718,ST际华,60日大幅下跌,"-0.050360,2.64000,-0.050360"
