序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
34,920166,海圣医疗,0.40530580282211304,27.25,35.28,11466315,647588265.75,2051764715.5,1.7644695043563843,49,2026-02-12,2026-02-12,否,0/0,医疗器械
35,688816,易思维,-3.6420722007751465,61.38,76.44,112988260,1183666773.96,6138000000.0,9.506020545959473,50,2026-02-11,2026-02-11,否,0/0,自动化设
36,603284,林平发展,-0.6549757122993469,47.02,52.06,65928627,868619409.0600001,3546003896.0,7.59891414642334,51,2026-02-10,2026-02-10,否,0/0,造纸
37,688818,电科蓝天,1.4042867422103882,68.6,81.18,1442304176,9056320855.4,119152978716.79999,16.056644439697266,51,2026-02-10,2026-02-10,否,0/0,航天装备
38,920180,爱得科技,0.9504412412643433,14.87,19.14,21826971,530405078.38,1756489694.02,4.095078468322754,51,2026-02-10,2026-02-10,否,0/0,医疗器械
39,688712,北芯生命,0.8222490549087524,41.69,49.62,127313799,1547311843.0,17384730000.0,8.322500228881836,54,2026-02-05,2026-02-05,否,0/0,医疗器械
40,001220,世盟股份,0.5548549890518188,39.87,43.62,82464180,901406795.76,3679602300.0,9.226495742797852,56,2026-02-03,2026-02-03,否,0/0,物流
41,920119,美德乐,0.18146882951259613,93.85,121.78,50921401,1780969582.9499998,6768768607.95,2.85683536529541,58,2026-01-30,2026-01-30,否,0/0,自动化设
42,601112,振石股份,-1.6152716875076294,20.1,22.47,244605725,3562723110.6000004,34981363996.8,6.877559661865234,59,2026-01-29,2026-01-29,否,0/0,玻璃玻纤
43,688785,恒运昌,3.4861509799957275,325.05,376.92,367390256,4137127508.25,22006433684.4,8.92568302154541,60,2026-01-28,2026-01-28,否,0/0,其他电源
44,920159,农大科技,-0.07405579090118408,40.48,52.66,57563242,582912000.0,3076480000.0,9.799111366271973,60,2026-01-28,2026-01-28,否,0/0,农化制品
45,920076,国亮新材,1.4768937826156616,21.3,27.28,27099426,420918182.1,1781414658.3,6.457765579223633,64,2026-01-22,2026-01-22,否,0/0,装修建材
46,920050,爱舍伦,1.3790990114212036,33.08,42.41,12086525,598835695.0799999,2238832368.72,2.0111031532287598,65,2026-01-21,2026-01-21,否,0/0,医疗器械
47,920086,科马材料,2.2122364044189453,29.57,37.6,46694142,790834865.0,2474417600.0,5.909214973449707,68,2026-01-16,2026-01-16,否,0/0,汽车零部
48,603352,至信股份,-1.3804527521133423,35.72,39.84,54870981,1586767127.84,8096533345.24,3.459470748901367,69,2026-01-15,2026-01-15,否,0/0,汽车零部
49,603402,陕西旅游,-4.205083847045898,111.17,127.66,203871537,2149286740.78,8597146740.78,9.462542533874512,76,2026-01-06,2026-01-06,否,0/0,旅游及景
50,301687,新广益,-0.3448275923728943,57.8,69.6,128947938,1707141785.0,8488739200.0,7.552390098571777,78,2025-12-31,2025-12-31,否,0/0,塑料
51,920045,蘅东光,-3.4179344177246094,551.02,741.67,553038176,11090674335.699999,37508784378.96,4.955008029937744,78,2025-12-31,2025-12-31,否,0/0,通信设备
52,001369,双欣材料,-1.1053316593170166,15.21,16.92,136873047,3057656991.48,17445870000.0,4.469625473022461,79,2025-12-30,2025-12-30,否,0/0,化学纤维
53,001396,誉帆科技,-1.802557110786438,46.85,52.48,174767394,1040404696.4,5008378189.6,16.697010040283203,79,2025-12-30,2025-12-30,否,2/1,基础建设
54,688809,强一股份,3.8650307655334473,423.25,489.0,874227952,10307411059.25,54835973725.0,8.609322547912598,79,2025-12-30,2025-12-30,否,0/0,半导体
55,920121,江天科技,3.3755273818969727,36.75,46.21,12840015,437041069.5,2428005725.25,2.9687342643737793,82,2025-12-25,2025-12-25,否,0/0,包装印刷
56,688805,健信超导,-3.2210018634796143,51.98,64.45,205508758,1638350290.82,8716006400.0,12.40080738067627,83,2025-12-24,2025-12-24,否,0/0,医疗器械
