序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
1,002808,*ST恒久,2.83,4.8,2.83,11,-40.55,52.64,光学光电子
2,600196,复星医药,24.89,26.87,24.89,11,-7.13,9.41,化学制药
3,002731,ST萃华,4.35,7.22,4.35,10,-39.75,45.95,服装家纺
4,002898,*ST赛隆,8.3,13.56,8.3,10,-38.24,5.32,化学制药
5,000801,四川九洲,12.78,14.57,12.68,8,-11.68,13.35,黑色家电
6,000909,*ST数源,4.66,6.79,4.66,8,-30.24,14.6,房地产
7,002038,双鹭药业,6.49,8.1,6.45,8,-14.72,55.15,化学制药
8,002085,万丰奥威,13.63,14.74,13.6,8,-7.53,9.26,汽车零部件
9,002131,利欧股份,6.45,8.28,6.36,8,-22.38,63.99,通用设备
10,002339,积成电子,9.89,10.74,9.57,8,-8.26,29.52,电网设备
12,601012,隆基绿能,16.46,17.79,15.82,8,-6.74,12.88,光伏设备
13,605162,新中港,11.16,14.6,11.09,8,-20.34,48.57,电力
14,001228,永泰运,30.27,34.98,30.12,7,-12.74,16.05,物流
15,002508,老板电器,17.93,19.55,17.86,7,-8.19,5.98,厨卫电器
16,002550,千红制药,7.0,7.77,6.96,7,-9.44,11.91,化学制药
17,002957,科瑞技术,43.62,50.5,43.1,7,-12.85,45.76,自动化设备
18,600594,益佰制药,4.05,4.96,4.04,7,-15.8,63.86,中药
19,600749,西藏旅游,16.24,21.89,16.16,7,-22.63,72.75,旅游及酒店
20,603588,高能环境,14.58,16.2,14.4,7,-7.65,21.47,环境治理
22,000923,河钢资源,16.8,19.26,16.31,6,-10.97,13.49,钢铁
23,002195,岩山科技,8.61,9.45,8.57,6,-8.21,19.16,IT服务
24,002270,华明装备,24.49,29.26,24.35,6,-12.47,15.07,电网设备
25,002294,信立泰,51.29,57.5,51.02,6,-10.16,6.01,化学制药
26,002824,和胜股份,25.09,28.8,24.73,6,-12.88,51.2,工业金属
37,600410,华胜天成,21.92,28.94,21.68,6,-23.7,75.87,IT服务
