股票代码,股票名称,变动日期,变动人,变动股数,成交均价,变动后持股数,与董监高关系,董监高职务
SZ002126,银轮股份,2026-04-16,陈敏,-40000,49.48,821000.0,本人,董秘
SH603588,高能环境,2026-04-16,李卫国,-5077400,15.2,233685089.0,本人,董事
SZ002126,银轮股份,2026-04-15,陈敏,-15000,50.13,861000.0,本人,董秘
SZ001316,润贝航科,2026-04-15,刘俊锋,-430900,45.25,5897300.0,本人,董事
SH605305,中际联合,2026-04-15,马东升,-686200,42.87,3301021.0,本人,董事、高级管理人员
SH605305,中际联合,2026-04-15,王喜军(XIJUN EUGENE),-369000,42.87,2475804.0,本人,董事、高级管理人员
SH603588,高能环境,2026-04-15,李卫国,-4954960,15.34,238762489.0,本人,董事
SH603061,金海通,2026-04-15,龙波,2404866,0.0,7749012.0,本人,董事、高级管理人员
SH603061,金海通,2026-04-15,崔学峰,3830009,0.0,12341141.0,本人,董事、高级管理人员
SH603050,科林电气,2026-04-15,陈贺,-40000,20.01,650585.0,本人,董事
SH603730,岱美股份,2026-04-14,肖传龙,-360000,9.03,1126569.0,本人,高级管理人员
SH603588,高能环境,2026-04-14,李卫国,-3376400,15.94,243717449.0,本人,董事
SH603051,鹿山新材,2026-04-14,汪加胜,-4628100,21.2,43241401.0,本人,董事
SH600562,国睿科技,2026-04-14,孙红兵,11800,27.62,11800.0,本人,董事
SH600255,鑫科材料,2026-04-14,王生,-525000,3.64,1575000.0,本人,董事、高级管理人员
SZ000710,贝瑞基因,2026-04-13,高扬,-98100,10.21,20281400.0,本人,董事、高管
SZ000036,华联控股,2026-04-13,苏秦,-17500,5.07,457500.0,本人,高管
SZ000036,华联控股,2026-04-13,孔庆富,-126600,5.03,379900.0,本人,董秘、高管
SH603588,高能环境,2026-04-13,李卫国,-1620800,15.98,247093849.0,本人,董事
SH601872,招商轮船,2026-04-13,徐晖,-60000,18.17,487890.0,本人,高级管理人员
SZ001313,粤海饲料,2026-04-10,郑石轩,-200500,7.84,863400.0,本人,董事、高管
SZ000710,贝瑞基因,2026-04-10,高扬,-97000,10.41,20379500.0,本人,董事、高管
SZ000036,华联控股,2026-04-10,苏秦,-80000,4.89,475000.0,本人,高管
SH603681,永冠新材,2026-04-10,吕新民,423300,17.59,62761420.0,本人,董事
SH603283,赛腾股份,2026-04-10,孙丰,-540000,46.59,50813138.0,本人,董事、高级管理人员
SH603283,赛腾股份,2026-04-10,孙丰,-480000,41.72,50333138.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-04-10,涂自群,-26300,17.02,947720.0,本人,高级管理人员
SH603197,保隆科技,2026-04-10,王胜全,60000,18.68,978790.0,本人,董事、高级管理人员
SH603197,保隆科技,2026-04-10,文剑峰,50000,18.68,670701.0,本人,高级管理人员
SH601601,中国太保,2026-04-10,张毓华,12800,38.96,12800.0,本人,高级管理人员
SH600410,华胜天成,2026-04-10,申龙哲,-40300,27.48,1310000.0,本人,董事
SH600400,红豆股份,2026-04-10,周海江,-3413700,2.06,35742991.0,本人,董事
SZ002952,亚世光电,2026-04-09,林雪峰,-90300,26.97,18879900.0,本人,董事
SZ002832,比音勒芬,2026-04-09,申金冬,110000,17.42,15801000.0,本人,董事
SZ001209,洪兴股份,2026-04-09,柯国民,-20000,20.33,16887400.0,本人,董事
SZ000710,贝瑞基因,2026-04-09,高扬,-906500,10.36,20476500.0,本人,董事、高管
SZ000058,深赛格,2026-04-09,周喜钦,100,8.09,100.0,本人,高管
SH603730,岱美股份,2026-04-09,肖传龙,-10000,9.39,1486569.0,本人,高级管理人员
SH603681,永冠新材,2026-04-09,吕新民,465400,17.39,62338120.0,本人,董事
SH603283,赛腾股份,2026-04-09,孙丰,-808140,46.56,52453138.0,本人,董事、高级管理人员
SH603283,赛腾股份,2026-04-09,孙丰,-1100000,41.02,51353138.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-04-09,涂自群,-47000,16.74,974020.0,本人,高级管理人员
SH601633,长城汽车,2026-04-09,赵国庆,159606,13.61,1434606.0,本人,董事
SH601633,长城汽车,2026-04-09,穆峰,106404,13.61,1967304.0,本人,高级管理人员
SH601633,长城汽车,2026-04-09,李红栓,127685,13.61,531440.0,本人,董事
SH601633,长城汽车,2026-04-09,卢彩娟,8512,13.61,34557.0,本人,董事
SH600400,红豆股份,2026-04-09,周海江,-4586300,2.06,39156691.0,本人,董事
SZ002952,亚世光电,2026-04-08,林雪峰,-14100,26.8,18970200.0,本人,董事
SZ002832,比音勒芬,2026-04-08,申金冬,200000,17.27,15691000.0,本人,董事
SZ002382,蓝帆医疗,2026-04-08,张永臣,10000,8.04,45300.0,本人,高管
SZ002115,三维通信,2026-04-08,李越伦,-700000,12.32,76912700.0,本人,董事、高管
SZ002104,恒宝股份,2026-04-08,钱京,-3160000,15.69,127139100.0,本人,董事、高管
SZ000681,视觉中国,2026-04-08,柴继军,-888300,20.67,26095500.0,本人,董事、高管
SH605136,丽人丽妆,2026-04-08,叶茂,20000,10.36,30000.0,本人,董事
SH603681,永冠新材,2026-04-08,吕新民,350000,17.38,61872720.0,本人,董事
SH603283,赛腾股份,2026-04-08,孙丰,-655000,39.0,53261278.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-04-08,骆俊彬,-29700,16.17,684596.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-04-08,郎一丁,-64600,16.17,9879334.0,本人,董事、高级管理人员
SH600765,中航重机,2026-04-08,宋贵奇,6100,16.34,18400.0,本人,高级管理人员
SZ002862,实丰文化,2026-04-07,蔡俊权,-49000,16.22,50880900.0,本人,董事、高管
SZ002832,比音勒芬,2026-04-07,申金冬,200000,17.07,15491000.0,本人,董事
SZ002104,恒宝股份,2026-04-07,钱京,-3915500,15.41,130299100.0,本人,董事、高管
SZ000681,视觉中国,2026-04-07,柴继军,-350000,19.38,26983800.0,本人,董事、高管
SH605136,丽人丽妆,2026-04-07,叶茂,10000,9.94,10000.0,本人,董事
SH603681,永冠新材,2026-04-07,吕新民,300000,17.16,61522720.0,本人,董事
SH603219,富佳股份,2026-04-07,骆俊彬,-30300,15.91,714296.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-04-07,郎一丁,-251800,15.97,9943934.0,本人,董事、高级管理人员
SH603179,新泉股份,2026-04-07,谢吴涛,100000,65.0,100000.0,本人,高级管理人员
SH603160,汇顶科技,2026-04-07,张帆,25000,64.05,206743176.0,本人,董事
SH601128,常熟银行,2026-04-07,陆鼎昌,100000,6.99,321000.0,本人,董事、高级管理人员
SH601128,常熟银行,2026-04-07,唐志锋,18000,6.99,46000.0,本人,董事、高级管理人员
SH600765,中航重机,2026-04-07,宋贵奇,6300,16.01,12300.0,本人,高级管理人员
SZ002952,亚世光电,2026-04-03,林雪峰,-100000,25.18,18984300.0,本人,董事
SZ002832,比音勒芬,2026-04-03,申金冬,280000,17.23,15291000.0,本人,董事
SZ002637,赞宇科技,2026-04-03,徐强,3500,11.21,33500.0,本人,董秘
SZ002165,红宝丽,2026-04-03,陶梅娟,-23500,8.95,934600.0,本人,高管
SZ002151,北斗星通,2026-04-03,王建茹,-5000,36.0,15100.0,本人,董事
SZ002151,北斗星通,2026-04-03,张智超,-15000,35.85,45000.0,本人,高管
SH603823,百合花,2026-04-03,蒋珊,-14000,14.81,42160.0,本人,高级管理人员
SH603681,永冠新材,2026-04-03,吕新民,507200,16.88,61222720.0,本人,董事
SH603505,金石资源,2026-04-03,李明明,600,17.41,38616.0,,
SH603219,富佳股份,2026-04-03,骆俊彬,-2500,15.97,744596.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-04-03,郎一丁,-7900,15.98,10195734.0,本人,董事、高级管理人员
SH600771,广誉远,2026-04-03,王鹏浩,20000,17.36,20000.0,本人,高级管理人员
SH600637,东方明珠,2026-04-03,黄凯,14300,9.06,43400.0,本人,董事
SH600637,东方明珠,2026-04-03,鱼洁,8200,9.1,30600.0,本人,董事
SH600637,东方明珠,2026-04-03,金晓明,12000,9.1,45000.0,本人,董事
SH600637,东方明珠,2026-04-03,曹志勇,11500,9.12,61743.0,本人,董事
SH600637,东方明珠,2026-04-03,戴钟伟,5700,9.1,26500.0,本人,董事
SH600637,东方明珠,2026-04-03,史支焱,10100,9.28,41377.0,本人,董事
SH600637,东方明珠,2026-04-03,卢宝丰,10000,9.14,40467.0,本人,董事
SH600113,浙江东日,2026-04-03,涂飞云,10000,46.53,95900.0,本人,董事
SZ002832,比音勒芬,2026-04-02,申金冬,180000,17.28,15011000.0,本人,董事
SZ002637,赞宇科技,2026-04-02,徐强,4300,11.49,30000.0,本人,董秘
SZ002382,蓝帆医疗,2026-04-02,李振平,2472200,8.29,8024900.0,本人,董事
SZ002165,红宝丽,2026-04-02,陶梅娟,-15000,9.61,958100.0,本人,高管
SH605388,均瑶健康,2026-04-02,罗喜悦,-78600,6.84,470669.0,本人,董事、高级管理人员
SH605358,立昂微,2026-04-02,田达晰,65000,32.72,65000.0,本人,高级管理人员
SH603466,风语筑,2026-04-02,李晖,-197300,9.22,119123900.0,本人,董事
SH603160,汇顶科技,2026-04-02,张帆,174200,64.73,206718176.0,本人,董事、高级管理人员
SH600771,广誉远,2026-04-02,张华中,15000,17.29,20000.0,本人,高级管理人员
SH600771,广誉远,2026-04-02,吕洪宇,20000,17.27,20000.0,本人,高级管理人员
SZ003006,百亚股份,2026-04-01,谢秋林,-240000,17.65,1076100.0,本人,董事
SZ002862,实丰文化,2026-04-01,蔡俊权,-1208000,15.98,50930000.0,本人,董事、高管
SZ002832,比音勒芬,2026-04-01,申金冬,92000,17.09,14831000.0,本人,董事
SZ001209,洪兴股份,2026-04-01,柯国民,-20000,20.59,16907400.0,本人,董事
SH603466,风语筑,2026-04-01,李晖,-300000,9.35,119321200.0,本人,董事
SH603219,富佳股份,2026-04-01,骆俊彬,-62800,15.98,747096.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-04-01,郎一丁,-696100,16.0,10203634.0,本人,董事、高级管理人员
SH600771,广誉远,2026-04-01,柳花兰,7600,17.1,20000.0,本人,高级管理人员
SH600765,中航重机,2026-04-01,宋贵奇,6000,16.46,6000.0,本人,高级管理人员
SH600633,浙数文化,2026-04-01,郑法其,10000,12.25,110000.0,本人,高级管理人员
SH600633,浙数文化,2026-04-01,梁楠,10000,12.4,90600.0,本人,高级管理人员
SH600633,浙数文化,2026-04-01,朱成永,5000,12.29,5000.0,本人,高级管理人员
SH600633,浙数文化,2026-04-01,张宇宜,7000,12.3,16600.0,本人,高级管理人员
SH600633,浙数文化,2026-04-01,余羽,5000,12.35,5000.0,本人,高级管理人员
SH600633,浙数文化,2026-04-01,何锋,20000,12.27,20000.0,本人,董事、高级管理人员
SZ002992,宝明科技,2026-03-31,谢志坚,-18500,48.7,55600.0,本人,高管
SZ002862,实丰文化,2026-03-31,蔡俊权,-52900,15.92,52138100.0,本人,董事、高管
SZ002637,赞宇科技,2026-03-31,胡剑品,10900,11.42,610900.0,本人,高管
SZ002637,赞宇科技,2026-03-31,孙建明,1500,11.36,11500.0,本人,高管
SZ001211,双枪科技,2026-03-31,周兆成,-10000,28.81,866000.0,本人,董事
SZ000883,湖北能源,2026-03-31,张志猛,35000,4.79,35000.0,本人,高管
SH605166,聚合顺,2026-03-31,傅永宾,-17200,10.31,51900.0,本人,董事
SH603681,永冠新材,2026-03-31,吕新民,71100,17.48,60715520.0,本人,董事
SH603466,风语筑,2026-03-31,李晖,-300000,9.36,119621200.0,本人,董事
SH603296,华勤技术,2026-03-31,邹宗信,21700,47.95,59700.0,本人,高级管理人员
SH603296,华勤技术,2026-03-31,王志刚,46500,47.95,99500.0,本人,高级管理人员
SH603296,华勤技术,2026-03-31,汪启军,46500,47.95,142291.0,本人,高级管理人员
SH603296,华勤技术,2026-03-31,李玉桃,20400,47.95,45400.0,本人,高级管理人员
SH603296,华勤技术,2026-03-31,张文国,21700,47.95,55900.0,本人,高级管理人员
SH603296,华勤技术,2026-03-31,廖浩然,46500,47.95,153691.0,本人,高级管理人员
SH603296,华勤技术,2026-03-31,廉明,11900,47.95,49900.0,,
SH603296,华勤技术,2026-03-31,奚平华,31000,47.95,69000.0,本人,董事
SH603219,富佳股份,2026-03-31,骆俊彬,-7700,15.55,809896.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-31,郎一丁,-15600,15.55,10899734.0,本人,董事、高级管理人员
SH603031,安孚科技,2026-03-31,刘荣海,5000,46.15,448430.0,本人,董事、高级管理人员
SH600990,四创电子,2026-03-31,任小伟,-23731,0.0,0.0,本人,董事、高级管理人员
SH600771,广誉远,2026-03-31,柳花兰,4200,16.97,12400.0,本人,高级管理人员
SH600771,广誉远,2026-03-31,张华中,5000,16.96,5000.0,本人,高级管理人员
SH600771,广誉远,2026-03-31,任岩,20000,17.0,20000.0,本人,董事、高级管理人员
SZ002992,宝明科技,2026-03-30,张国宏,-6100,48.72,110400.0,本人,董秘、董事
SZ002455,百川股份,2026-03-30,郑江,-476000,14.51,11623800.0,本人,董事、高管
SZ002050,三花智控,2026-03-30,张亚波,-3750000,42.82,29268200.0,本人,董事、高管
SZ001203,大中矿业,2026-03-30,牛国锋,-50000,42.01,7500100.0,本人,董事
SH605305,中际联合,2026-03-30,马东升,-208717,42.71,3987221.0,本人,董事、高级管理人员
SH605305,中际联合,2026-03-30,王喜军(XIJUN EUGENE),-87900,42.1,2844804.0,本人,董事、高级管理人员
SH605116,奥锐特,2026-03-30,褚义舟,-349900,26.76,108294800.0,本人,董事
SH603681,永冠新材,2026-03-30,吕新民,302000,17.66,60644420.0,本人,董事
SH603219,富佳股份,2026-03-30,郎一丁,-90000,15.56,10915334.0,本人,董事、高级管理人员
SH603031,安孚科技,2026-03-30,刘荣海,5000,47.6,443430.0,本人,董事、高级管理人员
SH600771,广誉远,2026-03-30,柳花兰,8000,16.88,8200.0,本人,高级管理人员
SH600765,中航重机,2026-03-30,石永勇,18700,16.28,18700.0,本人,董事、高级管理人员
SZ002862,实丰文化,2026-03-27,蔡俊权,-1500,16.04,52191000.0,本人,董事、高管
SZ002709,天赐材料,2026-03-27,徐三善,-190000,46.19,2223300.0,本人,董事
SZ002519,银河电子,2026-03-27,徐敏,-10000,8.26,523300.0,本人,高管
SZ002165,红宝丽,2026-03-27,陶梅娟,-92000,10.21,973100.0,本人,高管
SZ002050,三花智控,2026-03-27,胡凯程,-83100,43.11,249400.0,本人,董秘
SZ002050,三花智控,2026-03-27,王大勇,-88100,43.36,264400.0,本人,董事、高管
SZ002050,三花智控,2026-03-27,张亚波,-6006000,43.27,33018200.0,本人,董事、高管
SZ002050,三花智控,2026-03-27,倪晓明,-81200,43.17,243800.0,本人,董事
SZ002050,三花智控,2026-03-27,俞蓥奎,-90900,43.24,272900.0,本人,高管
SZ001203,大中矿业,2026-03-27,牛国锋,-50000,42.82,7550100.0,本人,董事
SZ001203,大中矿业,2026-03-27,张杰,-9900,43.67,1406300.0,本人,高管
SH605305,中际联合,2026-03-27,马东升,-205400,42.21,4195938.0,本人,董事、高级管理人员
SH605305,中际联合,2026-03-27,王喜军(XIJUN EUGENE),-62000,42.06,2932704.0,本人,董事、高级管理人员
SH605116,奥锐特,2026-03-27,褚义舟,-650000,26.49,108644700.0,本人,董事
SH603298,杭叉集团,2026-03-27,江韵,10000,24.84,10000.0,本人,高级管理人员
SH603219,富佳股份,2026-03-27,骆俊彬,-1400,15.81,817596.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-27,郎一丁,-61500,15.78,11005334.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-27,涂自群,-2000,15.81,1021020.0,本人,高级管理人员
SH603045,福达合金,2026-03-27,王达武,-1006500,28.98,32185406.0,本人,董事
SH600771,广誉远,2026-03-27,柳花兰,200,16.83,200.0,本人,高级管理人员
SH600771,广誉远,2026-03-27,唐云,20000,16.84,20000.0,本人,高级管理人员
SH600765,中航重机,2026-03-27,胡灵红,35000,16.15,291860.0,本人,董事、高级管理人员
SH600763,通策医疗,2026-03-27,黄浴华,27000,41.34,37000.0,本人,董事
SH600763,通策医疗,2026-03-27,赵敏,9300,41.18,15700.0,,
SH600763,通策医疗,2026-03-27,王毅,24100,41.55,34600.0,本人,董事
SH600763,通策医疗,2026-03-27,徐国喜,12000,41.75,12000.0,本人,高级管理人员
SH600763,通策医疗,2026-03-27,张华,24700,41.91,34700.0,本人,高级管理人员
SZ002709,天赐材料,2026-03-26,徐三善,-200000,45.15,2413300.0,本人,董事
SZ002637,赞宇科技,2026-03-26,黄建文,5000,11.38,18200.0,本人,高管
SZ002637,赞宇科技,2026-03-26,徐强,2800,11.36,25700.0,本人,董秘
SZ002637,赞宇科技,2026-03-26,张敬国,154200,11.31,227200.0,本人,董事
SZ002637,赞宇科技,2026-03-26,张建国,10000,11.16,48000.0,本人,董事
SH603681,永冠新材,2026-03-26,吕新民,245000,16.7,60342420.0,本人,董事
SH603359,东珠生态,2026-03-26,李嘉俊,-10000,6.06,153900.0,本人,董事
SH603219,富佳股份,2026-03-26,骆俊彬,-35700,15.88,818996.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-26,郎一丁,-313400,15.9,11066834.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-26,涂自群,-44600,15.88,1023020.0,本人,高级管理人员
SH603045,福达合金,2026-03-26,王达武,-347900,28.74,33191906.0,本人,董事
SH601899,紫金矿业,2026-03-26,沈绍阳,900000,11.15,1651000.0,本人,董事
SH600763,通策医疗,2026-03-26,赵敏,6400,40.87,14940.0,,
SZ003006,百亚股份,2026-03-25,谢秋林,-117000,17.57,1316100.0,本人,董事
SZ002791,坚朗五金,2026-03-25,白宝萍,-354000,20.51,21285600.0,本人,董事
SZ002637,赞宇科技,2026-03-25,胡剑品,16600,11.59,600000.0,本人,高管
SZ002637,赞宇科技,2026-03-25,徐强,6500,11.6,22900.0,本人,董秘
SZ002637,赞宇科技,2026-03-25,张敬国,10000,11.5,73000.0,本人,董事
SZ002637,赞宇科技,2026-03-25,孙建明,1700,11.51,10000.0,本人,高管
SZ002402,和而泰,2026-03-25,刘建伟,-9169000,27.81,120344500.0,本人,董事、高管
SZ002165,红宝丽,2026-03-25,陶梅娟,-48000,10.19,1065100.0,本人,高管
SZ001203,大中矿业,2026-03-25,牛国锋,-599900,40.85,7600100.0,本人,董事
SZ001203,大中矿业,2026-03-25,张杰,-150000,40.92,1416200.0,本人,高管
SH605388,均瑶健康,2026-03-25,崔鹏,-32400,6.68,97451.0,本人,高级管理人员
SH603969,银龙股份,2026-03-25,谢志超,240000,5.34,664500.0,本人,高级管理人员
SH603969,银龙股份,2026-03-25,王昕,83000,5.34,83000.0,本人,董事
SH603681,永冠新材,2026-03-25,吕新民,236600,17.11,60097420.0,本人,董事
SH603305,旭升集团,2026-03-25,徐旭东,-28900000,13.74,86946450.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-25,骆俊彬,-600,15.98,854696.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-25,郎一丁,-405000,15.9,11380234.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-25,涂自群,-1000,15.96,1067620.0,本人,高级管理人员
SH601177,杭齿前进,2026-03-25,宋斌,-38000,4.15,42000.0,,
SH601177,杭齿前进,2026-03-25,吴飞　,-38000,4.15,42000.0,,
SH600370,三房巷,2026-03-25,薛正惠,-60000,2.65,200000.0,,
SH600370,三房巷,2026-03-25,孙志明,-19000,2.65,58000.0,,
SZ002832,比音勒芬,2026-03-24,谢邕,609000,16.39,6579800.0,本人,高管
SZ002791,坚朗五金,2026-03-24,白宝萍,-684500,20.12,21639600.0,本人,董事
SZ002637,赞宇科技,2026-03-24,胡剑品,8400,11.64,583400.0,本人,高管
SZ002637,赞宇科技,2026-03-24,徐强,3800,11.72,16400.0,本人,董秘
SZ002637,赞宇科技,2026-03-24,张敬国,15000,11.7,63000.0,本人,董事
SZ002637,赞宇科技,2026-03-24,张建国,10000,11.59,38000.0,本人,董事
SZ002637,赞宇科技,2026-03-24,吴吉华,16300,11.67,25000.0,本人,高管
SZ002402,和而泰,2026-03-24,刘建伟,-565000,26.89,129513500.0,本人,董事、高管
SZ002402,和而泰,2026-03-24,刘建伟,-5137600,28.73,129513500.0,本人,董事、高管
SZ002165,红宝丽,2026-03-24,陶梅娟,-11000,10.11,1113100.0,本人,高管
SZ001203,大中矿业,2026-03-24,牛国锋,-1631800,38.83,8200000.0,本人,董事
SZ001203,大中矿业,2026-03-24,张杰,-170000,39.46,1566200.0,本人,高管
SH603359,东珠生态,2026-03-24,李嘉俊,-41300,6.02,163900.0,本人,董事
SH603316,诚邦股份,2026-03-24,周欣欣,-2400,14.74,7500.0,,
SH603219,富佳股份,2026-03-24,骆俊彬,-57000,15.77,855296.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-24,郎一丁,-890300,15.67,11785234.0,本人,董事、高级管理人员
SH603219,富佳股份,2026-03-24,涂自群,-71200,15.77,1068620.0,本人,高级管理人员
SH603045,福达合金,2026-03-24,王达武,-2608900,26.56,33539806.0,本人,董事
SZ002791,坚朗五金,2026-03-23,白宝萍,-16600,20.64,22324100.0,本人,董事
SZ002637,赞宇科技,2026-03-23,徐强,4100,12.03,12600.0,本人,董秘
SZ002637,赞宇科技,2026-03-23,张敬国,5000,11.7,48000.0,本人,董事
SZ002637,赞宇科技,2026-03-23,张建国,20000,11.88,28000.0,本人,董事
SZ002517,恺英网络,2026-03-23,金锋,3430800,17.49,329013100.0,本人,董事
SZ002382,蓝帆医疗,2026-03-23,赵敏,5900,7.61,25900.0,本人,董事
SZ002382,蓝帆医疗,2026-03-23,王梓漪,10000,7.82,60000.0,本人,董秘
SZ002382,蓝帆医疗,2026-03-23,崔运涛,19300,7.8,76900.0,本人,高管
SZ002382,蓝帆医疗,2026-03-23,刘文静,110000,7.78,3940700.0,本人,董事
SZ002165,红宝丽,2026-03-23,陶梅娟,-70000,10.04,1124100.0,本人,高管
SZ000766,通化金马,2026-03-23,张玉富,525500,19.03,525500.0,本人,董事、高管
SH603617,君禾股份,2026-03-23,洪翔,5000,6.83,9300.0,,
SH603363,傲农生物,2026-03-23,吴有林,-7760000,4.24,67633627.0,本人,董事
SH603219,富佳股份,2026-03-23,郎一丁,-160000,16.58,12675534.0,本人,董事
SH603098,森特股份,2026-03-23,刘爱森,120000,16.57,138680005.0,本人,董事
SH603031,安孚科技,2026-03-23,梁红颖,15000,46.47,150450.0,本人,高级管理人员
SH603031,安孚科技,2026-03-23,刘荣海,20000,47.7,438430.0,本人,董事、高级管理人员
SH601128,常熟银行,2026-03-23,程鹏飞,30000,6.96,100000.0,本人,高级管理人员
SH600210,紫江企业,2026-03-23,刘罕,50000,6.55,50000.0,,
SZ002832,比音勒芬,2026-03-20,谢邕,420700,16.64,5970800.0,本人,高管
SZ002637,赞宇科技,2026-03-20,胡剑品,8300,11.67,575000.0,本人,高管
SZ002637,赞宇科技,2026-03-20,张敬国,43000,11.78,43000.0,本人,董事
SZ002637,赞宇科技,2026-03-20,张建国,8000,11.88,8000.0,本人,董事
SZ002637,赞宇科技,2026-03-20,吴吉华,8700,11.88,8700.0,本人,高管
SZ002444,巨星科技,2026-03-20,周思远,16600,30.32,516600.0,本人,董秘
SZ002402,和而泰,2026-03-20,刘建伟,-637200,30.33,135216100.0,本人,董事、高管
SZ002382,蓝帆医疗,2026-03-20,钟舒乔,120900,8.29,559900.0,本人,董事、高管
SZ002382,蓝帆医疗,2026-03-20,赵敏,20000,7.84,20000.0,本人,董事
SZ002382,蓝帆医疗,2026-03-20,王梓漪,50000,7.93,50000.0,本人,董秘
SZ002382,蓝帆医疗,2026-03-20,崔运涛,57600,7.81,57600.0,本人,高管
SZ002382,蓝帆医疗,2026-03-20,刘文静,150000,7.82,3830700.0,本人,董事
SZ002382,蓝帆医疗,2026-03-20,于苏华,129500,7.87,321500.0,本人,董事
SZ002165,红宝丽,2026-03-20,陶梅娟,-50000,10.02,1194100.0,本人,高管
SZ000404,长虹华意,2026-03-20,陈思远,55300,6.9,457900.0,本人,董事
SH605598,上海港湾,2026-03-20,王懿倩,-168000,0.0,94500.0,本人,董事
SH605598,上海港湾,2026-03-20,刘剑,-364000,0.0,204800.0,本人,董事
SH605598,上海港湾,2026-03-20,兰瑞学,-364000,0.0,204800.0,本人,董事
SH603866,桃李面包,2026-03-20,盛雅莉,11184600,4.6,174179328.0,本人,董事
SH603700,宁水集团,2026-03-20,张琳,450000,12.37,8187250.0,本人,董事
SH603363,傲农生物,2026-03-20,吴有林,-29565,4.24,75393627.0,本人,董事
SH600765,中航重机,2026-03-20,王志宏,18400,16.85,82300.0,本人,高级管理人员
SZ002952,亚世光电,2026-03-19,林雪峰,-145600,26.65,19084300.0,本人,董事
SZ002832,比音勒芬,2026-03-19,谢邕,769600,16.89,5550100.0,本人,高管
SZ002637,赞宇科技,2026-03-19,黄建文,13200,11.98,13200.0,本人,高管
SZ002637,赞宇科技,2026-03-19,邹欢金,140000,11.94,6225200.0,本人,董事、高管
SZ002637,赞宇科技,2026-03-19,徐强,8500,11.97,8500.0,本人,董秘
SZ002637,赞宇科技,2026-03-19,孙建明,8300,12.03,8300.0,本人,高管
SZ002517,恺英网络,2026-03-19,金锋,2634300,18.96,325582300.0,本人,董事
SH603683,晶华新材,2026-03-19,郑章勤,-6400,0.0,310940.0,本人,高级管理人员
SH603683,晶华新材,2026-03-19,白秋美,-4000,0.0,5096940.0,本人,董事、高级管理人员
SH603045,福达合金,2026-03-19,王达武,-100000,28.52,36148706.0,本人,董事
SH603031,安孚科技,2026-03-19,王晓飞,10000,48.68,109335.0,本人,高级管理人员
SH603031,安孚科技,2026-03-19,梁红颖,10000,48.0,135450.0,本人,高级管理人员
SH603031,安孚科技,2026-03-19,刘荣海,20000,48.22,418430.0,本人,董事、高级管理人员
SH600765,中航重机,2026-03-19,唐诚江,14100,17.09,116300.0,本人,高级管理人员
SZ003008,开普检测,2026-03-18,姚致清,-289800,21.65,15073000.0,本人,董事
SZ003008,开普检测,2026-03-18,姚致清,-104000,23.97,15073000.0,本人,董事
SZ002952,亚世光电,2026-03-18,林雪峰,-50000,26.4,19229900.0,本人,董事
SZ002467,二六三,2026-03-18,忻卫敏,-100000,7.49,2671000.0,本人,董事、高管
SZ002402,和而泰,2026-03-18,刘建伟,-2280300,31.31,135853300.0,本人,董事、高管
SH603466,风语筑,2026-03-18,李晖,-4910000,8.74,119921200.0,本人,董事
SH603031,安孚科技,2026-03-18,王晓飞,10000,50.77,99335.0,本人,高级管理人员
SH603031,安孚科技,2026-03-18,梁红颖,10000,49.8,125450.0,本人,高级管理人员
SZ003008,开普检测,2026-03-17,姚致清,-133000,23.92,15466900.0,本人,董事
SZ002832,比音勒芬,2026-03-17,谢邕,595200,16.8,4780500.0,本人,高管
SH605116,奥锐特,2026-03-17,褚义舟,-90000,27.29,109294700.0,本人,董事
SH603098,森特股份,2026-03-17,刘爱森,20000,15.87,138560005.0,本人,董事
SH603031,安孚科技,2026-03-17,王晓飞,23400,51.27,89335.0,本人,高级管理人员
SH601702,华峰铝业,2026-03-17,陈国桢,8900,21.24,8900.0,本人,董事
SH600765,中航重机,2026-03-17,王志宏,41600,17.54,63900.0,本人,高级管理人员
SH600765,中航重机,2026-03-17,毛辕,20000,17.47,30000.0,本人,董事
SH600765,中航重机,2026-03-17,唐诚江,4500,17.24,102200.0,本人,高级管理人员
SH600765,中航重机,2026-03-17,冉兴,58000,17.31,453880.0,本人,董事
SZ002992,宝明科技,2026-03-16,张国宏,-30700,55.78,116500.0,本人,董秘、董事
SZ002832,比音勒芬,2026-03-16,谢邕,589400,16.97,4185300.0,本人,高管
SZ002709,天赐材料,2026-03-16,徐三善,-100000,47.75,2613300.0,本人,董事
