序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
38,603076,乐惠国际,6.828423023223877,30.82,31.74,191710661,3720015422.08,3720015422.08,5.24045467376709,0.2276422679424286,是,3.269411325454712,0/0,60日新高,专用设备
39,603922,金鸿顺,6.711409091949463,23.85,24.59,223721227,4273920000.0000005,4273920000.0000005,5.421194076538086,1.6624040603637695,是,1.9998031854629517,0/0,60日新高,汽车零部
40,600166,福田汽车,6.552706718444824,3.74,3.86,1763292928,29611077372.58,29611077196.800003,5.869223594665527,-0.2666666507720947,是,3.1995155811309814,0/0,60日新高,商用车
41,000829,天音控股,6.412478446960449,12.28,12.69,997451520,12576312335.32,12588233304.96,7.914135932922363,0.0,是,3.2406349182128906,0/0,60日新高,专业连锁
42,002443,金洲管道,6.393130302429199,11.15,11.53,682354848,5791606277.8,5803971048.0,11.994390487670898,-0.3574620187282562,是,4.357141494750977,2/1,60日新高,特钢Ⅱ
43,300661,圣邦股份,6.37518310546875,87.1,98.26,4112999776,52163793346.6,54049110648.0,7.71199893951416,0.0,是,3.665175676345825,0/0,60日新高,半导体
44,300938,信测标准,6.351039409637451,55.26,62.35,1185694176,11678984822.88,13455608190.48,10.232221603393555,0.0,是,1.5290131568908691,0/0,60日新高,专业服务
45,603586,金麒麟,6.282998561859131,20.13,20.83,225618428,3946542461.3999996,3946542461.3999996,5.866572856903076,0.34895312786102295,是,7.583919525146484,0/0,60日新高,汽车零部
46,002975,博杰股份,6.206177711486816,112.09,116.09,1266868480,11865733068.2,17968317649.37,10.638681411743164,0.9637903571128845,是,1.6400740146636963,0/0,60日新高,自动化设
47,301371,敷尔佳,6.122448921203613,26.52,29.99,255593069,2062974888.0,13793158080.0,12.1602144241333,0.0,是,5.793589115142822,0/0,60日新高,化妆品
48,301237,和顺科技,6.0351080894470215,73.09,82.72,473104976,4257492500.0,5847200000.0,10.834444999694824,0.0,是,4.188324928283691,0/0,60日新高,塑料
49,605365,立达信,5.950032711029053,32.23,33.46,596558320,16179874993.479998,16179875122.399998,3.6461215019226074,-0.3709428310394287,是,1.973181962966919,3/2,60日新高且近期多次涨停,照明设备
50,603629,利通电子,5.8780035972595215,114.56,119.02,3845682816,29424965120.0,30051379200.0,13.086047172546387,0.139860138297081,是,1.4390809535980225,0/0,60日新高,消费电子
51,000628,高新发展,5.636363506317139,63.91,66.55,1074655744,12285967967.349998,22514214800.0,8.839309692382812,-0.140625,是,2.4095351696014404,0/0,60日新高,房屋建设
52,003036,泰坦股份,5.540165901184082,30.48,31.77,413617328,6592168253.28,6592337417.28,6.380431652069092,-0.4572174847126007,是,1.9084150791168213,0/0,60日新高,专用设备
53,688268,华特气体,5.4532270431518555,145.42,165.48,1408684496,17438094123.34,17449873143.34,8.26836109161377,0.1653120219707489,是,1.4695366621017456,0/0,60日新高,电子化学
54,002297,博云新材,5.421390056610107,21.39,22.32,3322177184,12258712078.41,12258712014.24,26.88587188720703,0.37541061639785767,是,2.0180225372314453,9/6,60日新高且近期多次涨停,航空装备
55,300292,吴通控股,5.222437381744385,5.44,6.2,989140064,6070739782.72,7299201469.440001,15.903124809265137,0.0,是,5.842005729675293,0/0,60日新高,通信服务
56,300069,金利华电,5.14359188079834,24.53,28.0,263010896,2870010000.0,2870010000.0,9.161248207092285,0.0,是,1.8660348653793335,0/0,60日新高,电网设备
57,002290,禾盛新材,5.047672748565674,74.92,78.45,718659872,18519928440.600002,18588575763.600002,3.884725332260132,0.053418807685375214,是,2.2495365142822266,0/0,60日新高,家电零部
58,603336,宏辉果蔬,5.038759708404541,10.84,11.35,174817739,6598513363.8,6598513352.96,2.7129194736480713,-0.36764705181121826,是,2.3443310260772705,0/0,60日新高,种植业
59,688689,银河微电,5.037115573883057,39.62,45.26,197004951,5107172478.38,5107172478.38,3.928830623626709,-0.5272407531738281,是,4.044251441955566,0/0,60日新高,半导体
60,603217,元利科技,4.951857089996338,30.52,31.99,201144145,6350833552.0,6350833552.0,3.258882761001587,0.06557376682758331,是,2.617154836654663,0/0,60日新高,化学制品
61,600482,中国动力,4.922608852386475,41.35,43.35,3002010448,93791987316.8,93791987316.8,3.109186887741089,-0.19309678673744202,是,3.4221372604370117,0/0,60日新高,其他电源
62,603220,中贝通信,4.916452407836914,32.65,34.23,2422783152,14178624066.099998,17511727199.2,17.12394905090332,-0.15290521085262299,是,1.9324195384979248,0/0,60日新高,通信服务
63,000026,飞亚达,4.88505744934082,18.25,19.14,430572944,6653233377.25,7405193000.0,6.465685844421387,0.8844665288925171,是,1.8104264736175537,0/0,60日新高,饰品
64,301148,嘉戎技术,4.8333330154418945,69.19,79.2,212540887,4073428405.2,8060432965.2,5.2588653564453125,0.0,是,0.9357262253761292,0/0,60日新高,环境治理
65,603052,可川科技,4.706655025482178,95.66,100.5,786763296,17974253996.12,17974253996.12,4.410568714141846,0.4831933081150055,是,1.3739646673202515,6/3,60日新高且近期多次涨停,消费电子
66,600233,圆通速递,4.459770202636719,22.72,23.93,894345376,77763908447.36,77763908311.04,1.179711937904358,-0.2633889317512512,是,3.576406240463257,0/0,60日新高,物流
67,000404,长虹华意,4.4499382972717285,8.45,8.9,418012368,5854498397.15,5881166064.799999,7.198067665100098,0.11848341673612595,是,2.619053602218628,0/0,60日新高,家电零部
68,600105,永鼎股份,4.414671897888184,47.54,50.08,8301861376,69503232887.08,69503232792.0,11.691898345947266,-0.2936241626739502,是,2.1724436283111572,2/1,60日新高,通信设备
69,000990,诚志股份,4.355108737945557,12.46,13.13,1478125904,15141848472.1,15141859698.560001,9.91024398803711,0.0,是,3.004721164703369,2/1,60日新高,化学原料
70,600510,黑牡丹,4.311152935028076,11.13,11.74,332344096,11486443336.410002,11486443325.28,2.9005486965179443,-0.17937219142913818,是,2.6525614261627197,0/0,60日新高,房地产开
71,600487,亨通光电,4.104591369628906,68.48,72.36,14319168000,167446003440.0,168898541690.88,8.553854942321777,0.043827611953020096,是,2.1673524379730225,2/1,60日新高,通信设备
72,688381,帝奥微,4.0962042808532715,27.7,31.93,520337440,6855750000.0,6855750000.0,7.5911784172058105,-0.18018019199371338,是,5.167163848876953,0/0,60日新高,半导体
73,002353,杰瑞股份,3.9620168209075928,127.0,134.38,2388952464,87693038355.0,130029691680.0,2.656939744949341,0.2921898365020752,是,1.8372105360031128,0/0,60日新高,专用设备
74,002947,恒铭达,3.905714750289917,75.82,80.27,1150193376,14605474547.88,19425791855.519997,7.763470649719238,-0.11856144666671753,是,2.089261293411255,0/0,60日新高,消费电子
75,688677,海泰新光,3.7409327030181885,100.11,115.8,809670272,12000886470.0,12000886470.0,6.664604663848877,-0.0798482820391655,是,1.6437383890151978,0/0,60日新高,医疗器械
76,301396,宏景科技,3.6881706714630127,336.24,389.14,3099465024,25581500321.760002,51618740003.28,12.136177062988281,0.0,是,1.2215988636016846,0/0,60日新高,IT服务Ⅱ
77,002293,罗莱生活,3.5916824340820312,10.96,11.64,216771822,9059350436.24,9138913580.800001,2.418933153152466,-0.27297544479370117,是,5.860402584075928,0/0,60日新高,服装家纺
78,000938,紫光股份,3.409090995788574,30.94,32.91,7036580864,88490648533.56,88490871239.68001,7.956797122955322,-0.12911555171012878,是,2.8181779384613037,0/0,60日新高,IT服务Ⅱ
79,002281,光迅科技,3.291118860244751,128.05,136.37,10046571520,99814817754.6,103294831068.00002,10.031319618225098,-0.03903200477361679,是,2.4446957111358643,0/0,60日新高,通信设备
80,000626,远大控股,3.2110090255737305,9.0,9.59,222956136,4533448689.0,4559641776.0,4.9734320640563965,0.0,是,2.2041990756988525,0/0,60日新高,物流
81,600208,衢州发展,3.1325302124023438,4.28,4.57,1154162832,36414138722.36,36418266624.0,3.20408034324646,0.23419202864170074,是,2.311068296432495,0/0,60日新高,房地产开
82,688193,仁度生物,3.056147813796997,58.0,67.54,77755764,2324052460.0,2324052460.0,3.31583309173584,-0.08613264560699463,是,3.6592955589294434,0/0,60日新高,医疗器械
83,002216,三全食品,3.055767774581909,13.49,14.4,106208447,8505477227.610001,11860192807.52,1.259919285774231,0.14847810566425323,是,2.5841996669769287,0/0,60日新高,食品加工
84,002647,仁东控股,3.0327212810516357,12.91,13.78,709365120,13107415291.87,14592065382.24,5.415449142456055,0.0,是,1.6355311870574951,0/0,60日新高,多元金融
85,603324,盛剑科技,2.9301276206970215,27.4,29.28,173962253,4046420492.0,4046420492.0,4.251298427581787,-0.0364830382168293,是,5.631014823913574,0/0,60日新高,环保设备
86,301222,浙江恒威,2.9263370037078857,40.8,47.57,113792574,3256723320.0,4089857279.9999995,3.6007561683654785,0.0,是,1.1678130626678467,0/0,60日新高,电池
87,603738,泰晶科技,2.871621608734131,36.54,39.07,2350201184,14100328957.68,14100328811.52,16.716230392456055,0.2469135969877243,是,2.1834030151367188,0/0,60日新高,元件
88,301216,万凯新材,2.69730281829834,30.84,36.04,316218752,16910560422.0,17893319642.88,1.8846678733825684,0.0,是,1.5068758726119995,0/0,60日新高,塑料
89,920357,雅葆轩,2.6792454719543457,27.21,34.45,68425715,1211242266.0,2178976800.0,5.782141208648682,-0.18341892957687378,是,1.6511956453323364,0/0,60日新高,消费电子
90,300540,蜀道装备,2.555366277694702,30.1,35.22,881540336,6222488840.400001,6909729211.0,14.168350219726562,0.0,是,2.1440653800964355,0/0,60日新高,专用设备
91,002580,圣阳股份,2.3943135738372803,27.37,29.4,3281671456,12380512956.0,12422394311.04,26.895963668823242,0.2931476831436157,否,2.513685464859009,11/7,近期多次涨停,电池
92,600573,惠泉啤酒,2.3659305572509766,12.98,13.95,159586349,3245000000.0,3245000000.0,4.908999919891357,0.15432098507881165,是,1.9783133268356323,0/0,60日新高,非白酒
93,601009,南京银行,2.3457863330841064,11.78,12.66,689965008,145642822146.1,145642823500.8,0.47284266352653503,-0.16949152946472168,是,3.0848662853240967,0/0,60日新高,银行Ⅱ
94,001283,豪鹏科技,2.316227436065674,73.77,79.31,431857328,5882325153.09,7372800052.589999,7.401246547698975,0.23097826540470123,是,2.3501429557800293,0/0,60日新高,电池
95,688046,药康生物,2.1494369506835938,19.96,23.45,160894177,8183600000.0,8183600000.0,1.9272204637527466,-0.10010010004043579,是,2.096637010574341,0/0,60日新高,医疗服务
96,601838,成都银行,2.1034679412841797,17.96,19.35,703028224,76122298993.76001,76122299065.6,0.9284529089927673,0.0,是,4.309593200683594,0/0,60日新高,银行Ⅱ
97,600012,皖通高速,2.0872864723205566,16.14,17.39,50894122,18812784000.0,27576673072.32,0.2716714143753052,-0.06191950663924217,是,1.323128342628479,0/0,60日新高,铁路公路
98,603135,中重科技,2.0477817058563232,11.96,12.89,142418866,7529275436.8,7585714772.4800005,1.901781678199768,0.0,是,3.4926252365112305,0/0,60日新高,专用设备
99,600817,宇通重工,1.9169328212738037,12.76,13.77,75521148,6753157854.96,6804963531.5199995,1.1177823543548584,0.07843136787414551,是,2.218397378921509,0/0,60日新高,环保设备
100,600350,山东高速,1.876172661781311,10.86,11.73,45168365,52503439159.5,52503438366.71999,0.08655514568090439,0.0,是,1.8533740043640137,0/0,60日新高,铁路公路
101,605589,圣泉集团,1.854304552078247,38.45,41.53,1456141696,32436419923.100002,32543637671.2,4.527665615081787,-0.33696213364601135,是,1.9933634996414185,0/0,60日新高,塑料
102,605298,必得科技,1.7854163646697998,61.0,65.92,230946706,11361311000.0,11458850000.0,1.9963866472244263,0.04920452460646629,是,1.7187724113464355,0/0,60日新高,轨交设备
103,002080,中材科技,1.7011406421661377,52.61,56.9,3130910304,88286081754.24,88286081754.24,3.468362808227539,0.057055916637182236,是,2.187617301940918,0/0,60日新高,玻璃玻纤
104,002245,蔚蓝锂芯,1.6957365274429321,20.99,22.7,1042571840,22785492513.23,24218483318.559998,4.584558486938477,0.14312978088855743,是,1.4627755880355835,0/0,60日新高,电池
105,300408,三环集团,1.6417911052703857,68.1,80.4,1915645888,127333648450.2,130513471305.59999,1.4704816341400146,0.0,是,2.161248207092285,0/0,60日新高,元件
106,688536,思瑞浦,1.6360312700271606,211.22,249.38,1394714656,28651777344.38,29164303519.26,4.68787145614624,-0.09932365268468857,是,2.5564980506896973,0/0,60日新高,半导体
107,688668,鼎通科技,1.6359649896621704,231.73,273.6,1153951424,32273177528.379997,32273177528.379997,3.561070203781128,0.8179247379302979,是,1.0385921001434326,0/0,60日新高,通信设备
108,002120,韵达股份,1.634877324104309,7.46,8.07,335307104,21000869150.98,21628041906.88,1.5905462503433228,0.0,是,1.5754743814468384,0/0,60日新高,物流
109,300272,开能健康,1.6184971332550049,8.79,10.38,289297424,4082709011.8499994,5374816658.879999,7.002281188964844,0.0,是,2.3352503776550293,0/0,60日新高,小家电
110,003018,金富科技,1.5900382995605469,53.03,57.42,904352864,12588659125.0,13787800000.0,7.157778263092041,0.01886080764234066,是,2.1253795623779297,9/5,60日新高且近期多次涨停,包装印刷
111,601665,齐鲁银行,1.4354066848754883,6.36,6.9,431770880,39138438459.0,39138437867.520004,1.1026031970977783,-0.15698587894439697,是,2.5367093086242676,0/0,60日新高,银行Ⅱ
112,301345,涛涛车业,1.3928571939468384,283.9,336.0,525633392,9944944889.4,30959031256.899998,5.27580451965332,0.0,是,1.6343189477920532,0/0,60日新高,摩托车及
113,300082,奥克股份,1.3201320171356201,12.28,14.54,472646256,8329787565.639999,8351605994.24,5.724587440490723,0.0,是,2.288895845413208,0/0,60日新高,化学原料
114,601886,江河集团,1.313131332397461,10.03,10.89,40168480,11364010661.8,11364010701.92,0.35275566577911377,0.0,是,1.2566616535186768,0/0,60日新高,装修装饰
115,002032,苏 泊 尔,1.3067694902420044,47.29,51.35,60212196,37887860413.99,37903675750.56,0.1592763215303421,0.0,是,1.2091337442398071,0/0,60日新高,小家电
116,002463,沪电股份,1.2394694089889526,104.55,113.6,7576404992,201029836311.3,201192207688.8,3.6967577934265137,-0.20998376607894897,是,1.8081624507904053,0/0,60日新高,元件
117,688683,莱尔科技,1.167315125465393,41.6,49.34,61664473,6455401846.400001,6701668480.0,0.9703474044799805,0.12033694982528687,是,1.6794878244400024,0/0,60日新高,电子化学
118,300776,帝尔激光,1.1150442361831665,114.26,135.6,1655782720,19205359992.940002,31308029765.120003,8.527952194213867,0.0,是,1.4260932207107544,0/0,60日新高,光伏设备
119,600461,洪城环境,1.101101040840149,10.1,10.99,55573495,12969971418.6,12969971398.4,0.4289892911911011,0.0,是,1.02853262424469,0/0,60日新高,环境治理
120,688275,万润新能,1.0753458738327026,140.99,167.39,562567456,17781442098.370003,17781442098.370003,3.208402633666992,-0.007092198822647333,是,1.712203860282898,0/0,60日新高,电池
121,002515,金字火腿,1.0670732259750366,6.63,7.22,509208176,8026275838.62,8026371880.8,6.29487943649292,0.3025718629360199,是,1.7835208177566528,0/0,60日新高,食品加工
122,002428,云南锗业,1.049973487854004,76.03,82.76,9755177216,49650298568.75,49656713600.0,18.978883743286133,0.22409702837467194,是,2.634014844894409,5/3,60日新高且近期多次涨停,小金属
123,000957,中通客车,0.9756097793579102,12.42,13.53,321032144,7363866885.12,7363866885.12,4.306003093719482,-0.08045052736997604,是,2.493014335632324,0/0,60日新高,商用车
